OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Name
70,1,70,33863,0.200000000000000,1512,3,GAINESVILLE,74401,299400,2004,100,1512,1994,2022,0,-82.385062329999997,29.709527840000000,06020-020-016,0,120,441,17,27,0,0,2,1702,164314.100000000005821,1,16,26,San_Felasco
71,1,71,33907,0.200000000000000,1644,3,GAINESVILLE,74402,284400,1998,100,1644,1995,2022,0,-82.383324660000000,29.709233820000001,06020-030-059,0,0,462,23,26,0,0,2,1153,164314.130000000004657,1,16,26,San_Felasco
72,1,72,33927,0.260000000000000,1500,3,GAINESVILLE,74402,188300,1998,100,1500,1995,2022,0,-82.387918990000003,29.709095189999999,06020-030-079,0,36,441,23,26,0,0,2,2042,164314.130000000004657,1,16,26,San_Felasco
73,1,73,33944,0.200000000000000,1549,3,GAINESVILLE,74402,343000,2004,100,1549,1995,2022,0,-82.383016370000007,29.708876740000001,06020-030-096,0,42,441,17,26,0,0,2,1353,164314.130000000004657,1,16,26,San_Felasco
74,1,74,33948,0.200000000000000,1322,3,GAINESVILLE,74402,297700,2001,100,1322,1996,2022,0,-82.382035819999999,29.709246619999998,06020-030-100,0,20,483,20,25,0,0,2,1258,164314.130000000004657,1,16,26,San_Felasco
75,1,75,33990,0.330000000000000,2757,4,GAINESVILLE,133800,579400,2005,100,2756,1994,2022,0,-82.381738420000005,29.717706820000000,06020-040-040,0,242,538,16,27,0,0,2,10335,164314.399999999994179,1,16,26,San_Felasco
76,1,76,33991,0.390000000000000,1999,4,GAINESVILLE,133800,495100,2005,100,1999,1993,2022,0,-82.382118239999997,29.717671010000000,06020-040-041,0,366,559,16,28,0,0,2,8550,164314.399999999994179,1,16,26,San_Felasco
77,1,77,33993,0.340000000000000,2784,4,GAINESVILLE,133800,599000,2004,100,2784,1994,2022,0,-82.381740149999999,29.717166620000000,06020-040-043,0,328,600,17,27,0,0,3,11785,164314.399999999994179,1,16,26,San_Felasco
78,1,78,34046,0.260000000000000,1928,4,GAINESVILLE,203600,414500,2004,100,1928,1995,2022,0,-82.380882589999999,29.713223549999999,06020-050-047,0,171,442,17,26,0,0,2,1177,164314.140000000013970,1,16,26,San_Felasco
79,1,79,34048,0.240000000000000,2027,4,GAINESVILLE,203600,412200,2005,100,2027,1995,2022,0,-82.381524600000006,29.713210719999999,06020-050-049,0,238,441,16,26,0,0,2,1821,164314.140000000013970,1,16,26,San_Felasco
80,1,80,34075,0.430000000000000,1734,3,SUWANNEE,47300,365300,2010,100,1734,1978,2022,0,-82.398881290000006,29.705486420000000,06023-010-006,0,312,440,11,43,0,0,2,7457,114315.009999999994761,1,47,62,Gainesvilleish_Region
81,1,81,34125,0.430000000000000,1758,3,SUWANNEE,47100,316900,1990,100,1538,1980,2022,0,-82.397570779999995,29.710844110000000,06023-020-013,0,234,462,31,41,0,0,2,3268,114315.009999999994761,1,47,62,Gainesvilleish_Region
82,1,82,34140,0.330000000000000,1434,3,SUWANNEE,47100,279500,1985,100,994,1979,2022,0,-82.398171390000002,29.710049189999999,06023-020-028,440,0,441,36,42,0,0,2,1317,114315.009999999994761,1,47,62,Gainesvilleish_Region
83,1,83,34151,0.350000000000000,1411,3,SUWANNEE,47100,146400,1985,100,1411,1980,2022,0,-82.399173070000003,29.709901160000001,06023-020-039,0,45,264,36,41,0,0,2,3082,114315.009999999994761,1,47,62,Gainesvilleish_Region
84,1,84,34167,0.410000000000000,1350,3,SUWANNEE,47100,309000,2005,100,1350,1979,2022,0,-82.400257400000001,29.707635710000002,06023-020-055,0,254,520,16,42,0,0,2,1492,114315.009999999994761,1,47,62,Gainesvilleish_Region
85,1,85,34172,0.450000000000000,1499,3,SUWANNEE,47100,288100,1990,100,1499,1979,2022,0,-82.399239379999997,29.706661420000000,06023-020-060,0,20,506,31,42,0,0,2,2706,114315.009999999994761,1,47,62,Gainesvilleish_Region
86,1,86,34178,0.360000000000000,1536,3,SUWANNEE,47100,289700,1995,100,1000,1979,2022,0,-82.398892599999996,29.707293629999999,06023-020-066,536,40,480,26,42,0,0,2,2140,114315.009999999994761,1,47,62,Gainesvilleish_Region
87,1,87,34198,0.430000000000000,1694,4,SUWANNEE,47200,472800,2010,100,1694,1983,2022,0,-82.400193360000003,29.717620449999998,06023-030-001,0,14,484,11,38,0,0,2,3550,114315.009999999994761,1,47,62,Gainesvilleish_Region
88,1,88,34204,0.670000000000000,1705,3,SUWANNEE,47200,387000,2002,100,1705,1982,2022,0,-82.400019799999995,29.715786340000001,06023-030-007,0,25,309,19,39,0,0,2,2102,114315.009999999994761,1,47,62,Gainesvilleish_Region
89,1,89,34234,0.450000000000000,1852,4,SUWANNEE,47200,433100,1995,100,1372,1983,2022,0,-82.397805779999999,29.713476589999999,06023-030-037,480,12,529,26,38,0,0,2,13864,114315.009999999994761,1,47,62,Gainesvilleish_Region
90,1,90,34247,0.350000000000000,1824,4,SUWANNEE,47200,373100,2005,100,1318,1984,2022,0,-82.396951610000002,29.713487470000000,06023-030-050,506,234,506,16,37,0,0,2,1996,114315.009999999994761,1,47,62,Gainesvilleish_Region
91,1,91,34271,0.430000000000000,2065,4,SUWANNEE,47200,388000,2000,100,1873,1983,2022,0,-82.398809159999999,29.716117619999999,06023-030-074,0,217,572,21,38,0,0,2,3635,114315.009999999994761,1,47,62,Gainesvilleish_Region
92,1,92,34296,0.300000000000000,2163,3,SUWANNEE,47200,326200,2000,100,1208,1984,2022,0,-82.396436379999997,29.715997160000001,06023-030-099,344,611,0,21,37,0,0,2,1836,114315.009999999994761,1,47,62,Gainesvilleish_Region
93,1,93,34381,0.390000000000000,2530,4,GAINESVILLE,8000,589300,2015,100,2214,1990,2022,0,-82.390637799999993,29.704890850000002,06023-040-054,0,359,492,6,31,0,0,2,12660,114315.029999999998836,1,16,26,San_Felasco
94,1,94,34413,0.900000000000000,2082,4,SUWANNEE,182100,355500,1995,100,2082,1985,2022,0,-82.403568759999999,29.708436290000002,06024-001-000,0,24,441,26,36,0,0,2,2033,114315.020000000004075,1,47,62,Gainesvilleish_Region
95,1,95,34424,1.240000000000000,3092,4,SUWANNEE,182100,646600,2010,100,2740,1976,2022,0,-82.403663010000002,29.708763780000002,06024-012-000,0,778,482,11,45,0,0,4,14164,114315.020000000004075,1,47,62,Gainesvilleish_Region
96,1,96,34491,1.110000000000000,2598,4,SUWANNEE,182100,495100,2000,100,2290,1976,2022,0,-82.403902560000006,29.708819559999998,06024-079-000,0,560,572,21,45,0,0,3,19818,114315.020000000004075,1,47,62,Gainesvilleish_Region
97,1,97,34681,8.619999999999999,4130,5,SUWANNEE,0,925000,2000,100,3045,1999,2022,0,-82.437486289999995,29.705238489999999,06035-002-002,1085,253,888,21,22,0,0,4,18034,114300.399999999994179,1,47,62,Gainesvilleish_Region
98,1,98,34713,1.100000000000000,1833,4,SUWANNEE,121200,381000,1995,100,1833,1981,2022,0,-82.430854490000002,29.710073749999999,06035-003-031,0,264,609,26,40,0,0,2,6142,114317.009999999994761,1,47,62,Gainesvilleish_Region
99,1,99,34801,1.570000000000000,3856,5,SUWANNEE,172200,883200,2005,100,3436,1998,2022,0,-82.429166199999997,29.714783659999998,06035-100-009,420,510,784,16,23,0,0,4,16523,114317.039999999993597,1,47,62,Gainesvilleish_Region
100,1,100,34802,1.660000000000000,4415,5,SUWANNEE,172200,941300,2000,100,3413,1999,2022,0,-82.429923479999999,29.714961389999999,06035-100-010,1002,642,942,21,22,0,0,4,17486,114317.039999999993597,1,47,62,Gainesvilleish_Region
101,1,101,34807,1.040000000000000,4330,5,SUWANNEE,172200,933200,2002,100,3386,2002,2022,0,-82.431755269999996,29.716409429999999,06035-100-015,944,560,864,19,19,0,0,4,11891,114317.039999999993597,1,47,62,Gainesvilleish_Region
102,1,102,34819,1.190000000000000,4382,5,SUWANNEE,172200,1004000,2005,100,3838,1998,2022,0,-82.430007700000004,29.714170370000001,06035-100-027,544,670,756,16,23,0,0,4,13121,114317.039999999993597,1,47,62,Gainesvilleish_Region
103,1,103,34822,1.080000000000000,3164,5,SUWANNEE,172200,790500,2004,100,2552,2001,2022,0,-82.429295650000000,29.713186350000001,06035-100-030,612,271,696,17,20,0,0,4,13573,114317.039999999993597,1,47,62,Gainesvilleish_Region
