OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,Eagle_Point,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
4296,35287,0.380000000000000,1872,1.150000000000000,ST. JOHN'S,361500,1995,100,1046.000000000000000,1989,2022,0,826.000000000000000,32.000000000000000,420.000000000000000,26,0,2.000000000000000,1666,305609.000000000000000,0.456711463217319,-82.411545000000004,29.691144000000001,06048-010-002,HaileLike,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.789629126342145,358480.350192873680498,360146.350192873680498,-1353.649807126319502,52871.350192873680498,1353.649807126319502,52871.350192873680498,0.996255463880702
4297,35321,0.210000000000000,1324,1.000000000000000,ST. JOHN'S,229000,1988,100,1324.000000000000000,1988,2022,0,0.000000000000000,200.000000000000000,420.000000000000000,33,0,2.000000000000000,1124,193526.000000000000000,0.252393177041150,-82.408910000000006,29.693891000000001,06048-010-036,HaileLike,True,False,False,0.670000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.364758590491526,234393.965169938252075,235517.965169938252075,6517.965169938252075,40867.965169938252075,6517.965169938252075,40867.965169938252075,1.028462729999730
4562,35344,0.210000000000000,1224,1.000000000000000,ST. JOHN'S,288600,1996,100,1224.000000000000000,1988,2022,0,0.000000000000000,198.000000000000000,400.000000000000000,25,0,2.000000000000000,1044,244266.000000000000000,0.252393177041150,-82.408161000000007,29.694849999999999,06048-010-059,HaileLike,True,False,False,0.750000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.410607596502841,245390.867668781022076,246434.867668781022076,-42165.132331218977924,1124.867668781022076,42165.132331218977924,1124.867668781022076,0.853897670369997
4563,35376,0.210000000000000,1262,1.000000000000000,ST. JOHN'S,352000,1990,100,1262.000000000000000,1990,2022,0,0.000000000000000,663.000000000000000,441.000000000000000,31,0,2.000000000000000,2182,297018.000000000000000,0.252393177041150,-82.406788000000006,29.695012999999999,06048-020-022,HaileLike,True,False,False,0.690000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.365952895383479,234674.070261331187794,236856.070261331187794,-115143.929738668812206,-62343.929738668812206,115143.929738668812206,62343.929738668812206,0.672886563242418
4609,35353,0.220000000000000,1466,1.000000000000000,ST. JOHN'S,326700,2002,100,1466.000000000000000,1987,2023,0,0.000000000000000,157.000000000000000,400.000000000000000,20,0,2.000000000000000,1880,275815.000000000000000,0.264411899757395,-82.408473000000001,29.693062999999999,06048-010-068,HaileLike,True,False,False,0.800000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.567290042657614,287015.081648101797327,288895.081648101797327,-37804.918351898202673,11200.081648101797327,37804.918351898202673,11200.081648101797327,0.884282466018065
4741,35441,0.260000000000000,2009,1.150000000000000,ST. JOHN'S,388000,1996,100,2009.000000000000000,1992,2022,0,0.000000000000000,86.000000000000000,552.000000000000000,25,0,3.000000000000000,1393,328407.000000000000000,0.312486790622376,-82.405834999999996,29.691174000000000,06048-050-007,HaileLike,True,False,False,0.750000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.854719324924474,382590.048296411987394,383983.048296411987394,-4016.951703588012606,54183.048296411987394,4016.951703588012606,54183.048296411987394,0.989647031691783
4787,35433,0.280000000000000,1717,1.000000000000000,ST. JOHN'S,357700,2003,100,1717.000000000000000,1991,2024,0,0.000000000000000,158.000000000000000,400.000000000000000,20,0,2.000000000000000,2866,301179.000000000000000,0.336524236054867,-82.408309000000003,29.692475000000002,06048-040-038,HaileLike,True,False,False,0.800000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.674579192016790,319521.291939282848034,322387.291939282848034,-35312.708060717151966,18342.291939282848034,35312.708060717151966,18342.291939282848034,0.901278423089972
4906,35501,0.300000000000000,3195,1.150000000000000,ST. JOHN'S,927500,2017,100,2886.500000000000000,2017,2022,0,308.000000000000000,464.500000000000000,532.000000000000000,4,0,3.000000000000000,25266,763109.000000000000000,0.360561681487357,-82.409779999999998,29.690673000000000,06048-100-040,HaileLike,True,False,False,0.960000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,13.331158163159879,616096.054605094017461,641362.054605094017461,-286137.945394905982539,-147012.945394905982539,286137.945394905982539,147012.945394905982539,0.691495476663174
5100,35483,0.190000000000000,2596,1.150000000000000,ST. JOHN'S,633600,2015,100,2596.000000000000000,2015,2024,0,0.000000000000000,311.000000000000000,576.000000000000000,8,0,3.000000000000000,15484,523076.000000000000000,0.228355731608660,-82.408874999999995,29.689986000000001,06048-100-022,HaileLike,True,False,False,0.920000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,13.145478244780140,511692.043120190734044,527176.043120190734044,-106423.956879809265956,-11383.956879809265956,106423.956879809265956,11383.956879809265956,0.832032896338685
5699,35450,0.150000000000000,1399,1.000000000000000,ST. JOHN'S,311400,2000,100,1398.500000000000000,1992,2022,0,0.000000000000000,221.500000000000000,420.000000000000000,21,0,2.000000000000000,2119,262571.000000000000000,0.180280840743679,-82.407348999999996,29.691223999999998,06048-050-016,HaileLike,True,False,False,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.503931224314080,269394.256818438647315,271513.256818438647315,-39886.743181561352685,6823.256818438647315,39886.743181561352685,6823.256818438647315,0.871911550476682
