prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,Total_MISC_Val,total_porch_area,total_garage_area,effective_age
1918,0.39,1736,3,HIGH SPRINGS,189800,265400,1102,619.5,528,21
1926,1.52,2112,4,HIGH SPRINGS,0,427200,2396,355,995,19
1927,1.52,1364,3,HIGH SPRINGS,0,318400,3844,854.5,0,22
1935,0.43,2163,3,HIGH SPRINGS,189800,374600,16641,360,0,14
1941,0.66,1767,3,HIGH SPRINGS,189800,280000,0,440,0,26
1951,1.99,1867,3,HIGH SPRINGS,0,419400,27065,216,273,21
1960,0.21,1593,3,HIGH SPRINGS,247500,308600,1074,170,484,11
1965,0.21,1733,3,HIGH SPRINGS,247500,322000,4102,72,484,9
1966,0.21,1556,3,HIGH SPRINGS,247500,317600,1164,212,484,10
1970,0.21,1441,3,HIGH SPRINGS,247500,316800,671,376,800,7
2026,0.23,1847,3,HIGH SPRINGS,247500,329400,77,239,462,8
2030,0.25,1644,3,HIGH SPRINGS,247500,320300,1216,290,484,9
2033,0.2,1484,3,HIGH SPRINGS,247500,321500,943,397.5,444,15
2043,0.2,1394,3,HIGH SPRINGS,247500,276900,1535,188,400,8
2047,0.2,1772,3,HIGH SPRINGS,247500,331700,1180,216,484,10
2052,0.21,1912,3,HIGH SPRINGS,247500,332300,1480,226,462,7
2060,0.2,1441,3,HIGH SPRINGS,247500,302900,4164,188,400,7
2092,0.19,1968,3,HIGH SPRINGS,247500,355000,447,240,484,12
2096,0.23,1752,3,HIGH SPRINGS,247500,333200,1310,236,484,9
2103,0.21,1740,3,HIGH SPRINGS,247500,361700,31385,175.5,484,12
2124,0.23,1772,3,HIGH SPRINGS,247500,329200,1671,216,484,11
2179,4,1470,3,SUWANNEE,0,242400,12203,600,0,21
2200,5,1860,3,HIGH SPRINGS,203500,436500,50981,372,0,9
2240,5,1946,3,HIGH SPRINGS,182400,388900,6303,346,484,12
2247,2.71,1570,3,HIGH SPRINGS,182400,308700,616,192,576,18
2259,2.64,1456,4,SUWANNEE,14100,343400,4282,36,0,9
2339,1.25,1893,3,HIGH SPRINGS,107700,387700,5873,606,462,28
2343,1.03,1667,3,HIGH SPRINGS,107700,434300,7669,214,567,27
2344,1.03,2045,3,HIGH SPRINGS,107700,429700,12222,338,504,20
2363,0.25,1457,3,HIGH SPRINGS,94000,314600,420,214,420,14
2364,0.25,1629,3,HIGH SPRINGS,94000,311900,18203,209,441,16
2377,0.25,1465,3,HIGH SPRINGS,94001,285400,1437,214,412,19
2384,0.25,1465,3,HIGH SPRINGS,94001,299900,413,428,824,14
2388,0.36,1485,3,HIGH SPRINGS,94002,266000,7656,214,412,19
2391,0.36,1585,3,HIGH SPRINGS,94002,304200,1191,209,447,19
2395,0.23,1507,3,HIGH SPRINGS,94002,270300,1484,248,411,19
2409,5.61,1936,3,HIGH SPRINGS,182500,475300,14764,426,456,8
2416,4.24,2608,3,SUWANNEE,182600,220500,24701,433,0,34
2453,1.54,2280,3,HIGH SPRINGS,0,309400,3549,40,0,24
2498,1,1080,3,HIGH SPRINGS,0,135100,3656,112,0,30
2518,0.23,1178,3,HIGH SPRINGS,178600,218100,1159,124,264,26
2529,0.46,1259,3,HIGH SPRINGS,178600,272300,411,78,240,9
2532,0.46,1160,3,HIGH SPRINGS,178700,250500,1373,120,462,18
2534,0.46,1452,3,HIGH SPRINGS,178700,163100,785,342,0,24
2564,0.23,1208,3,HIGH SPRINGS,73000,220500,468,132,308,19
2570,0.36,1204,3,HIGH SPRINGS,73000,248300,532,56,308,15
2598,0.17,1194,3,HIGH SPRINGS,73000,238800,487,55,374,18
2602,0.17,900,3,HIGH SPRINGS,73000,194900,173,116,252,29
2619,0.17,1154,3,HIGH SPRINGS,73000,211700,259,60,0,24
2622,0.17,956,3,HIGH SPRINGS,73000,189300,1012,48,0,14
2712,0.31,1096,3,HIGH SPRINGS,64600,214000,0,0,0,19
2817,0.16,1064,3,HIGH SPRINGS,64600,180600,0,0,0,14
2857,0.34,1002,3,HIGH SPRINGS,64600,157600,0,66,0,30
2899,0.52,1297,3,HIGH SPRINGS,64600,168800,2597,0,0,30
2919,0.35,2401,4,HIGH SPRINGS,64600,434200,4988,535,676,23
2920,0.54,1743,3,HIGH SPRINGS,64600,296200,336,402,0,20
2927,0.34,1464,3,HIGH SPRINGS,64600,225300,3674,192,0,24
2928,0.34,1312,3,HIGH SPRINGS,64600,243500,0,456,0,15
2929,0.34,1321,3,HIGH SPRINGS,64600,291300,320,224,440,16
2930,0.34,1885,3,HIGH SPRINGS,64600,240900,3172,46,0,30
2934,0.34,1318,3,HIGH SPRINGS,64600,275400,12612,92,416,25
2950,0.34,1316,3,HIGH SPRINGS,64600,243900,1504,198,252,30
2962,0.34,1273,3,HIGH SPRINGS,64600,306000,11050,161,420,14
2967,0.34,2044,3,HIGH SPRINGS,64600,318600,5854,0,420,25
2976,0.33,1701,3,HIGH SPRINGS,64600,344300,32113,130,552,24
2985,0.41,1798,3,HIGH SPRINGS,182000,312500,6342,318,441,19
3017,0.34,1606,2,HIGH SPRINGS,64600,197000,2564,150,0,30
3027,0.34,1240,3,HIGH SPRINGS,64600,198500,11696,168,0,30
3033,0.34,1240,3,HIGH SPRINGS,64600,96400,5870,96,0,30
3034,0.34,1200,3,HIGH SPRINGS,64600,234900,279,90,315,21
3037,1.19,1477,3,HIGH SPRINGS,64600,181500,4704,0,0,30
3044,1.15,1930,3,HIGH SPRINGS,64500,165000,508,0,0,30
3055,0.36,1248,3,HIGH SPRINGS,93500,291300,7909,168,712,22
3059,0.34,1008,3,HIGH SPRINGS,93500,128800,5645,0,0,30
3071,0.34,2120,3,HIGH SPRINGS,93500,299700,7244,378,0,29
3074,0.15,1080,3,HIGH SPRINGS,93500,72900,1738,216,0,30
3100,0.23,1156,3,HIGH SPRINGS,64600,224500,7825,0,0,24
3212,0.22,1176,3,HIGH SPRINGS,64600,126900,1200,0,0,30
3234,0.34,1737,3,HIGH SPRINGS,64600,269200,17953,56,0,30
3236,0.34,1029,3,HIGH SPRINGS,64600,216300,4356,0,0,16
3237,0.34,1171,3,HIGH SPRINGS,64600,245000,2124,294,0,19
3242,0.45,1380,3,HIGH SPRINGS,64600,331400,4896,96,0,16
3245,0.23,1431,3,HIGH SPRINGS,64600,264100,1400,0,0,24
3246,0.23,1926,2,HIGH SPRINGS,64600,144900,2388,550,0,30
3256,0.17,1120,3,HIGH SPRINGS,64600,188800,699,352,0,24
3280,0.34,1456,3,HIGH SPRINGS,64600,286300,7916,224,0,20
3283,0.18,1044,3,HIGH SPRINGS,64600,198800,592,0,0,29
3310,0.68,2258,3,HIGH SPRINGS,64600,263600,7636,24,0,30
3316,0.34,2370,3,HIGH SPRINGS,64600,360400,13996,188,0,24
3319,0.38,2153,3,HIGH SPRINGS,64600,313300,4185,889,0,25
3326,0.34,1125,3,HIGH SPRINGS,64600,250500,947,50,0,10
3354,0.73,2785,3,HIGH SPRINGS,64600,402900,1276,175,0,27
3360,0.34,1551,3,HIGH SPRINGS,64600,237300,2944,252,0,20
3371,0.34,832,3,HIGH SPRINGS,64600,149800,3753,0,396,30
3382,0.32,1624,3,HIGH SPRINGS,64600,319900,4016,262,0,12
3384,0.23,1600,3,HIGH SPRINGS,64600,247500,314,24,0,25
3387,0.46,2513,3,HIGH SPRINGS,64600,368700,7300,1937,0,21
3389,0.28,2066,3,HIGH SPRINGS,64600,297000,10668,108,0,24
3390,0.43,1416,3,HIGH SPRINGS,64600,207100,1295,40,0,26
3397,0.21,2408,4,HIGH SPRINGS,64600,467100,2342,230,0,22
3398,0.14,1136,3,HIGH SPRINGS,64600,226600,320,15,0,15
3404,0.11,911,3,HIGH SPRINGS,64600,180400,1251,326,0,14
3405,0.34,1172,3,HIGH SPRINGS,64600,171500,0,204,0,29
3408,0.34,1371,3,HIGH SPRINGS,64600,83200,4716,0,0,30
3423,0.25,1657,3,HIGH SPRINGS,64600,287900,1851,744,0,15
3432,0.2,1442,3,HIGH SPRINGS,64600,142000,2739,356,0,30
3457,0.57,1648,3,HIGH SPRINGS,64600,363700,8884,280,576,18
3465,0.23,1084,3,HIGH SPRINGS,152700,192200,3100,130,0,26
3482,0.34,1083,2,HIGH SPRINGS,64600,91900,0,96,0,30
3500,0.68,1372,3,HIGH SPRINGS,64600,218000,700,339,0,29
3503,0.34,1656,2,HIGH SPRINGS,64600,92000,0,696,0,30
3517,0.11,702,3,HIGH SPRINGS,64600,109900,2421,140,0,30
3547,1.15,2112,3,HIGH SPRINGS,94500,260300,37536,36,0,28
3553,0.34,945,3,HIGH SPRINGS,94500,118500,64,120,0,30
3557,0.34,1058,3,HIGH SPRINGS,94500,211200,425,276,0,12
3584,0.23,1064,3,HIGH SPRINGS,94900,255400,21702,440,0,29
3586,0.2,1248,3,HIGH SPRINGS,94900,141100,680,75,0,10
3705,0.11,1200,3,HIGH SPRINGS,71600,231300,518,60,0,2
3706,0.09,1200,3,HIGH SPRINGS,71600,210200,518,200,0,2
3766,0.23,1200,3,HIGH SPRINGS,171900,259900,1628,160,0,30
3782,0.18,839,3,HIGH SPRINGS,171900,145100,576,241,0,21
3795,0.3,1284,3,HIGH SPRINGS,171900,196400,8775,0,0,30
3802,0.23,2201,3,HIGH SPRINGS,171900,219800,5672,216,0,30
3821,0.23,1655,3,HIGH SPRINGS,171900,286900,2477,91,0,30
3824,0.23,1100,3,HIGH SPRINGS,171900,221500,2500,144,0,15
3826,0.17,1580,3,HIGH SPRINGS,171900,178500,1155,0,0,30
3836,0.92,1115,2,HIGH SPRINGS,171900,87400,72,220,0,30
3846,0.23,1328,3,HIGH SPRINGS,171900,256300,482,192,0,19
3850,0.23,1232,3,HIGH SPRINGS,171900,222900,783,0,0,13
3873,0.45,1679,3,HIGH SPRINGS,45800,319500,1005,265,420,16
3886,0.34,1344,3,HIGH SPRINGS,45800,206100,240,412,0,30
3929,0.34,984,3,HIGH SPRINGS,45800,151100,1296,0,0,30
3938,0.31,1600,3,HIGH SPRINGS,45800,275600,3168,304,0,14
3947,0.23,1524,3,HIGH SPRINGS,45800,290700,1616,454,460,17
3950,0.23,1524,3,HIGH SPRINGS,45800,300800,512,454,460,17
3956,0.46,1040,3,HIGH SPRINGS,45800,200100,1546,120,0,30
3969,0.3,896,3,HIGH SPRINGS,45800,153000,640,0,0,30
4032,0.34,1352,3,HIGH SPRINGS,0,198300,352,0,0,30
4050,0.74,1860,4,HIGH SPRINGS,236800,385000,19073,374.5,511,17
4054,1.64,1503,4,HIGH SPRINGS,236800,299000,7334,96,408,14
4058,1.02,1958,4,HIGH SPRINGS,236800,442000,38944,530,462,18
4104,0.23,1012,3,HIGH SPRINGS,152600,159300,232,80,0,25
4107,0.59,1200,3,HIGH SPRINGS,152600,181400,1352,304,0,30
4176,0.5,1398,3,HIGH SPRINGS,0,359800,3123,120,0,10
4179,0.47,1431,3,HIGH SPRINGS,180500,270300,567,36,399,16
4181,0.31,1504,3,HIGH SPRINGS,180500,235500,23656,32,462,18
4184,0.43,1347,3,HIGH SPRINGS,180500,274700,491,94,437,18
4192,0.25,1347,3,HIGH SPRINGS,180500,270700,1763,94,437,19
4199,0.37,1485,3,HIGH SPRINGS,180500,233400,736,168,441,24
4203,0.37,1485,3,HIGH SPRINGS,180500,272300,1406,65,400,17
4204,0.37,1422,3,HIGH SPRINGS,180500,281600,653,42,380,15
4209,0.25,1290,3,HIGH SPRINGS,180500,273900,1174,124.5,420,11
4211,0.28,1477,3,HIGH SPRINGS,180500,278400,2455,324,840,21
4244,0.2984,1825,3,HIGH SPRINGS,180500,250500,2820,384,572,30
4252,0.3,1201,3,HIGH SPRINGS,180500,198900,1309,332,0,30
4256,0.51,1384,3,HIGH SPRINGS,180500,225500,6838,72,506,30
4260,0.53,1471,3,HIGH SPRINGS,180500,184900,0,338,0,30
4268,0.38,925,3,HIGH SPRINGS,180500,205000,4051,185,0,11
4278,0.25,925,3,HIGH SPRINGS,180500,185000,4327,148,0,25
4285,0.25,1236,3,HIGH SPRINGS,180500,252800,4652,60,260,12
4302,0.25,1292,3,HIGH SPRINGS,180500,225000,1360,48,420,24
4309,0.36,1327,3,HIGH SPRINGS,180500,166600,731,36,399,26
4315,0.74,1504,3,HIGH SPRINGS,180500,302200,5464,32,462,18
4318,0.41,1478,3,HIGH SPRINGS,180500,312600,24021,52,420,11
4321,0.25,1192,3,HIGH SPRINGS,180500,253300,507,325,400,17
4339,0.25,1487,3,HIGH SPRINGS,180500,288500,2912,243,399,12
4345,0.25,1518,3,HIGH SPRINGS,180500,221300,948,132,462,18
4347,0.25,1413,3,HIGH SPRINGS,180500,275400,555,40,380,21
4351,0.28,1180,3,HIGH SPRINGS,180500,243100,1579,110,440,14
4356,0.29,1328,3,HIGH SPRINGS,180502,242900,7698,94,456,18
4363,0.25,1385,3,HIGH SPRINGS,180502,286900,1451,72,440,11
4368,0.25,1403,3,HIGH SPRINGS,180502,214800,311,245,420,15
4423,3.17,1214,3,SUWANNEE,0,241000,3642,36,294,18
4449,0.33,1434,3,HIGH SPRINGS,9005,229000,3104,69,0,30
4451,0.33,1008,3,HIGH SPRINGS,9005,175100,192,375,0,30
4467,0.33,1300,3,HIGH SPRINGS,9105,255100,4882,600,0,19
4469,0.33,1000,3,HIGH SPRINGS,9105,167300,358,0,0,30
4483,0.24,1212,3,HIGH SPRINGS,8905,223000,1279,316,0,24
4490,0.31,1710,3,HIGH SPRINGS,8905,280000,6575,125,441,29
4495,0.35,1260,3,HIGH SPRINGS,8905,195500,220,316,0,30
4499,0.35,1308,3,HIGH SPRINGS,8905,248000,15524,60,0,30
4506,12.85,2118,4,SUWANNEE,0,468100,19075,269,400,24
4570,5,1050,2,SUWANNEE,19200,101300,11040,0,0,30
4598,5.17,2310,4,SUWANNEE,0,724300,46703,1012,1305,7
4604,5.27,2341,3,SUWANNEE,160200,494400,16554,563,0,19
4613,2.12,2088,3,SUWANNEE,700,329600,18719,36,0,15
4621,0.43,1058,3,SUWANNEE,160100,258600,6522,308,0,30
4682,5.01,2937,4,HIGH SPRINGS,227600,695800,1630,1022,1440,4
4687,5.01,3089,4,HIGH SPRINGS,227600,643500,5356,231,572,9
4696,6.36,3098,4,HIGH SPRINGS,227600,841500,31514,442.5,951,9
4703,1.01,1981,3,HIGH SPRINGS,232400,441000,15770,310,540,15
4710,1.01,1963,3,HIGH SPRINGS,232400,397300,4226,224,462,20
4720,1.01,2277,3,HIGH SPRINGS,232400,513100,20383,349,574,12
4728,1.85,2103,3,HIGH SPRINGS,232400,474700,2620,316,491,12
4729,1.79,3186,4,HIGH SPRINGS,232400,750200,8891,1046,954,3
4747,1.09,2094,3,HIGH SPRINGS,232400,432900,4406,600,480,19
4759,1.16,2151,3,HIGH SPRINGS,232400,471500,2256,474.5,441,12
4805,5.01,1500,3,HIGH SPRINGS,93700,272400,4468,68,720,22
4825,0.97,1365,3,SUWANNEE,0,215700,11272,0,0,30
4834,0.42,1112,3,SUWANNEE,0,201500,1076,0,0,24
4842,1.53,2016,3,HIGH SPRINGS,228700,373600,7652,348,576,19
4847,1.06,1744,3,HIGH SPRINGS,228700,371600,2576,323,462,20
4848,1.02,1873,3,HIGH SPRINGS,228700,443500,47412,1557,1380,12
4864,1.02,2096,3,HIGH SPRINGS,228700,437800,20021,660,506,14
4871,1.03,1828,3,HIGH SPRINGS,228700,367500,24162,330.5,484,21
4881,1.04,2058,3,HIGH SPRINGS,228700,445500,2852,266,462,12
4891,2.26,3148,3,HIGH SPRINGS,228700,580400,46703,1545,2368,22
4894,1.39,2161,3,HIGH SPRINGS,227601,423000,1556,314,462,10
4904,1.06,1636,3,HIGH SPRINGS,227601,434900,2623,512,1241,10
4905,1.01,1984,3,HIGH SPRINGS,227601,426100,1846,241,483,10
4909,1.01,2104,4,HIGH SPRINGS,227601,539900,22806,204,716,10
4911,1,1984,4,HIGH SPRINGS,227601,479300,9333,241,463,10
4921,1.56,1525,4,HIGH SPRINGS,227601,396000,1648,252,920,8
4936,1.1,1850,4,HIGH SPRINGS,227601,417500,1892,417,924,10
4969,3.8,2220,3,HIGH SPRINGS,228701,536100,3097,414,500,15
4988,0.54,912,3,HIGH SPRINGS,180501,186500,510,88,240,25
4999,0.28,1152,3,HIGH SPRINGS,180501,198500,706,64,0,11
5006,0.28,1008,3,HIGH SPRINGS,180501,198100,520,87,288,27
5010,0.23,1344,3,HIGH SPRINGS,180500,204900,488,400,0,30
5013,0.23,1056,3,HIGH SPRINGS,180500,227000,540,0,0,17
5017,0.3,1144,3,HIGH SPRINGS,180500,204700,220,0,0,30
5027,0.23,1144,3,HIGH SPRINGS,180500,203000,2209,120,168,30
5029,0.23,1056,3,HIGH SPRINGS,180500,186300,291,120,0,19
5048,1.29,1335,3,HIGH SPRINGS,180500,235600,24302,25,0,30
5049,0.34,1075,3,HIGH SPRINGS,180500,191800,760,25,0,30
5050,0.34,1332,3,HIGH SPRINGS,180500,261900,0,104,0,17
5064,0.23,1200,3,HIGH SPRINGS,180500,251100,6243,54,0,18
5075,0.27,1000,3,HIGH SPRINGS,180500,201000,1574,60,0,17
5081,0.58,1767,3,HIGH SPRINGS,165100,282200,1160,486,1020,30
5086,0.4,1323,3,HIGH SPRINGS,180500,169800,6718,76,0,30
5091,0.5,1690,3,HIGH SPRINGS,180500,273900,3635,210,0,23
5094,0.7,1520,3,HIGH SPRINGS,180500,262400,1531,68,0,30
5098,0.34,1574,3,HIGH SPRINGS,180500,270200,966,336,0,21
5100,0.34,1142,3,HIGH SPRINGS,180500,252100,1122,68,0,11
5104,0.7,1284,3,HIGH SPRINGS,180500,182000,12320,20,0,30
5110,0.23,1332,3,HIGH SPRINGS,180500,253300,100,0,0,11
5116,0.34,1729,3,HIGH SPRINGS,180500,269500,12701,533,0,24
5117,0.34,1289,3,HIGH SPRINGS,180500,220000,2226,60,0,21
5119,0.35,1360,3,HIGH SPRINGS,180500,230600,569,104,0,30
5135,0.23,1056,3,HIGH SPRINGS,180500,167000,583,72,0,30
5136,0.23,1352,3,HIGH SPRINGS,180500,206900,1836,81,0,30
5139,0.24,1056,3,HIGH SPRINGS,180500,207900,2365,312,0,30
5140,0.3,1140,3,HIGH SPRINGS,180500,247000,788,64,0,24
5144,0.3,1308,3,HIGH SPRINGS,180500,201400,8914,0,0,24
5148,0.23,1308,3,HIGH SPRINGS,180500,214400,2470,68,0,30
5165,5,1284,4,HIGH SPRINGS,227500,387100,2304,296,966,10
5171,2.5,3114,4,HIGH SPRINGS,227500,530200,2604,280,1524,21
5197,0.68,1586,3,HIGH SPRINGS,0,241300,4421,216,0,24
5227,0.64,1296,3,HIGH SPRINGS,228200,168600,2276,0,0,17
5235,2.03,840,3,SUWANNEE,0,225200,4604,0,0,14
5243,1.01,1995,3,HIGH SPRINGS,228100,454000,12183,228.5,506,22
5245,1.14,1997,3,HIGH SPRINGS,228100,367400,7708,593,576,19
5251,0.77,2153,3,HIGH SPRINGS,228100,321000,1280,369,480,22
5253,1,1779,3,HIGH SPRINGS,228100,460000,39466,1728,1126,20
5254,1,1848,3,HIGH SPRINGS,228100,460400,18954,949,924,12
5259,1,1930,3,HIGH SPRINGS,228100,455100,46358,418,529,20
5262,1,1649,3,HIGH SPRINGS,228100,344400,1421,269.5,420,16
5266,1.21,1843,3,HIGH SPRINGS,228100,394200,3636,359,440,16
5276,1.34,2080,3,HIGH SPRINGS,228100,470300,24089,414,968,19
5282,1.01,1930,4,HIGH SPRINGS,228100,439600,31324,50,420,12
5287,1.25,1523,3,HIGH SPRINGS,228100,355300,1264,119,441,20
5303,1.24,2178,3,HIGH SPRINGS,236000,500100,33551,260.5,470,12
5317,1.41,2808,3,HIGH SPRINGS,236000,567300,13510,426,552,12
5329,1.3,2184,3,HIGH SPRINGS,236000,456000,4384,912,1884,20
5330,1.1,2205,3,HIGH SPRINGS,236000,508200,20269,370,441,20
5331,1.03,2207,3,HIGH SPRINGS,236000,510000,43248,231,575,21
5333,1,1551,3,HIGH SPRINGS,236000,346400,3932,251,420,20
5336,1.03,1704,3,HIGH SPRINGS,236000,420200,20984,262,453,18
5368,0.4,1881,3,HIGH SPRINGS,245400,471800,27210,376.5,421,16
5395,0.35,2088,4,HIGH SPRINGS,245400,460400,435,164,500,3
5398,0.37,2108,3,HIGH SPRINGS,245400,446200,2812,290.5,462,10
5410,0.37,1932,3,HIGH SPRINGS,245400,385500,1350,267,531,9
5417,0.37,2020,3,HIGH SPRINGS,245400,422300,948,278,460,17
5422,0.35,1975,3,HIGH SPRINGS,245400,462700,5048,281.5,440,7
5433,0.51,2048,3,HIGH SPRINGS,245400,468000,4921,1164,1232,15
5444,0.37,2450,3,HIGH SPRINGS,245400,473600,19458,379,506,7
5455,0.29,2088,4,HIGH SPRINGS,245400,464300,435,164,500,3
5488,5.01,3363,4,HIGH SPRINGS,145600,710500,21518,390,1662,18
5507,5.03,1788,4,HIGH SPRINGS,145600,405900,14752,418,0,12
5523,15,2004,4,HIGH SPRINGS,0,608400,34936,696,0,8
5541,5.01,1612,3,HIGH SPRINGS,183300,415200,588,20,567,19
5562,5.01,2855,4,HIGH SPRINGS,183300,594500,43646,492,528,12
5564,5.01,2729,4,HIGH SPRINGS,183300,681800,42206,795.5,508,7
5587,1.06,1528,3,SUWANNEE,0,304300,13876,160,0,12
5636,1,2204,3,HIGH SPRINGS,155300,429400,1352,513,478,18
5681,2,616,2,SUWANNEE,0,80800,7152,0,0,30
5709,5,1886,3,HIGH SPRINGS,146000,345100,446,60,420,23
5805,0.63,1758,4,SUWANNEE,191800,349200,1115,221,420,3
5849,4.14,1274,3,SUWANNEE,0,259700,14546,0,0,30
5860,4.82,1276,3,SUWANNEE,0,351400,2408,528,0,20
5865,7.46,2165,3,SUWANNEE,0,212100,6360,0,0,30
5866,9.08,1682,3,SUWANNEE,0,350000,216,610,868,20
5909,3,2592,3,SUWANNEE,170200,486600,9186,72,484,18
5928,2.5,1562,3,SUWANNEE,0,145600,22013,120,0,30
5935,6.64,1878,3,SUWANNEE,0,465300,11035,252,0,30
5952,5.1,1712,3,SUWANNEE,0,341900,10268,102,0,15
5968,1,1248,3,SUWANNEE,0,259500,200,624,0,30
5983,4.03,1862,3,SUWANNEE,0,383000,6820,160,1144,25
6026,2.25,1957,3,HIGH SPRINGS,59000,367200,4524,264,437,19
6039,2.03,1350,3,HIGH SPRINGS,59000,248900,1530,96,420,18
6041,2.05,1873,3,HIGH SPRINGS,59000,445500,2813,268,420,9
6042,3.1,1460,3,HIGH SPRINGS,59000,392000,6871,76,462,9
6052,5,3348,4,SUWANNEE,151000,743600,34241,1089.5,682,15
6056,6.03,2516,4,SUWANNEE,151000,498900,12699,330,484,19
6103,1.26,1272,3,SUWANNEE,30900,320000,5416,304,0,14
6117,6.26,1526,3,SUWANNEE,0,387500,35878,0,0,19
6119,6,1775,3,SUWANNEE,0,390300,320,140,500,22
6163,4.37,2943,4,SUWANNEE,0,568300,36586,436,0,20
6188,6.58,2142,4,SUWANNEE,0,596700,4592,314,0,3
6229,12.37,3208,3,SUWANNEE,0,588300,36916,680,0,17
6307,5,2512,4,SUWANNEE,0,779600,60306,1158,774,9
6353,7.5,2166,4,SUWANNEE,0,577500,28740,232,0,24
6396,5,1425,3,SUWANNEE,0,325700,10096,0,0,19
6406,5,1560,3,SUWANNEE,0,405900,21204,624,0,11
6564,1,1112,3,SUWANNEE,0,168800,4008,240,0,17
6592,2.1,2842,4,SUWANNEE,113800,486200,5217,756,750,16
6666,5,1593,3,SUWANNEE,0,315000,5013,75,384,30
6681,3.4,1242,3,SUWANNEE,0,319800,16309,36,594,9
6700,10.03,1496,3,SUWANNEE,0,463900,14904,448,816,20
6740,20,4529,5,SUWANNEE,0,1542300,254508,684,576,7
6804,10,2171,4,NEWBERRY,207000,549600,14660,267.5,484,18
6875,1.77,2533,3,SUWANNEE,0,394500,17826,66,0,9
6907,2,2252,4,SUWANNEE,47700,501300,11748,658,672,12
6909,3.88,2462,4,SUWANNEE,47700,657900,6349,1776,1208,10
6981,5,1908,3,SUWANNEE,0,414100,14958,144,0,14
7004,4.68,1200,3,SUWANNEE,29800,329600,11788,464,1200,21
7010,5.17,2051,3,SUWANNEE,29800,353400,21563,0,0,30
7032,4.89,1118,3,SUWANNEE,29800,329800,11498,108,0,21
7147,5.09,1584,3,NEWBERRY,0,530000,25890,448,0,9
