OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,Gainesvilleish_Region,Haile,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Real_Tioga,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_B,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
6426,83392,0.380000000000000,1612,1.000000000000000,ST. JOHN'S,207800,1093,2010,100,1612.000000000000000,0.000000000000000,145.000000000000000,0.000000000000000,14,175537.000000000000000,0.492039054954272,-82.266157000000007,29.651501000000000,10871-001-000,MidtownEast_C,True,False,False,0.860000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.149928334503002,189080.538802347145975,190173.538802347145975,-17626.461197652854025,13543.538802347145975,17626.461197652854025,13543.538802347145975,0.915175836392431
6427,83406,0.380000000000000,1360,0.900000000000000,ST. JOHN'S,56800,1608,1994,100,880.000000000000000,0.000000000000000,480.000000000000000,0.000000000000000,30,46672.000000000000000,0.492039054954272,-82.266755000000003,29.649508999999998,10871-016-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.714528277955882,122336.200809783884324,123944.200809783884324,67144.200809783884324,75664.200809783884324,67144.200809783884324,75664.200809783884324,2.182116211439857
6428,83414,0.380000000000000,1296,1.000000000000000,ST. JOHN'S,144600,1146,1994,100,954.000000000000000,0.000000000000000,342.000000000000000,0.000000000000000,30,121764.000000000000000,0.492039054954272,-82.266752999999994,29.648409000000001,10871-024-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.781815688492326,130851.148937922524055,131997.148937922524055,-12602.851062077475945,9087.148937922524055,12602.851062077475945,9087.148937922524055,0.912843353650917
6429,83417,0.400000000000000,1899,1.000000000000000,ST. JOHN'S,301300,20472,1994,100,1899.000000000000000,0.000000000000000,88.000000000000000,0.000000000000000,30,235632.999999999970896,0.517935847320286,-82.264767000000006,29.651499000000001,10872-002-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.011503859675996,164637.910502500046277,185109.910502500046277,-116190.089497499953723,-70995.089497499924619,116190.089497499953723,70995.089497499924619,0.614370761707601
6430,83433,0.260000000000000,1123,1.000000000000000,ST. JOHN'S,120900,496,1994,100,936.000000000000000,0.000000000000000,187.000000000000000,0.000000000000000,30,102269.000000000000000,0.336658300758186,-82.264763000000002,29.650330000000000,10872-018-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.659677221552325,115806.644497164030327,116302.644497164030327,-4597.355502835969673,13537.644497164030327,4597.355502835969673,13537.644497164030327,0.961973899893830
6431,83451,0.270000000000000,1216,1.000000000000000,ST. JOHN'S,172400,264,1994,100,1216.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,146276.000000000000000,0.349606696941193,-82.265642000000000,29.648956999999999,10872-037-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.679042394283863,118071.115339674273855,118335.115339674273855,-54064.884660325726145,-28204.884660325726145,54064.884660325726145,28204.884660325726145,0.686398580856579
6432,83465,1.220000000000000,1380,1.000000000000000,ST. JOHN'S,167400,1392,1994,100,1200.000000000000000,0.000000000000000,204.000000000000000,0.000000000000000,30,140898.000000000000000,1.579704334326873,-82.258134999999996,29.650815999999999,10874-003-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.911453343631985,148963.016637542750686,150355.016637542750686,-17044.983362457249314,8065.016637542750686,17044.983362457249314,8065.016637542750686,0.898178116114353
6433,83509,0.240000000000000,1330,1.000000000000000,ST. JOHN'S,206700,331,2005,100,1330.000000000000000,0.000000000000000,148.000000000000000,260.000000000000000,19,175364.000000000000000,0.310761508392172,-82.269769999999994,29.652242000000001,10882-010-024,MidtownEast_C,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.036942004076080,168879.716544256720226,169210.716544256720226,-37489.283455743279774,-6484.283455743279774,37489.283455743279774,6484.283455743279774,0.818629494650492
6434,83513,0.230000000000000,1274,1.000000000000000,ST. JOHN'S,198900,750,2006,100,1274.000000000000000,0.000000000000000,265.000000000000000,260.000000000000000,18,168315.000000000000000,0.297813112209165,-82.268962999999999,29.653037000000001,10882-010-028,MidtownEast_C,True,False,False,0.820000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.025044006119952,166882.292260290705599,167632.292260290705599,-31267.707739709294401,-1432.707739709294401,31267.707739709294401,1432.707739709294401,0.842796843943141
6435,83540,0.240000000000000,1249,1.000000000000000,ST. JOHN'S,190700,6080,2001,100,1249.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,23,156014.999999999970896,0.310761508392172,-82.270144999999999,29.654662999999999,10884-013-000,MidtownEast_C,True,False,False,0.770000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.796942815676488,132845.598020232282579,138925.598020232282579,-51774.401979767717421,-23169.401979767688317,51774.401979767717421,23169.401979767688317,0.728503398113436
