prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val
44216,0.54,2276,4,ST. JOHN'S,144900,395100,1979,100,1526,1972,2023,0,750,100,440,43,50,0,0,2.5,3924
44944,0.15,1708,3,ST. JOHN'S,233100,321800,2003,100,1708,2003,2023,0,0,209,380,19,19,0,0,2,656
46088,0.45,1458,3,GAINESVILLE,109000,269300,1990,100,1458,1966,2023,0,0,136,616,32,56,0,0,2,869
49049,0.33,1544,3,GAINESVILLE,16103,338100,2005,100,1544,1958,2023,0,0,316,0,17,64,0,0,2,400
49560,0.25,2324,3,GAINESVILLE,215701,302600,1990,100,1574,1963,2023,0,750,15,0,32,59,0,0,2,768
50584,0.37,1552,3,GAINESVILLE,13800,312100,2000,100,1552,1973,2023,0,0,48,520,22,49,0,0,2,3657
52340,0.76,2305,4,ST. JOHN'S,28300,384900,1985,100,2305,1981,2023,0,0,357,598,37,41,0,0,2,2538
90856,0.93,2840,5,GAINESVILLE,0,779000,2014,100,2580,1952,2025,0,0,296,0,10,72,0,0,2,19375
92184,0.33,1498,3,ST. JOHN'S,50900,250000,2006,100,1498,2006,2025,0,0,147,360,18,18,0,0,2,665
93297,0.25,1248,3,ST. JOHN'S,75300,139000,1994,100,1248,1959,2025,0,0,116,0,30,65,0,0,1,300
93355,0.28,1296,3,ST. JOHN'S,110300,177900,1994,100,1296,1982,2025,0,0,0,0,30,42,0,0,1,705
93735,1,3164,3,ST. JOHN'S,117400,475200,2006,100,3164,2004,2025,0,0,294,528,18,20,0,0,2.5,20466
93902,0.29,1790,3,ST. JOHN'S,182300,300000,2005,100,1130,1972,2025,0,0,760,0,19,52,0,0,1,1902
94039,0.33,1605,3,ST. JOHN'S,168000,250000,1994,100,1371,1964,2025,0,0,619,0,30,60,0,0,2,1728
96441,6.5,3171,4,WALDO,57200,530000,1994,100,2690,1961,2025,0,0,584,528,30,63,0,0,3,35231
97206,5,2020,3,ST. JOHN'S,0,374900,2000,100,2020,1981,2025,0,0,468,440,24,43,0,0,2,1252
98160,0.18,1440,3,ST. JOHN'S,113100,125000,1994,100,720,1978,2025,0,720,0,0,30,46,0,0,1.5,384
102878,0.37,1008,3,HAWTHORNE,7800,192000,1994,100,1008,1992,2025,0,0,72,336,30,32,0,0,1,352
103050,0.16,1252,3,HAWTHORNE,196000,119900,1994,100,1148,1954,2025,0,0,104,0,30,70,0,0,1,145
103258,0.6,1934,3,HAWTHORNE,0,120000,1994,100,1024,1900,2025,0,630,280,0,30,124,0,0,2,7236
502492,0.14,1926,4,SUWANNEE,2552.06,644900,2021,100,1926,2021,2025,0,0,556,420,3,3,0,0,2,2419
60691,0.25,2670,4,ST. JOHN'S,83200,775000,2018,100,2420,1999,2025,0,250,70,484,6,25,0,0,3,2086
60697,0.22,2376,4,ST. JOHN'S,83200,569000,2009,100,2376,2002,2025,0,0,279,644,15,22,0,0,2,5415
61407,0.77,3980,5,ST. JOHN'S,81300,830000,2001,100,2900,2001,2025,0,1080,437,832,23,23,0,0,3.5,35996
61420,0.37,3112,4,ST. JOHN'S,81300,715000,2000,100,3112,1999,2025,0,0,572,660,24,25,0,0,3,26488
