prop_id,Cluster ID
12279,1
12342,1
12344,1
12349,1
12359,1
12366,1
12368,1
12375,1
12377,1
12379,1
12380,1
12382,1
12386,1
12387,1
12393,1
12394,1
12395,1
12399,1
12406,1
12408,1
12410,1
12413,1
12415,1
12465,1
12494,1
12500,1
12506,1
12509,1
12544,1
12558,1
12559,1
12562,1
12580,1
12639,1
12641,1
12642,1
12643,1
12647,1
12667,1
12673,1
12676,1
12682,1
12688,1
12689,1
12691,1
12698,1
12704,1
12708,1
12710,1
12717,1
12718,1
12772,1
12796,1
12803,1
12805,1
12810,1
12814,1
12817,1
12823,1
12850,1
12853,1
12855,1
12857,1
12858,1
12891,1
12968,1
13226,1
13350,1
13382,1
13384,1
13388,1
13393,1
13408,1
13424,1
13444,1
13445,1
13465,1
13549,1
13686,1
13693,1
13694,1
13701,1
13704,1
13705,1
13707,1
13720,1
13721,1
13728,1
13733,1
13738,1
13739,1
13749,1
13771,1
13776,1
13780,1
13796,1
13830,1
13834,1
13836,1
13894,1
13966,1
13979,1
13986,1
13991,1
14015,1
14016,1
14017,1
14043,1
14073,1
14112,1
14137,1
14140,1
14159,1
14170,1
14177,1
14192,1
14214,1
14222,1
14232,1
14235,1
14239,1
14250,1
14254,1
14255,1
14318,1
14383,1
14386,1
14400,1
14426,1
14435,1
14462,1
14521,1
14523,1
14542,1
14543,1
14552,1
14555,1
14601,1
14607,1
14608,1
14609,1
14621,1
14660,1
14714,1
14718,1
14750,1
14755,1
14763,1
14781,1
14789,1
14795,1
14801,1
14802,1
14816,1
14829,1
14834,1
14835,1
14859,1
14862,1
14875,1
14892,1
14898,1
14912,1
14923,1
14938,1
14943,1
14950,1
14952,1
14963,1
14965,1
14995,1
14997,1
15013,1
15021,1
15089,1
15155,1
15241,1
15285,1
15349,1
15367,1
15369,1
15374,1
15396,1
15442,1
15443,1
15450,1
15467,1
15537,1
15542,1
15543,1
15546,1
15558,1
15564,1
15567,1
15571,1
15577,1
15584,1
15586,1
15593,1
15594,1
15597,1
15599,1
15601,1
15605,1
15640,1
15641,1
15649,1
15650,1
15763,1
15764,1
15768,1
15776,1
15786,1
15794,1
15799,1
15860,1
15890,1
15894,1
15898,1
15919,1
15961,1
15970,1
15976,1
15977,1
15981,1
16000,1
16028,1
16033,1
16039,1
16040,1
16046,1
16049,1
16062,1
16065,1
16073,1
16074,1
16080,1
16093,1
