Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
157,80022,0.27,1692,3,GAINESVILLE,183000,461500,1990,100,1692.0,1941,2023,0,-82.33122647,29.65998694,09473-000-000,0,84.0,0,32,81,0,0,2.0,3358,324432.5,1
158,96061,0.25,1799,3,WALDO,19700,101300,1970,100,1191.0,1938,2023,0,-82.1705817,29.79135767,17072-016-000,608,343.0,0,52,84,0,0,2.0,950,313523.01,1
189,76929,0.31,905,3,GAINESVILLE,44600,141400,1995,100,905.0,1954,2023,0,-82.33350402,29.68429217,08554-058-000,0,0.0,0,27,68,0,0,1.0,135,324429.07,1
204,93835,0.23,1008,3,ST. JOHN'S,40100,188500,1973,100,1008.0,1961,2023,0,-82.30392186,29.62900851,16224-013-000,0,0.0,0,49,61,0,0,1.0,432,315400.0,1
206,93874,0.51,1344,3,ST. JOHN'S,0,66600,1980,100,1088.0,1940,2023,0,-82.30547314,29.62435696,16232-002-000,0,256.0,0,42,82,0,0,2.0,145,315400.0,1
208,94114,6.37,2905,3,ST. JOHN'S,0,238100,1979,100,2485.0,1976,2023,0,-82.29231844,29.61019337,16262-003-001,0,564.0,0,43,46,0,0,2.0,7527,315400.0,1
227,45679,0.23,1104,3,ST. JOHN'S,214400,147100,1975,100,1104.0,1964,2023,0,-82.40174554,29.67191761,06352-016-000,0,92.0,0,47,58,0,0,1.0,562,114334.01,1
238,60173,0.11,1592,4,ST. JOHN'S,78200,259100,1994,100,1592.0,1994,2023,0,-82.44763425,29.60537114,06860-140-006,0,302.0,440,28,28,0,0,2.0,1229,125320.08,1
243,74544,0.26,1056,3,GAINESVILLE,145500,103000,1972,100,1056.0,1960,2023,0,-82.33429501,29.6905488,08035-042-000,0,0.0,0,50,62,0,0,1.0,1064,324420.03,1
251,91038,0.23,1931,3,GAINESVILLE,110100,236100,1980,100,1931.0,1977,2023,0,-82.33608428,29.6328567,15699-059-018,0,0.0,484,42,45,0,0,2.0,1890,148400.02,1
