OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
41,1,41,28550,0.490000000000000,2758,4,ALACHUA,239001,436700,2005,100,2426.000000000000000,2005,2023,0,-82.426997200000002,29.759708880000002,05900-022-065,0,490.000000000000000,484,17,17,0,0,2,2660,Turkey_Creek
42,1,42,28585,0.090000000000000,1292,3,ALACHUA,245200,268400,2014,100,1292.000000000000000,2014,2023,0,-82.409973780000001,29.762142130000001,05900-040-032,0,22.000000000000000,228,8,8,0,0,2,1169,Turkey_Creek
43,1,43,28591,0.090000000000000,1494,3,ALACHUA,245200,302900,2013,100,1494.000000000000000,2013,2023,0,-82.410739530000001,29.762115059999999,05900-040-038,0,84.000000000000000,299,9,9,0,0,2,1065,Turkey_Creek
44,1,44,28642,0.140000000000000,1698,3,ALACHUA,245200,329700,2009,100,1698.000000000000000,2009,2023,0,-82.409095649999998,29.762704429999999,05900-040-089,0,124.000000000000000,420,13,13,0,0,2,1012,Turkey_Creek
45,1,45,28671,0.180000000000000,1297,3,ALACHUA,201400,295400,2003,100,1297.000000000000000,2003,2023,0,-82.425879760000001,29.761186680000002,05900-101-021,0,176.000000000000000,526,19,19,0,0,2,848,Turkey_Creek
46,1,46,28675,0.180000000000000,1232,3,ALACHUA,201400,274700,2002,100,1232.000000000000000,2002,2023,0,-82.425878280000006,29.760746730000001,05900-101-025,0,28.000000000000000,560,20,20,0,0,2,686,Turkey_Creek
47,1,47,28768,0.140000000000000,2726,4,ALACHUA,201700,442000,2004,100,1950.000000000000000,2004,2023,0,-82.421412489999994,29.755394920000001,05900-111-011,776,370.000000000000000,400,18,18,0,0,4,2809,Turkey_Creek
48,1,48,28906,0.190000000000000,1575,3,ALACHUA,0,330400,2001,100,1575.000000000000000,2001,2023,0,-82.418054830000003,29.758744400000001,05900-160-080,0,232.000000000000000,440,21,21,0,0,2,916,Turkey_Creek
49,1,49,28914,0.480000000000000,2663,3,ALACHUA,0,440400,2001,100,2663.000000000000000,2000,2023,0,-82.416699410000007,29.758949280000000,05900-160-110,0,201.000000000000000,484,21,22,0,0,2,2572,Turkey_Creek
50,1,50,28917,0.420000000000000,2261,3,ALACHUA,0,418500,2000,100,2260.500000000000000,2000,2023,0,-82.416063109999996,29.759974209999999,05900-160-121,0,120.000000000000000,546,22,22,0,0,2,1044,Turkey_Creek
