Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
327,13910,0.3,1077,3,ALACHUA,40400,195000,2010,100,1077.0,2006,2025,0,-82.48670803,29.79838396,03236-005-000,0.0,90.0,0,14,18,0,0,1.0,0,233214.03,1
328,13799,0.17,1056,3,ALACHUA,2500,28000,1995,100,1056.0,1983,2025,0,-82.49406172,29.79722506,03221-002-007,0.0,0.0,0,29,41,0,0,1.5,195,233214.29,1
329,13763,0.18,1056,3,ALACHUA,199401,125000,1995,100,1056.0,1985,2025,0,-82.49214528,29.79819845,03220-001-022,0.0,0.0,0,29,39,0,0,1.5,624,233214.02,1
331,13200,1.0,2197,3,SUWANNEE,0,288000,2009,100,2197.0,2009,2025,0,-82.47463723,29.80643662,03175-008-000,0.0,104.0,0,15,15,0,0,2.0,16560,233200.0,1
332,13084,0.48,1740,3,ALACHUA,116000,149900,1995,100,1740.0,1961,2025,0,-82.49385174,29.80058806,03131-060-000,0.0,66.0,0,29,63,0,0,2.0,1160,233211.01,1
334,12229,1.07,1971,3,ALACHUA,123801,440000,2021,100,1971.0,2021,2025,0,-82.53284845,29.81495511,03024-010-022,0.0,520.0,596,3,3,0,0,2.0,11459,233205.01,2
337,11779,5.0,1922,4,SUWANNEE,129800,525000,2015,100,1682.0,2006,2025,0,-82.4943417,29.85182246,02915-010-007,239.9,450.0,484,9,18,0,0,2.0,6721,232227.11,2
338,11424,3.01,2507,3,SUWANNEE,0,357000,2000,100,2158.0,1977,2025,0,-82.47092954,29.87943908,02836-000-000,0.0,434.0,484,24,47,0,0,2.5,10298,232200.0,1
339,10100,6.01,1114,3,NEWBERRY,0,155000,1995,100,995.0,1941,2025,0,-82.58514605,29.63778816,02546-000-000,0.0,231.0,0,29,83,0,0,1.0,1795,215100.9,1
341,9703,0.18,1459,3,NEWBERRY,247100,310000,2009,100,1458.5,2009,2025,0,-82.60763074,29.63584704,02530-012-010,0.0,154.5,380,15,15,0,0,2.0,391,215109.01,1
342,9052,0.48,700,3,NEWBERRY,138300,130000,1995,100,700.0,1945,2025,0,-82.61373152,29.6445263,02237-001-000,0.0,200.0,0,29,79,0,0,1.0,0,215104.06,1
343,8959,0.46,994,3,NEWBERRY,138300,180000,1995,100,994.0,1906,2025,0,-82.61378836,29.64719346,02157-000-000,0.0,353.0,0,29,118,0,0,1.0,58,215104.04,1
344,8717,1.16,2358,3,NEWBERRY,0,256000,1995,100,2358.0,1967,2025,0,-82.6120481,29.64114361,01989-003-000,0.0,30.0,0,29,57,0,0,2.0,12785,215100.9,1
345,8390,0.18,1665,3,NEWBERRY,249400,356500,2013,100,1665.0,2013,2025,0,-82.60046087,29.6402956,01933-010-065,0.0,220.0,672,11,11,0,0,3.0,1287,215103.13,2
346,7744,0.17,1692,3,NEWBERRY,241901,170000,2011,100,1692.0,2007,2025,0,-82.61377681,29.65937975,01894-102-083,0.0,460.0,441,13,17,0,0,2.0,243,224100.03,1
347,7411,1.73,1584,3,NEWBERRY,138502,207700,2002,100,1584.0,2002,2025,0,-82.60589529,29.67856469,01874-010-010,0.0,272.0,528,22,22,0,0,2.0,285,224127.01,1
348,7402,1.52,1496,3,NEWBERRY,138502,87400,1996,100,1256.0,1996,2025,0,-82.60442739,29.68251117,01874-010-001,0.0,292.0,504,28,28,0,0,2.0,4167,224127.01,1
349,7117,0.59,696,3,SUWANNEE,0,127500,2002,100,696.0,1999,2025,0,-82.59100365,29.7055087,01818-001-000,0.0,0.0,0,22,25,0,0,1.0,3864,224100.4,2
350,6884,4.59,2088,3,SUWANNEE,0,273700,1995,100,2088.0,1975,2025,0,-82.56230233,29.71967937,01797-009-000,0.0,0.0,0,29,49,0,0,2.0,20956,224100.42,1
