prop_id,market
23144,125410
23258,184163
23282,235093
23440,202515
23865,1045674
24054,252025
24134,311492
24369,322426
24385,487796
24900,52025
24995,139596
25105,98669
25106,33360
25112,167673
25115,209522
25170,142085
25210,144602
25294,112648
25691,165975
26362,400268
26364,192033
26942,145443
27154,192677
27312,231893
27565,608965
27568,333023
27649,229421
28098,132708
28340,591311
28345,356138
28357,303105
28429,365725
28444,495870
28445,287761
28474,493149
28486,363367
28491,314739
28494,285215
28504,303430
28540,429692
28550,392941
28555,255553
28568,274836
28581,247289
28614,244577
28642,285876
28667,278178
28698,281426
28763,375844
28815,302103
28857,348593
28870,314277
28956,187438
28963,242916
28988,191718
29032,325203
29054,225963
29233,190242
29238,194475
29254,226866
29278,230753
29308,247089
29333,210755
29420,248243
29580,216793
29592,249810
29660,250650
29666,227225
29675,308976
29700,266171
29760,250432
29772,267664
30126,169408
30147,170325
30194,208751
30304,188838
30320,153115
30325,170544
30346,175355
30384,161184
30421,179880
30451,158357
30477,172681
30502,142917
30533,173070
30552,181436
30635,361663
30661,254856
30729,381427
30776,372843
30803,356377
30827,400581
30929,220581
30942,199142
30973,217619
30977,201011
30991,241116
31028,234741
31164,197398
31212,188910
31339,318472
31350,296587
31354,288098
31386,425751
31447,330479
31463,357554
31468,288073
31474,296791
31483,286361
31487,294119
31571,356931
31633,194153
31639,211453
31686,174082
31748,236423
31792,233043
31938,293270
31965,258636
31977,257669
32058,225670
32104,254330
32122,231169
32128,263083
32132,295845
32155,252162
32166,233782
32203,203560
32206,195939
32312,223210
32319,214090
32328,210621
32333,215421
32343,193296
32495,189506
32497,202248
32520,191831
32549,220184
32555,189770
32598,205066
32621,211021
32647,247700
32687,208776
32689,201404
32712,183857
32866,51165
32995,281422
33089,265750
33124,231041
33140,225547
33143,247437
33212,296796
33234,256263
33380,322363
33385,337628
33404,243548
33406,213267
33413,212139
33473,181326
33506,237841
33519,237886
33587,242097
33645,261785
33667,286594
33675,304579
33773,291248
33777,296882
33780,282448
33783,306946
33875,290813
33880,262419
33883,269042
33944,285326
33990,456647
33991,404526
33993,484808
34070,281764
34125,277750
34247,360249
34270,328957
34304,350051
34413,284291
34440,365204
34448,315898
34586,271234
34624,803884
34626,702034
34741,273508
34807,776153
34822,660029
34843,738962
34893,499470
34917,657821
34936,441018
35071,416364
35097,327191
35102,372588
35183,954053
35274,835737
35327,267595
35413,246104
35553,355423
35569,275161
35575,307277
35584,326324
35586,300827
35590,392069
35614,454217
35623,298351
35687,623450
35722,397065
35756,348973
35785,462883
35929,542432
35941,699018
36018,402726
36048,531931
36089,437983
36094,389672
36097,607967
36829,271662
36834,261664
36860,234687
36896,265095
37025,268847
37032,243911
37070,227751
37076,242167
37088,252890
37306,346003
37376,222662
37396,258061
37592,425296
37642,352067
37681,243342
37696,308913
37724,322364
37783,208102
37802,251605
37863,244544
37876,236893
37884,283410
37979,204309
37982,186587
38018,236549
38033,157680
38051,190004
38077,178842
38090,192012
38116,230440
38129,193496
38135,199158
38166,210681
38188,189684
38197,212169
38206,198305
38224,209315
38269,291885
38323,240309
38344,197762
38351,179825
38399,220151
38402,234851
38411,224547
38521,176771
38530,157584
38636,184593
38677,181739
38681,209084
