OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
23,1,23,14016,0.280000000000000,1386,3,ALACHUA,212900,240200,2017,100,1386.000000000000000,2017,2023,0,-82.487757959999996,29.792874909999998,0,64.000000000000000,396,5,5,0,0,2.000000000000000,594,Alachua_Main
24,1,24,14017,0.260000000000000,1435,3,ALACHUA,212900,278600,2015,100,1435.000000000000000,2005,2023,0,-82.488624070000000,29.792982599999998,0,15.000000000000000,400,7,17,0,0,2.000000000000000,779,Alachua_Main
25,1,25,14112,0.230000000000000,780,3,ALACHUA,50400,178200,2012,100,780.000000000000000,1955,2023,0,-82.489769120000005,29.792846829999998,0,184.000000000000000,0,10,67,0,0,1.000000000000000,40,Alachua_Main
26,1,26,14140,0.280000000000000,960,3,ALACHUA,38600,171200,2000,100,960.000000000000000,1991,2023,0,-82.493538590000000,29.788351230000000,0,28.000000000000000,0,22,31,0,0,1.000000000000000,869,Alachua_Main
27,1,27,14192,0.160000000000000,1040,3,ALACHUA,38700,218100,2010,100,1040.000000000000000,1980,2023,0,-82.490438179999998,29.789984100000002,0,0.000000000000000,0,12,42,0,0,2.000000000000000,411,Alachua_Main
28,1,28,14250,0.170000000000000,768,3,ALACHUA,3100,167600,2009,100,768.000000000000000,1959,2023,0,-82.490301680000002,29.788401579999999,0,96.000000000000000,0,13,63,0,0,2.000000000000000,0,Alachua_Main
29,1,29,14255,0.210000000000000,1040,3,ALACHUA,3100,150600,1990,100,1040.000000000000000,1957,2023,0,-82.489524869999997,29.788404570000001,0,119.000000000000000,0,32,65,0,0,1.000000000000000,912,Alachua_Main
30,1,30,14462,0.230000000000000,1188,3,ALACHUA,76600,193100,2015,100,1188.000000000000000,1963,2023,0,-82.496628709999996,29.796272880000000,0,84.000000000000000,0,7,59,0,0,2.000000000000000,0,Alachua_Main
31,1,31,14521,1.000000000000000,1360,3,ALACHUA,29400,300300,2012,100,1360.000000000000000,2001,2023,0,-82.501077780000003,29.791646289999999,0,66.000000000000000,506,10,21,0,0,2.000000000000000,2635,Alachua_Main
32,1,32,14714,0.130000000000000,1120,3,ALACHUA,197300,225000,2005,100,1120.000000000000000,2005,2023,0,-82.498210510000007,29.786776769999999,0,90.000000000000000,420,17,17,0,0,2.000000000000000,1203,Alachua_Main
33,1,33,14875,0.230000000000000,1104,3,ALACHUA,50300,227700,1976,100,1104.000000000000000,1960,2023,0,-82.501000050000002,29.786834259999999,0,0.000000000000000,0,46,62,0,0,1.000000000000000,578,Alachua_Main
34,1,34,9794,0.380000000000000,1720,3,NEWBERRY,165300,317600,2000,100,1720.000000000000000,2000,2023,0,-82.611322079999994,29.637432300000000,0,395.000000000000000,440,22,22,0,0,2.000000000000000,1274,swNewberry_A
