OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1713,23064,5.000000000000000,2196,3.000000000000000,SUWANNEE,410400,2002,100,1755.000000000000000,1997,2022,0,0.000000000000000,615.000000000000000,0.000000000000000,19,24,0,0,3.000000000000000,1600,347240.000000000000000,6.050523106247753,-82.524918000000000,29.623535000000000,04445-004-000,HSBUI,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.744307664260235,342596.162691845907830,344196.162691845907830,-66203.837308154092170,-4643.837308154092170,66203.837308154092170,4643.837308154092170,0.838684606948942
1949,23100,5.080000000000000,3719,5.000000000000000,NEWBERRY,800800,2006,100,2430.000000000000000,2002,2023,0,1289.000000000000000,988.000000000000000,576.000000000000000,16,20,0,0,3.000000000000000,18941,661739.000000000000000,6.147331475947717,-82.536420000000007,29.616182999999999,04446-010-024,HSBUI,True,0.840000000000000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.425256877299804,676885.140044133877382,695826.140044133877382,-104973.859955866122618,15146.140044133877382,104973.859955866122618,15146.140044133877382,0.868913761293873
1985,23340,5.000000000000000,1500,3.000000000000000,SUWANNEE,333200,1998,100,1500.000000000000000,1979,2024,0,0.000000000000000,0.000000000000000,0.000000000000000,25,44,0,0,2.000000000000000,5369,277851.000000000000000,6.050523106247753,-82.510822000000005,29.596703999999999,04477-012-000,HSBUI,False,0.750000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.396275945577107,241899.092629719176330,247268.092629719176330,-85931.907370280823670,-35951.907370280823670,85931.907370280823670,35951.907370280823670,0.742101118336492
2009,23282,10.000000000000000,1440,3.000000000000000,SUWANNEE,484400,2007,100,1440.000000000000000,1994,2024,0,0.000000000000000,768.000000000000000,0.000000000000000,16,29,0,0,2.000000000000000,18944,392796.000000000000000,12.101046212495506,-82.513930999999999,29.601267000000000,04476-007-000,HSBUI,False,0.840000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.559980921806661,284924.901724462280981,303868.901724462280981,-180531.098275537719019,-107871.098275537719019,180531.098275537719019,107871.098275537719019,0.627309871437783
2113,8209,5.060000000000000,1292,3.000000000000000,NEWBERRY,331500,2004,100,1292.000000000000000,2004,2022,0,0.000000000000000,96.000000000000000,420.000000000000000,17,17,0,0,2.000000000000000,1586,280188.999999999941792,6.123129383522725,-82.559516000000002,29.640965999999999,01923-003-009,HSBUI,False,0.830000000000000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.528717919925079,276155.093522088835016,277741.093522088835016,-53758.906477911164984,-4033.906477911106776,53758.906477911164984,4033.906477911106776,0.837831353007809
2216,23290,5.500000000000000,1800,3.000000000000000,SUWANNEE,617600,1997,100,1800.000000000000000,1977,2023,0,0.000000000000000,120.000000000000000,480.000000000000000,25,45,0,0,2.000000000000000,24028,500932.000000000058208,6.655575416872528,-82.522188999999997,29.596940000000000,04476-050-001,HSBUI,False,0.750000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.623757239000531,303688.334489533386659,327716.334489533386659,-289883.665510466613341,-197243.665510466671549,289883.665510466613341,197243.665510466671549,0.530628779937716
2225,22228,1.050000000000000,1827,3.000000000000000,SUWANNEE,346500,2009,100,1827.000000000000000,1978,2024,0,0.000000000000000,181.000000000000000,672.000000000000000,14,45,0,0,2.000000000000000,13586,280939.000000000000000,1.270609852312028,-82.546222000000000,29.642061000000002,04384-015-006,HSBUI,True,0.860000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.669794040678866,317995.986520790844224,331581.986520790844224,-14918.013479209155776,37056.986520790844224,14918.013479209155776,37056.986520790844224,0.956946570045572
2242,21618,1.010000000000000,1692,3.000000000000000,SUWANNEE,262100,1982,100,1692.000000000000000,1979,2022,0,0.000000000000000,360.000000000000000,0.000000000000000,30,42,0,0,2.000000000000000,8934,213851.000000000000000,1.222205667462046,-82.477874000000000,29.652246000000002,04334-032-000,HSBUI,True,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.317058761877329,223475.878687834454468,232409.878687834454468,-29690.121312165545532,9624.878687834454468,29690.121312165545532,9624.878687834454468,0.886722162105435
2252,22146,1.150000000000000,1884,3.000000000000000,SUWANNEE,307100,2012,100,1884.000000000000000,1973,2023,0,0.000000000000000,16.000000000000000,506.000000000000000,10,49,0,0,2.000000000000000,2029,259006.000000000000000,1.391620314436983,-82.529651000000001,29.653245999999999,04370-003-002,HSBUI,False,0.900000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.691758160664982,325057.757421336078551,327086.757421336078551,19986.757421336078551,66051.757421336078551,19986.757421336078551,66051.757421336078551,1.065082244940853
2481,7032,4.890000000000000,1118,3.000000000000000,SUWANNEE,329800,2003,100,1118.000000000000000,1976,2024,0,0.000000000000000,108.000000000000000,0.000000000000000,20,47,0,0,2.000000000000000,11498,268832.000000000000000,5.917411597910302,-82.563974999999999,29.708434000000000,01803-062-000,HSBUI,True,0.800000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.342962877046915,229340.453968571790028,240838.453968571790028,-88961.546031428209972,-39491.546031428209972,88961.546031428209972,39491.546031428209972,0.730256076314651
2504,23488,4.400000000000000,2554,3.000000000000000,SUWANNEE,474000,2006,100,2554.000000000000000,1996,2022,0,0.000000000000000,106.000000000000000,459.000000000000000,15,25,0,0,3.000000000000000,14479,388421.000000000000000,5.324460333498023,-82.524717999999993,29.585363999999998,04526-001-015,HSBUI,False,0.850000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.962427729710734,426099.314074457797688,440578.314074457797688,-33421.685925542202312,37678.314074457797688,33421.685925542202312,37678.314074457797688,0.929490114081135
2587,22374,5.000000000000000,1758,3.000000000000000,SUWANNEE,331700,2009,100,1101.000000000000000,1964,2024,0,357.000000000000000,300.000000000000000,0.000000000000000,14,59,0,0,2.000000000000000,6506,275439.000000000000000,6.050523106247753,-82.508488999999997,29.634388000000001,04404-005-000,HSBUI,False,0.860000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.633292818059896,306598.029377770901192,313104.029377770901192,-18595.970622229098808,31159.029377770901192,18595.970622229098808,31159.029377770901192,0.943937381301691
2626,22327,5.000000000000000,1542,3.000000000000000,SUWANNEE,503400,2018,100,1542.000000000000000,1977,2023,0,0.000000000000000,90.000000000000000,0.000000000000000,4,45,0,0,2.000000000000000,12367,415523.000000000000000,6.050523106247753,-82.539117000000005,29.638249999999999,04399-001-005,HSBUI,False,0.960000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.663574518927653,316024.341266766481567,328391.341266766481567,-175008.658733233518433,-99498.658733233518433,175008.658733233518433,99498.658733233518433,0.652346724804860
2831,22034,2.570000000000000,2141,3.000000000000000,SUWANNEE,480000,1997,100,2141.000000000000000,1997,2022,0,0.000000000000000,208.000000000000000,490.000000000000000,24,24,0,0,2.000000000000000,2849,405151.000000000000000,3.109968876611345,-82.519983999999994,29.653372000000001,04360-006-000,HSBUI,True,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.706491393011518,329882.362630207673647,332731.362630207673647,-147268.637369792326353,-75268.637369792326353,147268.637369792326353,75268.637369792326353,0.693190338812933
