prop_id,legal_acreage,living_area,condition_cd,tax_area_description,actual_age,abs_subdv_cd,Aessessment_Val
4181,0.31,1504,3,HIGH SPRINGS,18,180500,211844
4184,0.43,1347,3,HIGH SPRINGS,18,180500,274209
4192,0.25,1347,3,HIGH SPRINGS,19,180500,268937
4199,0.37,1485,3,HIGH SPRINGS,24,180500,232664
4203,0.37,1485,3,HIGH SPRINGS,24,180500,270894
4204,0.37,1422,3,HIGH SPRINGS,25,180500,280947
4209,0.25,1290,3,HIGH SPRINGS,24,180500,272726
4211,0.28,1477,3,HIGH SPRINGS,23,180500,275945
4244,0.2984,1825,3,HIGH SPRINGS,60,180500,247680
4252,0.3,1201,3,HIGH SPRINGS,60,180500,197591
4256,0.51,1384,3,HIGH SPRINGS,35,180500,218662
4260,0.53,1471,3,HIGH SPRINGS,65,180500,184900
4268,0.38,925,3,HIGH SPRINGS,61,180500,200949
4278,0.25,925,3,HIGH SPRINGS,61,180500,180673
4285,0.25,1236,3,HIGH SPRINGS,19,180500,248148
4302,0.25,1292,3,HIGH SPRINGS,25,180500,223640
4309,0.36,1327,3,HIGH SPRINGS,26,180500,165869
4315,0.74,1504,3,HIGH SPRINGS,18,180500,296736
4318,0.41,1478,3,HIGH SPRINGS,25,180500,288579
4321,0.25,1192,3,HIGH SPRINGS,25,180500,252793
4339,0.25,1487,3,HIGH SPRINGS,22,180500,285588
4345,0.25,1518,3,HIGH SPRINGS,21,180500,220352
4347,0.25,1413,3,HIGH SPRINGS,21,180500,274845
4351,0.28,1180,3,HIGH SPRINGS,21,180500,241521
4356,0.29,1328,3,HIGH SPRINGS,18,180502,235202
4363,0.25,1385,3,HIGH SPRINGS,17,180502,285449
4368,0.25,1403,3,HIGH SPRINGS,15,180502,214489
4423,3.17,1214,3,SUWANNEE,28,0,237358
4449,0.33,1434,3,HIGH SPRINGS,60,9005,225896
4451,0.33,1008,3,HIGH SPRINGS,59,9005,174908
4467,0.33,1300,3,HIGH SPRINGS,54,9105,250218
4469,0.33,1000,3,HIGH SPRINGS,49,9105,166942
4483,0.24,1212,3,HIGH SPRINGS,44,8905,221721
4490,0.31,1710,3,HIGH SPRINGS,42,8905,273425
4495,0.35,1260,3,HIGH SPRINGS,44,8905,195280
4499,0.35,1308,3,HIGH SPRINGS,42,8905,232476
4506,12.85,2118,4,SUWANNEE,29,0,449025
4570,5,1050,2,SUWANNEE,95,19200,90260
4598,5.17,2310,3,SUWANNEE,7,0,677597
4604,5.27,2341,3,SUWANNEE,19,160200,477846
4613,2.12,2088,3,SUWANNEE,50,700,310881
4621,0.43,1058,3,SUWANNEE,70,160100,252078
4682,5.01,2937,4,HIGH SPRINGS,4,227600,694170
4687,5.01,3089,4,HIGH SPRINGS,21,227600,638144
4696,6.36,3098,4,HIGH SPRINGS,16,227600,809986
4703,1.01,1981,3,HIGH SPRINGS,15,232400,425230
4710,1.01,1963,3,HIGH SPRINGS,20,232400,393074
4720,1.01,2277,3,HIGH SPRINGS,19,232400,492717
4728,1.85,2103,3,HIGH SPRINGS,18,232400,472080
4729,1.79,3186,5,HIGH SPRINGS,3,232400,741309
4747,1.09,2094,3,HIGH SPRINGS,19,232400,428494
4759,1.16,2151,3,HIGH SPRINGS,19,232400,469244
4805,5.01,1500,3,HIGH SPRINGS,25,93700,267932
4825,0.97,1365,3,SUWANNEE,64,0,204428
4834,0.42,1112,3,SUWANNEE,66,0,200424
4842,1.53,2016,3,HIGH SPRINGS,19,228700,365948
4847,1.06,1744,3,HIGH SPRINGS,20,228700,369024
4848,1.02,1873,3,HIGH SPRINGS,19,228700,396088
4864,1.02,2096,3,HIGH SPRINGS,20,228700,417779
4871,1.03,1828,3,HIGH SPRINGS,21,228700,343338
4881,1.04,2058,3,HIGH SPRINGS,19,228700,442648
4891,2.26,3148,3,HIGH SPRINGS,22,228700,533697
4894,1.39,2161,3,HIGH SPRINGS,10,227601,421444
4904,1.06,1636,3,HIGH SPRINGS,10,227601,432277
4905,1.01,1984,3,HIGH SPRINGS,10,227601,424254
4909,1.01,2104,4,HIGH SPRINGS,10,227601,517094
4911,1,1984,4,HIGH SPRINGS,10,227601,469967
4921,1.56,1525,4,HIGH SPRINGS,8,227601,394352
4936,1.1,1850,4,HIGH SPRINGS,10,227601,415608
4969,3.8,2220,3,HIGH SPRINGS,20,228701,533003
4988,0.54,912,3,HIGH SPRINGS,30,180501,185990
4999,0.28,1152,3,HIGH SPRINGS,31,180501,197794
5006,0.28,1008,3,HIGH SPRINGS,32,180501,197580
5010,0.23,1344,3,HIGH SPRINGS,42,180500,204412
5013,0.23,1056,3,HIGH SPRINGS,43,180500,226460
5017,0.3,1144,3,HIGH SPRINGS,42,180500,204480
5027,0.23,1144,3,HIGH SPRINGS,48,180500,200791
5029,0.23,1056,3,HIGH SPRINGS,50,180500,186009
5048,1.29,1335,3,HIGH SPRINGS,59,180500,211298
5049,0.34,1075,3,HIGH SPRINGS,59,180500,191040
5050,0.34,1332,3,HIGH SPRINGS,60,180500,261900
5064,0.23,1200,3,HIGH SPRINGS,61,180500,244857
5075,0.27,1000,3,HIGH SPRINGS,64,180500,199426
5081,0.58,1767,3,HIGH SPRINGS,37,165100,281040
5086,0.4,1323,3,HIGH SPRINGS,47,180500,163082
5091,0.5,1690,3,HIGH SPRINGS,39,180500,270265
5094,0.7,1520,3,HIGH SPRINGS,57,180500,260869
5098,0.34,1574,3,HIGH SPRINGS,50,180500,269234
5100,0.34,1142,3,HIGH SPRINGS,49,180500,250978
5104,0.7,1284,3,HIGH SPRINGS,60,180500,169680
5110,0.23,1332,3,HIGH SPRINGS,60,180500,253200
5116,0.34,1729,3,HIGH SPRINGS,51,180500,256799
5117,0.34,1289,3,HIGH SPRINGS,51,180500,217774
5119,0.35,1360,3,HIGH SPRINGS,59,180500,230031
5135,0.23,1056,3,HIGH SPRINGS,40,180500,166417
5136,0.23,1352,3,HIGH SPRINGS,40,180500,205064
5139,0.24,1056,3,HIGH SPRINGS,42,180500,205535
5140,0.3,1140,3,HIGH SPRINGS,41,180500,246212
5144,0.3,1308,3,HIGH SPRINGS,42,180500,192486
5148,0.23,1308,3,HIGH SPRINGS,40,180500,211930
5165,5,1284,4,HIGH SPRINGS,19,227500,384796
5171,2.5,3114,4,HIGH SPRINGS,21,227500,527596
5197,0.68,1586,3,HIGH SPRINGS,34,0,236879
5227,0.64,1296,3,HIGH SPRINGS,17,228200,166324
5235,2.03,840,3,SUWANNEE,63,0,220596
5243,1.01,1995,3,HIGH SPRINGS,22,228100,441817
5245,1.14,1997,3,HIGH SPRINGS,19,228100,359692
