prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price,prop_val_yr,CENTROID_X,CENTROID_Y
4570,5,0,1929,1050,AC,2,101300,2023,-82.62876487,29.82049821
4598,5.17,0,2017,2310,AC,3,724300,2023,-82.64471352,29.82359778
4604,5.27,0,2005,2341,AC,3,100,2024,-82.64399129,29.82507001
4604,5.27,0,2005,2341,AC,3,494400,2024,-82.64399129,29.82507001
4621,0.43,0,1954,1058,FF,3,258600,2024,-82.64617535,29.82636268
4682,5.01,1019,2020,2937,AC,4,695800,2024,-82.62420592,29.80649979
4703,1.01,1019,2009,1981,LT,3,441000,2022,-82.61610847,29.81628307
4710,1.01,1019,2004,1963,LT,3,397300,2022,-82.61397483,29.81482605
4720,1.01,1019,2005,2277,LT,3,513100,2024,-82.61455713,29.81555986
4728,1.85,1019,2006,2103,LT,3,474700,2024,-82.61597847,29.81402112
4741,1.2,1019,2018,2528,LT,NULL,668900,2023,-82.61652563,29.81089331
4847,1.06,1019,2004,1744,LT,3,371600,2023,-82.60529748,29.80319986
4848,1.02,1019,2005,1873,LT,3,443500,2024,-82.60488119,29.80298535
4864,1.02,1019,2004,2096,LT,3,437800,2024,-82.60236383,29.80055654
4881,1.04,1019,2005,2058,LT,3,445500,2024,-82.60476742,29.80077648
4891,2.26,1019,2002,3148,LT,3,580400,2022,-82.60035707,29.80248014
4894,1.39,1019,2014,2161,LT,3,423000,2022,-82.61663488,29.81788445
4904,1.06,1019,2014,1636,LT,3,434900,2022,-82.61172579,29.81601362
4909,1.01,1019,2014,2104,LT,4,539900,2024,-82.60933167,29.81542477
4936,1.1,1019,2014,1850,LT,3,417500,2023,-82.60811678,29.80992548
4999,0.28,1019,1993,1152,LT,3,198500,2023,-82.59768243,29.81381701
5006,0.28,1019,1992,1008,LT,3,198100,2022,-82.59766534,29.81172724
5010,0.23,1019,1982,1344,LT,3,204900,2022,-82.59802803,29.81298991
5017,0.3,1019,1982,1144,LT,3,204700,2022,-82.59855507,29.81381158
