prop_id,legal_acreage,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,actual_age
63965,0.25,2101,LT,3,371900,ST. JOHN'S,22
64087,0.25,1329,LT,4,343000,ST. JOHN'S,26
64114,0.24,1932,LT,4,357700,ST. JOHN'S,25
64279,0.22,1981,LT,4,422900,ST. JOHN'S,22
64379,0.19,1982,LT,4,393600,ST. JOHN'S,20
64380,0.19,1720,LT,4,354000,ST. JOHN'S,21
64425,1,1336,LT,3,260700,ST. JOHN'S,44
64466,1,1636,LT,3,297100,ST. JOHN'S,39
64754,0.15,1660,LT,4,368000,ST. JOHN'S,15
64781,0.16,2277,LT,4,445900,ST. JOHN'S,11
64801,0.15,1794,LT,4,399800,ST. JOHN'S,13
64818,0.14,1794,LT,4,404400,ST. JOHN'S,12
64844,0.13,1724,LT,4,355300,ST. JOHN'S,12
64921,0.15,1688,LT,4,371300,ST. JOHN'S,12
64990,0.17,1792,LT,4,344500,ST. JOHN'S,19
65050,0.17,2298,LT,4,444100,ST. JOHN'S,17
65252,0.14,1896,LT,4,384500,ST. JOHN'S,14
65385,0.15,1527,LT,4,349500,ST. JOHN'S,9
65398,0.16,1917,LT,4,442500,ST. JOHN'S,10
65504,5.45,5548,AC,3,815800,ST. JOHN'S,62
65654,1.06,3083,UN,4,540000,ST. JOHN'S,28
65900,0.26,960,UN,3,188300,ST. JOHN'S,50
66029,0.23,1833,LT,3,351500,ST. JOHN'S,24
66175,0.88,2027,UN,3,320000,ST. JOHN'S,51
66317,1.44,2028,UN,3,456300,ST. JOHN'S,31
66842,0.49,3791,UN,4,530300,ST. JOHN'S,46
67147,0.51,3168,UN,3,349500,ST. JOHN'S,65
67174,0.22,1760,LT,3,405000,GAINESVILLE,13
67980,0.09,908,UN,3,132500,GAINESVILLE,38
69457,1.01,1664,LT,3,255000,ST. JOHN'S,31
69541,1.56,2349,LT,3,450800,ST. JOHN'S,27
69689,1.42,1833,LT,4,445000,ST. JOHN'S,19
70025,1.72,2226,LT,3,616500,ST. JOHN'S,5
70044,1.11,1760,LT,3,381900,ST. JOHN'S,16
70331,1.01,1520,UN,3,321800,ST. JOHN'S,30
71293,10,1760,AC,3,393800,SUWANNEE,35
72019,0.98,1222,UN,3,282200,ST. JOHN'S,54
72082,0.13,1444,UN,3,252000,GAINESVILLE,32
72208,0.13,1486,LT,3,303700,GAINESVILLE,14
73270,0.05,1604,LT,3,327500,GAINESVILLE,8
73290,0.05,1217,LT,3,252200,GAINESVILLE,8
73307,0.11,1428,LT,3,296400,GAINESVILLE,18
73417,0.2,1354,UN,3,226500,GAINESVILLE,32
73476,0.18,1227,UN,3,265200,GAINESVILLE,44
73477,0.18,1337,UN,3,296700,GAINESVILLE,43
73560,0.18,1599,UN,3,323200,GAINESVILLE,1
73639,0.15,1772,LT,3,266100,GAINESVILLE,27
73685,0.31,1118,UN,3,247900,GAINESVILLE,60
73792,0.23,1271,UN,3,210900,GAINESVILLE,63
73872,0.23,1118,UN,3,166600,GAINESVILLE,63
73891,0.25,1170,UN,3,221400,GAINESVILLE,54
74662,0.43,803,UN,3,166700,GAINESVILLE,67
75116,0.2,1260,UN,3,196000,GAINESVILLE,57
76994,0.62,1740,UN,3,276900,GAINESVILLE,92
77114,0.21,938,SF,3,194900,GAINESVILLE,73
77197,0.17,1040,UN,3,206400,GAINESVILLE,93
77221,0.17,900,UN,3,160600,GAINESVILLE,71
77224,0.17,754,UN,3,153000,GAINESVILLE,74
77267,0.14,1160,UN,3,196000,GAINESVILLE,76
77306,0.12,754,UN,3,156600,GAINESVILLE,74
77307,0.12,838,UN,3,150600,GAINESVILLE,74
77449,0.15,720,UN,3,156900,GAINESVILLE,57
77452,0.21,672,UN,3,156400,GAINESVILLE,70
77489,0.18,624,UN,3,250200,GAINESVILLE,65
77642,0.34,1334,UN,3,131900,GAINESVILLE,58
78558,0.25,1489,LT,3,308100,GAINESVILLE,17
78780,0.44,1760,UN,3,387800,GAINESVILLE,50
78930,0.06,2526,UN,3,389500,GAINESVILLE,44
79030,0.23,2055,UN,3,219500,GAINESVILLE,66
79135,0.38,2631,UN,3,485100,GAINESVILLE,41
79152,0.4,2497,UN,3,482200,GAINESVILLE,56
79178,0.27,2164,UN,3,445900,GAINESVILLE,57
79202,0.8,2908,UN,3,505200,GAINESVILLE,61
79341,0.29,3472,LT,3,396900,GAINESVILLE,70
79345,0.28,2213,LT,3,337400,GAINESVILLE,35
79488,0.94,2900,LT,5,775400,GAINESVILLE,32
79530,0.25,1508,LT,3,294200,GAINESVILLE,72
79593,0.56,2597,LT,3,471800,GAINESVILLE,62
79989,0.16,1175,UN,3,312600,GAINESVILLE,81
80112,0.31,2064,UN,3,325700,GAINESVILLE,75
80118,0.32,1120,UN,3,222300,GAINESVILLE,76
80198,0.18,1852,UN,3,292000,GAINESVILLE,92
81366,0.15,1467,UN,3,325400,GAINESVILLE,40
81552,0.25,1254,UN,3,260700,GAINESVILLE,74
81568,0.33,1272,UN,3,248300,GAINESVILLE,66
81572,0.33,988,UN,3,236100,GAINESVILLE,65
81638,0.26,1498,UN,3,298800,GAINESVILLE,65
81655,0.21,1534,UN,3,285700,GAINESVILLE,65
81887,0.25,1304,UN,3,244700,GAINESVILLE,66
81923,0.21,1394,UN,3,244700,GAINESVILLE,66
81944,0.24,1909,UN,3,247500,GAINESVILLE,67
82136,0.23,1173,UN,3,187300,GAINESVILLE,62
82866,0.14,1465,LT,3,267500,GAINESVILLE,22
82922,0.16,1590,LT,3,244700,GAINESVILLE,20
83134,0.17,1714,UN,3,199500,GAINESVILLE,63
83154,0.18,1108,UN,3,193800,GAINESVILLE,66
84067,0.23,1091,UN,3,184500,GAINESVILLE,72
85418,0.16,1239,UN,3,166600,GAINESVILLE,47
85630,0.54,4225,UN,3,729300,GAINESVILLE,124
85833,0.17,1170,LT,3,333200,GAINESVILLE,75
85836,0.16,1091,LT,3,245000,GAINESVILLE,71
86068,0.3,1424,SF,3,371300,GAINESVILLE,84
87728,0.12,1133,UN,3,265200,GAINESVILLE,94
87771,0.11,1334,SF,3,349000,GAINESVILLE,12
87857,0.16,1800,SF,3,467300,GAINESVILLE,92
88604,0.09,1453,SF,3,354000,GAINESVILLE,102
89626,0.93,888,UN,3,294000,GAINESVILLE,11
89809,0.28,1184,UN,3,225200,GAINESVILLE,73
89829,0.45,3180,UN,3,558000,GAINESVILLE,68
91372,0.17,800,UN,2,56600,GAINESVILLE,68
91618,0.46,1722,UN,3,229000,GAINESVILLE,54
92869,0.51,1358,UN,3,257500,ST. JOHN'S,56
93015,0.27,1064,UN,3,78800,ST. JOHN'S,56
93038,0.13,1131,UN,3,52100,ST. JOHN'S,43
94203,5.57,2670,AC,3,438000,ST. JOHN'S,18
95806,5.1,1236,AC,3,202600,SUWANNEE,123
96596,0.43,928,UN,3,127400,WALDO,68
97243,1.78,1451,AC,3,312100,ST. JOHN'S,44
98216,0.18,632,UN,2,82400,ST. JOHN'S,63
102132,4.66,2258,AC,4,354600,ST. JOHN'S,14
102295,0.11,930,UN,2,78200,HAWTHORNE,83
102796,0.53,1497,LT,3,224400,HAWTHORNE,23
105521,0.23,2029,LT,3,340000,NEWBERRY,7
105541,0.07,1311,LT,3,242200,NEWBERRY,5
106500,0.15,2079,LT,5,535900,SUWANNEE,6
106546,0.37,4188,LT,5,993100,SUWANNEE,4
106692,0.26,2181,LT,4,421400,GAINESVILLE,7
108083,0.166,1792,LT,5,468200,GAINESVILLE,1
500800,0.15,3972,LT,3,399600,ST. JOHN'S,1
500803,0.13,1768,LT,5,375100,ST. JOHN'S,1
502214,0.11,1764,LT,4,412200,SUWANNEE,1
2247,2.71,1570,LT,3,308700,HIGH SPRINGS,26
3037,1.19,1477,LT,3,181500,HIGH SPRINGS,93
3873,0.45,1679,LT,3,319500,HIGH SPRINGS,14
3956,0.46,1040,LT,3,200100,HIGH SPRINGS,60
4703,1.01,1981,LT,3,441000,HIGH SPRINGS,13
5287,1.25,1523,LT,3,355300,HIGH SPRINGS,18
5507,5.03,1788,AC,4,405900,HIGH SPRINGS,23
5968,1,1248,AC,3,259500,SUWANNEE,48
7004,4.68,1200,AC,3,329600,SUWANNEE,22
7668,0.2,1369,LT,3,272000,NEWBERRY,19
7697,0.18,1513,LT,3,303800,NEWBERRY,18
7717,0.25,1692,LT,3,316100,NEWBERRY,18
7840,9.97,2832,AC,4,549600,SUWANNEE,41
8719,0.72,2290,UN,3,384900,NEWBERRY,53
8750,0.23,1219,UN,3,170000,NEWBERRY,46
8779,0.17,1656,UN,3,225200,NEWBERRY,45
8948,0.44,2240,UN,3,210200,NEWBERRY,123
9065,0.42,1342,LT,3,234200,NEWBERRY,69
9503,0.35,864,LT,3,183400,NEWBERRY,31
9752,0.27,1823,LT,3,334800,NEWBERRY,12
9812,0.34,1567,UN,3,291300,NEWBERRY,27
9984,0.3,1687,LT,3,304900,NEWBERRY,15
10001,0.4,1681,LT,3,397700,NEWBERRY,16
10771,5,2192,AC,4,510100,NEWBERRY,26
11009,9.68,2300,AC,4,455900,SUWANNEE,32
11633,5.14,1200,AC,3,421300,SUWANNEE,27
12380,0.14,1787,LT,3,315600,HIGH SPRINGS,7
12386,0.14,1402,LT,3,308100,HIGH SPRINGS,6
12406,0.2,1786,LT,3,346800,HIGH SPRINGS,9
12718,0.18,1496,LT,3,340200,ALACHUA,7
13382,0.19,1025,UN,3,200000,ALACHUA,34
13465,0.21,1320,UN,3,257300,ALACHUA,40
13705,0.19,1510,LT,3,270000,ALACHUA,7
13894,0.39,888,UN,3,73100,ALACHUA,69
14017,0.26,1435,UN,3,278600,ALACHUA,18
14112,0.23,780,SF,3,178200,ALACHUA,68
14318,0.29,976,UN,2,81600,ALACHUA,85
14859,0.21,1096,LT,3,132500,ALACHUA,88
15649,0.19,1032,UN,3,171800,ALACHUA,45
16167,0.1,1496,LT,3,264400,ALACHUA,16
16934,10,1364,AC,3,407900,SUWANNEE,11
16997,5.31,1879,AC,4,501500,SUWANNEE,16
17046,21,1882,AC,3,757800,SUWANNEE,40
17796,8.29,2878,AC,4,829400,SUWANNEE,10
18079,0.2,1554,UN,3,269400,SUWANNEE,39
18099,0.25,1801,UN,3,337500,SUWANNEE,37
18331,0.19,1452,LT,4,329200,SUWANNEE,28
18391,1,1487,LT,4,341300,SUWANNEE,25
18546,5.96,2933,AC,4,401100,SUWANNEE,50
18680,0.99,3768,LT,5,933300,SUWANNEE,17
18855,0.17,1590,LT,3,368600,SUWANNEE,18
19419,1,3130,LT,4,721400,SUWANNEE,19
19682,3.52,4597,LT,5,1088900,SUWANNEE,28
19719,0.06,1255,LT,3,219100,SUWANNEE,34
19768,0.06,1376,LT,3,271700,SUWANNEE,13
19774,0.05,1177,LT,3,268100,SUWANNEE,16
19791,0.05,1133,LT,3,266500,SUWANNEE,16
19828,0.06,1696,LT,3,337300,SUWANNEE,9
19865,0.06,1410,LT,3,165900,SUWANNEE,34
19960,0.29,1608,UN,4,358800,SUWANNEE,18
20051,0.96,2896,UN,4,665600,SUWANNEE,55
20086,1.73,2444,UN,4,625800,SUWANNEE,47
20300,0.25,2443,LT,4,618300,SUWANNEE,5
20415,0.24,2351,LT,4,429400,SUWANNEE,16
20492,0.24,1885,LT,4,367000,SUWANNEE,16
20495,0.22,3244,LT,4,553400,SUWANNEE,16
20601,0.35,2087,LT,4,446400,SUWANNEE,29
20727,0.07,1646,LT,3,278000,SUWANNEE,20
20893,0.35,2574,LT,3,557400,SUWANNEE,12
20916,1.15,1977,UN,3,325400,SUWANNEE,47
20976,1.01,2140,UN,4,527800,SUWANNEE,28
21082,0.18,1865,LT,4,430500,SUWANNEE,23
21116,0.32,4197,LT,5,1038800,SUWANNEE,15
21162,0.16,2366,LT,4,553700,SUWANNEE,21
21354,0.34,3869,LT,5,1179100,SUWANNEE,7
21362,0.34,4578,LT,4,1207200,SUWANNEE,11
21780,0.2,2543,LT,4,512000,SUWANNEE,15
21829,0.23,2677,LT,4,670000,SUWANNEE,18
21929,1.3,1594,UN,3,355500,SUWANNEE,38
22327,5,1542,AC,3,503400,SUWANNEE,46
27182,1.79,1584,AC,3,314900,LACROSSE,41
28009,1.09,2452,UN,3,391100,ALACHUA,76
28550,0.49,2758,LT,4,436700,ALACHUA,18
28699,0.16,1827,LT,4,145600,ALACHUA,28
28885,0.2,1731,LT,4,337300,ALACHUA,19
29028,0.18,2081,LT,4,407000,ALACHUA,20
30319,0.11,1320,LT,3,203200,GAINESVILLE,40
30803,0.36,2022,LT,4,430300,GAINESVILLE,24
31447,0.26,2016,LT,3,400800,GAINESVILLE,14
31633,0.29,1366,UN,3,225200,GAINESVILLE,45
31965,0.43,1603,UN,3,304200,GAINESVILLE,50
32214,0.25,1068,UN,3,220200,GAINESVILLE,46
32363,0.25,1552,UN,3,273300,GAINESVILLE,49
32692,0.25,1481,UN,3,225000,GAINESVILLE,42
33027,0.4,1883,LT,4,422900,GAINESVILLE,29
33445,0.04,1192,UN,3,234600,GAINESVILLE,37
33691,0.04,1445,UN,3,271500,GAINESVILLE,33
33777,0.2,1492,LT,3,362700,GAINESVILLE,30
33880,0.21,1525,LT,3,308900,GAINESVILLE,30
33920,0.19,1593,LT,3,354400,GAINESVILLE,28
33980,0.42,2340,LT,4,562400,GAINESVILLE,28
34461,1.17,2361,UN,3,303900,SUWANNEE,46
34501,1.05,2916,UN,3,369000,SUWANNEE,44
34713,1.1,1833,UN,4,381000,SUWANNEE,41
35443,0.18,1522,UN,3,336300,ST. JOHN'S,31
35586,0.4,1787,UN,3,366400,ST. JOHN'S,43
35692,1.09,2562,UN,4,363000,ST. JOHN'S,37
35941,0.35,3634,LT,4,829500,ST. JOHN'S,6
36751,0.24,1322,UN,3,292500,ST. JOHN'S,42
37567,0.56,2656,LT,3,439900,GAINESVILLE,42
37876,0.19,1611,LT,3,300000,GAINESVILLE,31
38351,0.25,1058,UN,3,213600,GAINESVILLE,42
38600,0.13,1852,LT,3,395800,GAINESVILLE,7
38895,0.2,1160,UN,3,270000,GAINESVILLE,47
39101,0.24,1025,UN,3,227200,GAINESVILLE,51
39748,1.01,2200,UN,4,469800,GAINESVILLE,41
39831,0.32,2633,UN,3,456100,GAINESVILLE,36
39917,0.27,1618,UN,3,302000,GAINESVILLE,60
39997,0.58,1852,UN,4,293800,GAINESVILLE,45
40369,0.34,1960,UN,3,336600,GAINESVILLE,48
40435,0.03,988,UN,3,143400,GAINESVILLE,37
41042,0.02,1050,UN,3,200700,GAINESVILLE,33
41102,0.02,1050,UN,3,197600,GAINESVILLE,35
41368,0.24,1050,UN,3,188400,ST. JOHN'S,37
41686,0.24,1402,UN,3,274800,ST. JOHN'S,35
41706,0.31,1467,UN,3,309000,ST. JOHN'S,35
41743,0.02,1125,UN,3,171600,ST. JOHN'S,40
41809,0.02,899,UN,3,179800,ST. JOHN'S,41
41892,0.03,923,UN,3,181900,ST. JOHN'S,39
42327,0.23,1409,LT,3,307200,ST. JOHN'S,30
42493,0.21,1494,UN,3,306100,ST. JOHN'S,43
42513,0.22,1284,UN,3,301300,ST. JOHN'S,44
42516,0.23,1288,UN,3,250000,ST. JOHN'S,46
42765,0.52,2753,LT,3,426600,ST. JOHN'S,39
42831,0.43,1674,UN,3,241800,ST. JOHN'S,47
42951,0.14,1518,UN,3,348800,ST. JOHN'S,12
42971,0.23,1678,UN,3,312400,ST. JOHN'S,35
43160,0.25,1815,UN,4,334800,ST. JOHN'S,36
