tax_area_description,Market_Cluster_ID,era_built,imprv_det_quality_cd,count,mean,std,min,_25,_50,_75,max,PRD,COD,PRB
GAINESVILLE,Springtree_B,1920s,3.0,1,0.7923572167221449,,0.7923572167221449,0.7923572167221449,0.7923572167221449,0.7923572167221449,0.7923572167221449,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
GAINESVILLE,Springtree_B,1930s,3.0,1,0.96639739901155,,0.96639739901155,0.96639739901155,0.96639739901155,0.96639739901155,0.96639739901155,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
GAINESVILLE,Springtree_B,1940s,3.0,3,0.9062654840676349,0.04454181657958236,0.8755248990512698,0.880725116246395,0.8859253334415202,0.9216357765758175,0.9573462197101148,0.9901024254683173,3.0785634548905945,"{'PRB': 0.11058654518576545, 'Sig': 0.19948510779383424}"
GAINESVILLE,Springtree_B,1950s,3.0,32,0.8745435146389313,0.11327933408671274,0.6754599980517922,0.8067468002944843,0.8456724694029873,0.9151438447001986,1.1396929707113983,1.017344429801396,9.786336256273666,"{'PRB': -0.14473189645589926, 'Sig': 0.004002249927877692}"
GAINESVILLE,Springtree_B,1960s,2.0,2,1.0028896925176418,0.38972523751989974,0.7273123342677829,0.8651010133927124,1.0028896925176418,1.1406783716425715,1.278467050767501,1.1199414559031493,27.478331894911864,"{'PRB': -0.46285506554762224, 'Sig': nan}"
GAINESVILLE,Springtree_B,1960s,3.0,77,0.8522649527887223,0.10689160395834857,0.6486135110253948,0.7792870575900375,0.8443164870666143,0.9047277296401012,1.196189577530703,1.0078132596814608,9.636226472803513,"{'PRB': -0.11924215919826546, 'Sig': 0.005687188858838801}"
GAINESVILLE,Springtree_B,1970s,2.0,5,0.7379070799963179,0.057437417602789774,0.6454275042116148,0.7185903532684985,0.7677071681947875,0.7756736970049319,0.7821366773017565,1.0006288303530664,5.048605115470406,"{'PRB': -0.1464797787864507, 'Sig': 0.7733052459664915}"
GAINESVILLE,Springtree_B,1970s,3.0,304,0.8585177168722157,0.09260101444890093,0.6553152414709654,0.7995686722009689,0.8466859798754283,0.9032280132773594,1.2587313376207108,1.006280632770559,8.185213269320423,"{'PRB': -0.16573608566306874, 'Sig': 1.4754505144033396e-11}"
GAINESVILLE,Springtree_B,1970s,4.0,5,0.9493484319687162,0.07315837236777196,0.8441477897288324,0.9324300281405348,0.9401894826751064,0.9889649404433304,1.0410099188557769,1.0065772494830902,5.390339843171904,"{'PRB': -0.26399007834702914, 'Sig': 0.15079827346512178}"
GAINESVILLE,Springtree_B,1980s,3.0,131,0.8463088545288118,0.06721653698389417,0.7180215397049821,0.7989771689095625,0.8362386148790341,0.8843087014718678,1.0872007046832486,1.0075697162713797,6.187016775165499,"{'PRB': -0.11684451450499801, 'Sig': 1.1953983489730152e-07}"
GAINESVILLE,Springtree_B,1980s,4.0,10,0.8225437355024695,0.05450156439622007,0.7535694040528452,0.7789143846533277,0.8241521474462656,0.8444238522945665,0.9224620242592612,1.0102713865202182,5.039096057718061,"{'PRB': -0.061019405233267945, 'Sig': 0.18112190606792677}"
GAINESVILLE,Springtree_B,1980s,5.0,1,0.6966740611733433,,0.6966740611733433,0.6966740611733433,0.6966740611733433,0.6966740611733433,0.6966740611733433,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
GAINESVILLE,Springtree_B,1990s,3.0,53,0.8544289934734811,0.0693973685850139,0.6999976304347826,0.8177650203683795,0.8527874868837221,0.8860417884746059,1.044747524112949,1.0063574343583046,6.038366566579667,"{'PRB': -0.15125595351576043, 'Sig': 0.0004943577207383463}"
GAINESVILLE,Springtree_B,1990s,4.0,10,0.8755331746892967,0.044709175580723196,0.809989847126059,0.8462483715486737,0.8753804258780542,0.9027509212350575,0.9595015828661072,1.0044076266546893,4.087468787654228,"{'PRB': -0.26275952729311614, 'Sig': 0.0010710290183743576}"
