prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,actual_year_built,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_F,High_Springs_Main,Lugano,Magnolia_Heights,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B
1718,0.29,1329,1.0,HIGH SPRINGS,275300,720,2013,100,1329.0,2013,0.0,174.0,0.0,12,233285.0,0.37957522774558156,-82.603356,29.837249,00206-010-014,High_Springs_Main,True,False,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1719,0.3,1165,1.0,HIGH SPRINGS,223300,2249,1998,100,1165.0,1997,0.0,40.0,216.0,27,187556.0,0.39266402870232575,-82.60322,29.837536,00206-010-015,High_Springs_Main,True,False,False,0.73,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1790,0.18,1418,1.0,HIGH SPRINGS,292500,368,2012,100,2836.0,2012,0.0,300.0,760.0,13,248256.99999999997,0.23559841722139543,-82.607005,29.838582,00206-040-060,High_Springs_Main,True,False,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1792,0.18,1742,1.0,HIGH SPRINGS,312000,1455,2017,100,1742.0,2017,0.0,312.0,462.0,8,263745.0,0.23559841722139543,-82.607005,29.839012,00206-040-062,High_Springs_Main,True,False,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1815,0.19,1368,1.0,HIGH SPRINGS,293700,339,2011,100,1368.0,2011,0.0,277.0,483.0,14,249306.0,0.24868721817813966,-82.606751,29.841343,00207-010-001,High_Springs_Main,True,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1817,0.12,1368,1.0,HIGH SPRINGS,324200,1282,2014,100,1367.5,2014,0.0,149.5,420.0,11,274288.0,0.15706561148093032,-82.606959,29.841602,00207-010-003,High_Springs_Main,True,False,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1819,0.12,1264,1.0,HIGH SPRINGS,237700,1000,2012,100,1264.0,2012,0.0,244.0,380.0,13,201045.0,0.15706561148093032,-82.607131,29.841833,00207-010-005,High_Springs_Main,True,False,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1830,0.18,1421,1.0,HIGH SPRINGS,295900,400,2017,100,1421.0,2017,0.0,120.0,460.0,8,251115.0,0.23559841722139543,-82.608209,29.841858,00207-010-016,High_Springs_Main,True,False,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1846,0.12,1264,1.0,HIGH SPRINGS,275100,368,2010,100,1264.0,2010,0.0,244.0,380.0,15,233466.99999999997,0.15706561148093032,-82.606201,29.840591,00207-010-032,High_Springs_Main,True,False,False,0.85,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1866,0.36,1200,1.0,HIGH SPRINGS,228300,487,2008,100,1200.0,1975,0.0,96.0,0.0,17,193567.99999999997,0.47119683444279087,-82.603908,29.840368,00208-000-000,High_Springs_Main,False,False,False,0.83,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1875,9.21,2739,1.0,HIGH SPRINGS,456000,21291,1994,100,2739.0,1960,0.0,20.0,0.0,31,366309.0,12.054785681161402,-82.601106,29.843803,00216-028-000,High_Springs_Main,True,False,False,0.69,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1918,0.39,1736,1.0,HIGH SPRINGS,265400,1102,2003,100,1735.5,2003,0.0,619.5,528.0,22,224488.0,0.5104632373130236,-82.59068,29.83943,00236-001-006,High_Springs_Main,True,False,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1926,1.52,2112,1.15,HIGH SPRINGS,427200,2396,2005,100,2112.0,2005,0.0,355.0,995.0,20,360724.0,1.9894977454251173,-82.589132,29.839052,00236-006-000,High_Springs_Main,False,False,False,0.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1927,1.52,1364,1.0,HIGH SPRINGS,318400,3844,2002,100,2727.0,2002,0.0,1709.0,0.0,23,266796.0,1.9894977454251173,-82.588034,29.839078,00236-006-001,High_Springs_Main,False,False,False,0.77,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1935,0.43,2163,1.0,HIGH SPRINGS,374600,16641,2010,100,1496.0,1968,667.0,360.0,0.0,15,301769.0,0.5628184411400002,-82.591063,29.838567,00236-020-000,High_Springs_Main,True,False,False,0.85,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1941,0.66,1767,1.0,HIGH SPRINGS,280000,0,1998,100,1767.0,1962,0.0,440.0,0.0,27,238000.0,0.8638608631451168,-82.591768,29.836467,00236-027-000,High_Springs_Main,True,False,False,0.73,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
