prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,in_subdivision,percent_good,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,A,B,C,D,E,F,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
21092,0.18,2276,4.0,SUWANNEE,544800,2003,100,2276.0,2000,2022,0,0.0,249.0,462.0,18,21,0,0,2.5,1425,461655.0,0.2178188318249191,-82.482568,29.651726,04333-020-049,True,0.8200000000000001,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.882984357128864,393558.2463592512,394983.2463592512,-149816.7536407488,-68096.7536407488,149816.7536407488,68096.7536407488,0.7250059588091983
21116,0.32,4197,5.0,SUWANNEE,1038800,2007,100,2426.0,2007,2022,0,1771.0,555.0,910.0,14,14,0,0,2.5,5532,877448.0,0.3872334787998562,-82.481385,29.650614,04333-020-073,True,0.86,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.473027536137993,710005.1738744024,715537.1738744024,-323262.8261255976,-167442.82612559758,323262.8261255976,167442.82612559758,0.688811295604931
21223,0.19,2086,4.0,SUWANNEE,572000,2005,100,2086.0,2005,2022,0,0.0,476.0,528.0,16,16,0,0,2.0,1612,484588.0,0.2299198780374146,-82.48286,29.649339,04333-070-174,True,0.84,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.824913055342995,371354.7392901277,372966.7392901277,-199033.2607098723,-113233.2607098723,199033.2607098723,113233.2607098723,0.6520397540037197
21306,0.17,1939,4.0,SUWANNEE,500600,2006,100,1939.0,2006,2022,0,0.0,146.0,484.0,15,15,0,0,2.0,2058,423452.0,0.20571778561242363,-82.482998,29.647637,04333-100-255,True,0.85,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.777346237557929,354104.10739187594,356162.10739187594,-144437.89260812406,-69347.89260812406,144437.89260812406,69347.89260812406,0.7114704502434597
21310,0.21,3238,4.0,SUWANNEE,845300,2010,100,2266.5,2007,2022,0,971.0,433.0,556.0,11,14,0,0,3.5,2585,715920.0,0.25412197046240564,-82.483807,29.647692,04333-100-259,True,0.89,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.241183555209224,563083.6950936079,565668.6950936079,-279631.3049063921,-152836.30490639212,279631.3049063921,152836.30490639212,0.669192825143272
21356,0.28,2184,4.0,SUWANNEE,623700,2013,100,1317.0,2013,2022,0,867.0,329.0,598.0,8,8,0,0,3.0,1456,528689.0,0.3388292939498742,-82.486122,29.646423,04333-112-302,True,0.92,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.002288092763179,443426.8338718605,444882.8338718605,-178817.16612813948,-85262.16612813948,178817.16612813948,85262.16612813948,0.71329619027074
21370,0.45,4547,4.0,SUWANNEE,1472600,2016,100,3782.0,2016,2022,0,765.0,1112.0,1133.0,5,5,0,0,4.0,33583,1218127.0,0.5445470795622978,-82.487666,29.647284,04333-113-315,True,0.95,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.592916400328448,800439.6356981859,834022.6356981859,-638577.3643018141,-417687.3643018141,638577.3643018141,417687.3643018141,0.5663606109589745
21700,0.95,1570,3.0,SUWANNEE,349600,1998,100,1570.0,1973,2022,0,0.0,0.0,506.0,23,48,0,0,2.0,2950,294210.0,1.1495993901870731,-82.475986,29.651413,04337-079-000,True,0.77,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.50325288984942,269211.57937466516,272161.57937466516,-77438.42062533484,-24998.42062533484,77438.42062533484,24998.42062533484,0.7784942201792482
21732,0.18,2537,4.0,SUWANNEE,491800,2006,100,2237.0,2006,2022,0,300.0,481.0,462.0,15,15,0,0,3.0,5510,412520.0,0.2178188318249191,-82.488948,29.656575,04338-010-002,True,0.85,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.009476890524372,446626.02509427833,452136.02509427833,-39663.97490572167,34106.02509427833,39663.97490572167,34106.02509427833,0.9193493800208994
21747,0.17,2285,4.0,SUWANNEE,431000,2006,100,2285.0,2006,2022,0,0.0,365.0,484.0,15,15,0,0,2.0,946,365404.0,0.20571778561242363,-82.488847,29.661815,04338-010-017,True,0.85,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.88530722263289,394473.4918180637,395419.4918180637,-35580.50818193628,29069.491818063718,35580.50818193628,29069.491818063718,0.9174466167472476
