prop_id,legal_acreage,yr_blt,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,,
4211,0.28,2001,1477,LT,3,278400,HIGH SPRINGS,,
4244,0.2984,1964,1825,LT,3,250500,HIGH SPRINGS,,
4260,0.53,1959,1471,LT,3,184900,HIGH SPRINGS,,
4268,0.38,1963,925,LT,3,205000,HIGH SPRINGS,,
4302,0.25,1999,1292,LT,3,225000,HIGH SPRINGS,,
4309,0.36,1998,1327,LT,3,166600,HIGH SPRINGS,,
4318,0.41,1999,1478,LT,3,312600,HIGH SPRINGS,,
4321,0.25,1999,1192,LT,3,253300,HIGH SPRINGS,,
4339,0.25,2002,1487,LT,3,288500,HIGH SPRINGS,,
4347,0.25,2003,1413,LT,3,275400,HIGH SPRINGS,,
4356,0.29,2006,1328,LT,3,242900,HIGH SPRINGS,,
4368,0.25,2009,1403,LT,3,214800,HIGH SPRINGS,,
4451,0.33,1965,1008,UN,3,175100,HIGH SPRINGS,,
4467,0.33,1970,1300,UN,3,255100,HIGH SPRINGS,,
4483,0.24,1980,1212,UN,3,223000,HIGH SPRINGS,,
4490,0.31,1982,1710,UN,3,280000,HIGH SPRINGS,,
4495,0.35,1980,1260,UN,3,195500,HIGH SPRINGS,,
4506,12.85,1995,2118,AC,4,468100,SUWANNEE,,
4570,5,1929,1050,AC,2,101300,SUWANNEE,,
4598,5.17,2017,2310,AC,3,724300,SUWANNEE,,
4604,5.27,2005,2341,AC,3,100,SUWANNEE,,
4604,5.27,2005,2341,AC,3,494400,SUWANNEE,,
4621,0.43,1954,1058,FF,3,258600,SUWANNEE,,
4682,5.01,2020,2937,AC,4,695800,HIGH SPRINGS,,
4703,1.01,2009,1981,LT,3,441000,HIGH SPRINGS,,
4710,1.01,2004,1963,LT,3,397300,HIGH SPRINGS,,
4720,1.01,2005,2277,LT,3,513100,HIGH SPRINGS,,
4728,1.85,2006,2103,LT,3,474700,HIGH SPRINGS,,
4741,1.2,2018,2528,LT,NULL,668900,HIGH SPRINGS,,
4847,1.06,2004,1744,LT,3,371600,HIGH SPRINGS,,
4848,1.02,2005,1873,LT,3,443500,HIGH SPRINGS,,
4864,1.02,2004,2096,LT,3,437800,HIGH SPRINGS,,
4881,1.04,2005,2058,LT,3,445500,HIGH SPRINGS,,
4891,2.26,2002,3148,LT,3,580400,HIGH SPRINGS,,
4894,1.39,2014,2161,LT,3,423000,HIGH SPRINGS,,
4904,1.06,2014,1636,LT,3,434900,HIGH SPRINGS,,
4909,1.01,2014,2104,LT,4,539900,HIGH SPRINGS,,
4936,1.1,2014,1850,LT,3,417500,HIGH SPRINGS,,
4999,0.28,1993,1152,LT,3,198500,HIGH SPRINGS,,
5006,0.28,1992,1008,LT,3,198100,HIGH SPRINGS,,
5010,0.23,1982,1344,LT,3,204900,HIGH SPRINGS,,
5017,0.3,1982,1144,LT,3,204700,HIGH SPRINGS,,
5027,0.23,1976,1144,LT,3,203000,HIGH SPRINGS,,
5048,1.29,1965,1335,LT,3,235600,HIGH SPRINGS,,
5049,0.34,1965,1075,LT,3,191800,HIGH SPRINGS,,
5064,0.23,1963,1200,LT,3,251100,HIGH SPRINGS,,
5075,0.27,1960,1000,LT,3,201000,HIGH SPRINGS,,
5081,0.58,1987,1767,LT,3,282200,HIGH SPRINGS,,
5086,0.4,1977,1323,LT,3,169800,HIGH SPRINGS,,
5094,0.7,1967,1520,LT,3,262400,HIGH SPRINGS,,
5098,0.34,1974,1574,LT,3,270200,HIGH SPRINGS,,
5104,0.7,1964,1284,LT,3,182000,HIGH SPRINGS,,
5110,0.23,1964,1332,LT,3,253300,HIGH SPRINGS,,
5117,0.34,1973,1289,LT,3,220000,HIGH SPRINGS,,
5135,0.23,1984,1056,LT,3,167000,HIGH SPRINGS,,
5140,0.3,1983,1140,LT,3,247000,HIGH SPRINGS,,
5144,0.3,1982,1308,LT,3,201400,HIGH SPRINGS,,
5148,0.23,1984,1308,LT,3,214400,HIGH SPRINGS,,
5171,2.5,2003,3114,AC,4,530200,HIGH SPRINGS,,
5235,2.03,1961,840,AC,3,225200,SUWANNEE,,
5253,1,2004,1779,LT,3,460000,HIGH SPRINGS,,
5254,1,2002,1848,LT,3,460400,HIGH SPRINGS,,
5259,1,2004,1930,LT,3,455100,HIGH SPRINGS,,
5262,1,2003,1649,LT,3,344400,HIGH SPRINGS,,
5276,1.34,2005,2080,LT,3,470300,HIGH SPRINGS,,
5282,1.01,2003,1930,LT,4,439600,HIGH SPRINGS,,
5333,1,2004,1551,LT,3,346400,HIGH SPRINGS,,
5368,0.4,2008,1881,LT,3,471800,HIGH SPRINGS,,
5375,0.32,2021,2127,LT,NULL,477100,HIGH SPRINGS,,
5376,0.32,2022,2089,LT,NULL,435100,HIGH SPRINGS,,
5395,0.35,2021,2088,LT,4,460400,HIGH SPRINGS,,
5398,0.37,2014,2108,LT,3,446200,HIGH SPRINGS,,
5403,0.37,2020,2178,LT,NULL,465500,HIGH SPRINGS,,
5410,0.37,2015,1932,LT,3,385500,HIGH SPRINGS,,
5422,0.35,2017,1975,LT,3,462700,HIGH SPRINGS,,
5424,0.35,2022,2251,LT,NULL,475100,HIGH SPRINGS,,
5433,0.51,2009,2048,LT,3,468000,HIGH SPRINGS,,
5444,0.37,2017,2450,LT,3,473600,HIGH SPRINGS,,
5507,5.03,2001,1788,AC,4,405900,HIGH SPRINGS,,
5523,15,2006,2004,AC,4,608400,HIGH SPRINGS,,
5636,1,2006,2204,LT,3,429400,HIGH SPRINGS,,
5709,5,2001,1886,AC,3,345100,HIGH SPRINGS,,
5805,0.63,2021,1758,UN,3,349200,SUWANNEE,,
5860,4.82,2004,1276,AC,3,351400,SUWANNEE,,
5928,2.5,1946,1562,AC,3,145600,SUWANNEE,,
5952,5.1,1985,1712,AC,3,341900,SUWANNEE,,
5983,4.03,1978,1862,AC,3,383000,SUWANNEE,,
6026,2.25,2005,1957,AC,3,367200,HIGH SPRINGS,,
6041,2.05,1997,1873,AC,3,445500,HIGH SPRINGS,,
6042,3.1,1999,1460,AC,3,392000,HIGH SPRINGS,,
6056,6.03,2005,2516,AC,4,498900,SUWANNEE,,
6103,1.26,1982,1272,AC,3,320000,SUWANNEE,,
6119,6,2002,1775,AC,3,390300,SUWANNEE,,
6163,4.37,1994,2943,AC,4,568300,SUWANNEE,,
6188,6.58,2006,2142,AC,4,596700,SUWANNEE,,
6229,12.37,2007,3208,AC,3,588300,SUWANNEE,,
6307,5,2011,2512,AC,4,779600,SUWANNEE,,
6353,7.5,1995,2166,AC,4,577500,SUWANNEE,,
6396,5,1977,1425,AC,3,325700,SUWANNEE,,
6406,5,2013,1560,AC,3,405900,SUWANNEE,,
6564,1,1961,1112,AC,3,168800,SUWANNEE,,
6654,5,0,0,AC,NULL,116400,NEWBERRY,,
6666,5,1972,1593,AC,3,315000,SUWANNEE,,
6700,10.03,1994,1496,AC,3,463900,SUWANNEE,,
6804,10,2006,2171,AC,4,549600,NEWBERRY,,
6875,1.77,1978,2533,AC,3,394500,SUWANNEE,,
6907,2,2008,2252,AC,4,501300,SUWANNEE,,
6909,3.88,2007,2462,AC,4,657900,SUWANNEE,,
7032,4.89,1976,1118,AC,3,329800,SUWANNEE,,
7103,9.64,2021,2428,AC,NULL,607800,NEWBERRY,,
7370,1.71,1929,1228,AC,3,200800,SUWANNEE,,
7425,1,1996,1804,LT,3,381600,NEWBERRY,,
7446,1.1,2002,1632,LT,3,262900,NEWBERRY,,
7460,1.05,2000,1512,LT,3,330300,NEWBERRY,,
7471,1.01,1999,1366,LT,3,281800,NEWBERRY,,
7475,1.05,1999,2178,LT,3,404200,NEWBERRY,,
7476,1,2004,1763,LT,3,414000,NEWBERRY,,
7487,1,2000,1518,LT,3,297400,NEWBERRY,,
7662,0.2,2005,1661,LT,3,291300,NEWBERRY,,
7668,0.2,2005,1369,LT,3,272000,NEWBERRY,,
7686,0.19,2006,1705,LT,3,295500,NEWBERRY,,
7691,0.19,2005,1802,LT,3,340700,NEWBERRY,,
7692,0.19,2005,1913,LT,3,320400,NEWBERRY,,
7696,0.18,2005,1479,LT,3,282200,NEWBERRY,,
7711,0.2,2005,1562,LT,3,311100,NEWBERRY,,
7716,0.24,2006,1555,LT,3,300300,NEWBERRY,,
7717,0.25,2006,1692,LT,3,316100,NEWBERRY,,
7721,0.24,2006,2315,LT,3,362600,NEWBERRY,,
7739,0.32,2006,1707,LT,3,360400,NEWBERRY,,
7780,0.21,2013,1525,LT,3,312400,NEWBERRY,,
7788,0.17,2013,1546,LT,3,308000,NEWBERRY,,
7794,0.2,2013,1298,LT,3,283500,NEWBERRY,,
