prop_id,legal_acreage,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,actual_age,abs_subdv_cd
38465,0.25,1159,UN,3,257800,GAINESVILLE,36,184000
38502,0.21,1289,UN,3,260900,GAINESVILLE,34,184000
38571,0.19,1774,LT,3,357000,GAINESVILLE,10,249300
38608,0.26,1008,UN,3,231700,GAINESVILLE,57,142800
38877,0.34,1632,UN,3,298700,GAINESVILLE,48,183500
38940,0.23,1018,UN,3,244700,GAINESVILLE,46,253800
38943,0.23,1512,UN,3,202000,GAINESVILLE,48,253800
39670,0.09,1634,LT,3,301300,GAINESVILLE,18,237600
39922,0.26,1450,UN,3,355600,GAINESVILLE,59,164700
40065,0.34,2506,UN,3,353800,GAINESVILLE,45,37400
40068,0.38,1960,UN,3,405300,GAINESVILLE,44,37400
40088,0.9,2920,LT,3,374800,GAINESVILLE,63,0
40340,0.34,1716,UN,3,277200,GAINESVILLE,57,0
40609,0.29,2100,UN,3,304700,GAINESVILLE,56,213200
41067,0.02,1050,UN,3,190800,GAINESVILLE,33,153100
41230,0.05,1326,UN,3,380200,GAINESVILLE,36,253903
41585,0.19,1670,UN,3,203300,ST. JOHN'S,35,173300
41628,0.37,1814,UN,4,333200,ST. JOHN'S,34,254000
41834,0.03,929,UN,3,164300,ST. JOHN'S,39,196800
43626,0.17,1684,LT,4,329700,ST. JOHN'S,24,22301
43792,0.11,2242,UN,4,340100,ST. JOHN'S,19,98309
43852,0.08,1704,UN,4,386900,ST. JOHN'S,27,0
43895,0.03,721,UN,3,155000,ST. JOHN'S,34,124701
44147,2.94,2891,AC,3,538400,ST. JOHN'S,54,0
44479,0.27,1768,LT,4,349200,ST. JOHN'S,27,21106
44502,0.35,2127,LT,3,408100,ST. JOHN'S,26,21107
45183,0.26,1831,LT,4,335700,ST. JOHN'S,20,51303
45455,1.08,2928,LT,4,590400,ST. JOHN'S,47,203700
45661,0.23,1104,UN,3,157400,ST. JOHN'S,63,214300
46145,0.32,1688,UN,4,465700,GAINESVILLE,54,109300
46265,0.1,2106,LT,4,455700,GAINESVILLE,26,107400
46271,0.1,2254,LT,4,451900,GAINESVILLE,25,107400
46305,0.07,2015,LT,4,407800,GAINESVILLE,15,231800
46394,0.34,2139,UN,3,535500,GAINESVILLE,60,186300
48681,0.22,1301,UN,3,388100,GAINESVILLE,40,149200
48784,0.18,2288,UN,3,412300,GAINESVILLE,96,91500
48970,0.51,1464,UN,3,326200,GAINESVILLE,68,16102
49056,0.28,1953,UN,3,414200,GAINESVILLE,64,16103
49431,0.26,2078,UN,3,290400,GAINESVILLE,67,72800
50178,0.36,1536,UN,3,288700,GAINESVILLE,66,146400
51054,0.02,1016,UN,3,122700,ST. JOHN'S,40,177400
52113,1,1569,AC,3,263700,ST. JOHN'S,45,62100
52368,0.76,2016,UN,4,349500,ST. JOHN'S,48,28300
52405,1.31,1809,UN,4,430800,ST. JOHN'S,47,28400
53055,1,1908,AC,3,386100,ST. JOHN'S,57,0
53447,0.81,2348,UN,4,858400,ST. JOHN'S,22,163300
53925,0.19,1886,UN,4,379800,ST. JOHN'S,32,56202
54280,0.26,2505,LT,4,496500,ST. JOHN'S,19,237200
