living_area,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
2749,1,54040.6087774082,2920387397.032888,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8690662970936882,0.0
2750,1,169875.15755645337,28857569154.829857,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.3004646560187467,0.0
2751,1,67200.3147051871,4515882296.476187,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1356317081616536,0.0
2752,1,42028.79719690629,1766419793.8186781,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0944460555163764,0.0
2753,2,8904.571404635906,146279788.77778465,0.9841966772664534,1.005858067739127,2.488487836093266,"{'PRB': -0.07233608272646931, 'Sig': nan}",1.018223051298826,0.02548679058626019
2754,1,69731.96478325842,4862546912.533592,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2740088142999308,0.0
2755,1,9926.115719009133,98527773.26716019,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0198395783786454,0.0
2756,1,125264.80772159557,15691272053.528309,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7792086822392057,0.0
2757,1,30543.299807342642,932893163.1212171,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9390476539991304,0.0
2758,2,72611.79868039701,5272701842.36194,-27.154227156599674,0.9997593381556592,0.7753894559990978,"{'PRB': 0.1730667488524508, 'Sig': nan}",0.8293144942850001,0.006428869589707953
2759,1,69747.1212632127,4864660924.505297,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8344192058335443,0.0
2760,2,48334.338519224315,2637015518.414238,-1.8077014084259995,0.9990028497398793,3.2777175018715345,"{'PRB': 0.7458289739801691, 'Sig': nan}",1.110646630082115,0.036367558860698423
2761,2,14224.46895979342,372329377.6134312,0.9541134915450831,1.0032495417113791,1.8699483575086273,"{'PRB': -0.07407483360810176, 'Sig': nan}",0.9761058977353574,0.01831198903491066
2762,2,75738.35999751909,9063244318.49843,0.6787497211818897,0.9776110331709115,8.483073650247222,"{'PRB': 0.21240452128907228, 'Sig': nan}",1.185400512202793,0.09830699985215519
2763,1,12634.109924295917,159620733.57919258,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9707688628524672,0.0
2764,1,75461.95377550222,5694506467.616034,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8226390001341446,0.0
2765,1,112943.72139523143,12756284202.603659,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.3090882689856183,0.0
2766,2,76544.3098499169,6606066764.548534,0.23509461596196324,0.9900987717135551,22.76050666063539,"{'PRB': 3.5883359597259394, 'Sig': nan}",0.9267229087150934,0.20883839467446652
2767,1,80117.95588566398,6418886855.297199,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1511342892686158,0.0
2770,2,9869.751058513066,111067657.35373142,0.8858470223884897,1.000911644216475,1.0780029149056165,"{'PRB': -0.08822652658672171, 'Sig': nan}",1.0239024047317156,0.01104776022213072
2771,1,69117.71679617587,4777258775.116372,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8096610836315236,0.0
2772,2,20090.724648790987,430178786.4306684,0.8937342285556918,1.010263182777505,4.917350995379928,"{'PRB': -0.16260899208444116, 'Sig': nan}",0.9872862815997981,0.0490465921982573
2773,1,73131.13577542792,5348163019.804072,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1905971192062272,0.0
2774,3,19719.580523740966,562925387.3648517,0.7990862707258706,0.9973288096170076,3.3768461507208247,"{'PRB': 0.19055007472335225, 'Sig': 0.5279947330340573}",0.9584982907330492,0.03220212783936786
2775,1,1744.716060463339,3044034.131638714,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9969965848240924,0.0
2777,2,54751.599442969164,5236157241.671818,0.20694775105450947,0.9939310020344221,10.464849385309263,"{'PRB': 1.2417534781389483, 'Sig': nan}",1.1041550990660038,0.11484690650035978
2778,4,17911.54972871617,582735152.316509,0.9473777111639055,0.9936803762319091,3.9110810705692156,"{'PRB': 0.08921411254635518, 'Sig': 0.3905960447516097}",1.0106074225644526,0.0384905540760801
2779,1,6061.25667117507,36738832.43386429,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.015480881881101,0.0
2780,2,16388.026784875896,356959436.8102886,-3068.800197885197,1.0006209104429726,2.535497674495681,"{'PRB': -0.7179711447299251, 'Sig': nan}",1.0442650495523256,0.026493756089005838
2782,2,72950.28141314263,7127245013.648019,-1.2707311111201438,1.0135868010873177,8.183729473524036,"{'PRB': -0.34319600600677186, 'Sig': nan}",1.1212904374598216,0.09301014675121178
2784,3,57738.52889453034,6593546518.555649,-0.8275263199747203,1.0048698673843757,11.99595800534634,"{'PRB': -1.8699654143683624, 'Sig': 0.4872554238178355}",1.0733107363387646,0.11613698439477153
2785,2,54202.05789002169,3637574837.481628,-16.04164464758898,1.0237165401417774,17.561779073275947,"{'PRB': -0.9173908133460219, 'Sig': nan}",1.0881362591222277,0.19562822383409323
2786,2,36872.219877254654,1417650342.4207711,0.48200571362512656,0.9991088497088686,0.8161773481965953,"{'PRB': 0.05156065126245497, 'Sig': nan}",1.0901602213924633,0.008889711650878263
2787,1,3710.1291738250875,13765058.486468026,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9890325059502905,0.0
2788,1,83726.05771983619,7010052741.305341,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1928256837761408,0.0
2789,1,57959.184482095705,3359267065.8296037,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1410563563947587,0.0
2794,1,20292.01174903504,411765740.82297605,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.040493561832457,0.0
2795,1,32292.946342715994,1042834383.4935342,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9479756009740128,0.0
2796,3,83647.73139302264,7023503359.674644,0.6577957885188676,0.9846433652663803,13.982279499733838,"{'PRB': 0.34071677774217857, 'Sig': 0.6433086924289579}",0.9545503692226772,0.12050659121463743
2797,3,101174.67965505004,12031091927.278069,0.3249556971080807,0.9886134160845235,19.479669509029804,"{'PRB': 3.532296826254755, 'Sig': 0.05901957975915113}",1.0091008555603167,0.17078403000367637
2798,2,21172.237688222784,459109034.142239,0.12026367518071246,0.9998737788807393,4.011532505433594,"{'PRB': 8.835830875830947, 'Sig': nan}",0.9938028126603927,0.0398616908474031
2799,2,19865.50440715147,777146324.0397502,0.9341136939048682,0.9830213138687598,7.352364056407906,"{'PRB': 0.2128880192136746, 'Sig': nan}",0.9482258965294121,0.06853331658956485
2800,4,75637.17973430529,7043390921.460495,0.7008967194131079,0.9991560088269168,9.224478198229669,"{'PRB': -0.016326141820215495, 'Sig': 0.9304595636920051}",1.1712813586660307,0.11430449321606728
2801,1,8171.077038994117,66766499.97717687,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0256346772680365,0.0
2802,1,23587.534110625857,556371765.4199383,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9595613295732279,0.0
2803,2,39165.26369483219,1685375817.0278203,0.8016066974738476,1.020932941373106,7.779830477050169,"{'PRB': -0.1997844059750987, 'Sig': nan}",0.9753037575048613,0.07746530732252982
2804,3,56978.63118686073,3885541022.5970674,0.8237629317240824,0.9844002080695824,7.435432981112818,"{'PRB': 0.2421699231591003, 'Sig': 0.468083620627832}",1.07081929336487,0.08209582390630336
2805,2,51972.78024755651,3658114627.9339495,-17.032434422958662,1.0161197657562058,11.275171217943438,"{'PRB': -0.5517825917523843, 'Sig': nan}",1.065731358907552,0.12210003542399156
2806,1,147030.47162433172,21617959586.073418,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5484217712687923,0.0
2807,1,28015.685544274747,784878636.5156851,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9511580374043374,0.0
2808,4,26209.653404578596,1035160135.0065591,0.2147613277988042,1.001683129262659,5.7752421581143665,"{'PRB': -0.15110307656368385, 'Sig': 0.7128434210341297}",0.9676901477453191,0.05574798085523497
2809,3,74031.55611168915,6736216780.620457,-0.2534394572217624,1.0154101581780242,13.918181314322279,"{'PRB': -0.3471464968487371, 'Sig': 0.6798312343087659}",0.9893543513793588,0.13071189118989365
2811,1,69632.54802338057,4848691744.228401,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8418730638114388,0.0
2813,1,32881.77023295674,1081210813.65296,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9303910922653428,0.0
2814,2,24292.361863677157,953723576.3461901,0.9158658929836083,0.9898494858630552,5.524380913252319,"{'PRB': 0.20389631371553069, 'Sig': nan}",0.9484073046974669,0.051861809817071614
2816,5,26569.44087239059,1197806201.5549943,0.7939586427932993,1.0003801782163533,4.368040639172502,"{'PRB': -0.02347778192378712, 'Sig': 0.8926152202140915}",0.951004013614102,0.04201043122703363
2819,1,97984.14830481092,9600893319.01918,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7954440981940076,0.0
2822,2,40857.96666992697,1670332994.4140482,-0.5091646361999131,1.017484267818812,9.808990215088752,"{'PRB': -0.3841067189853841, 'Sig': nan}",1.0023150312597153,0.10003598380849449
2823,1,114545.30963757832,13120627959.968693,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1695554110250341,0.0
2826,1,15243.569264857913,232366403.93252084,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9694150243701724,0.0
2827,3,66141.47875819723,4434542025.706064,0.2174898849556951,0.9971672835244344,9.774955246035919,"{'PRB': 3.1180762888057263, 'Sig': 0.2949894556962564}",0.9573288751500549,0.08697181530248117
2828,1,46971.4031282519,2206312711.8367524,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9163206952915773,0.0
2832,5,103402.77312173226,13554888322.531767,0.17830594079889106,0.9951120611844875,21.737839525249512,"{'PRB': 0.44640896046678996, 'Sig': 0.7165717337383425}",0.951299805207454,0.18971425080945722
2833,1,222996.95037369925,49727639875.970085,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.5772874924279974,0.0
2834,2,137893.25105153967,26848322601.823402,-25.74466413486834,1.050954693497439,25.464110841895046,"{'PRB': -0.91569511119919, 'Sig': nan}",0.8413299882514048,0.2251535916546321
