prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
20024,0.91,2264,4.0,SUWANNEE,583100,2005,100,2264.0,1965,2023,0,0.0,504.0,441.0,17,57,0,0,2.5,6121,489514.0,1.0552305293799007,-82.457128,29.663703,04321-020-000,Gainesvilleish_Region,True,0.83,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.991329405882672,438593.9872373,444714.9872373,-138385.01276269997,-50920.012762699975,138385.01276269997,50920.012762699975,0.762673618997256
20051,0.96,2896,4.0,SUWANNEE,665600,2015,100,1668.0,1968,2023,0,988.0,264.0,0.0,7,54,0,0,3.5,4314,561446.0,1.1132102287963788,-82.459083,29.662656,04321-028-020,Gainesvilleish_Region,True,0.9299999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.184343509924723,531970.6033439145,536284.6033439145,-129315.3966560855,-29475.396656085504,129315.3966560855,29475.396656085504,0.8057160506969869
20083,1.33,2152,4.0,SUWANNEE,409900,2000,100,1480.0,1994,2023,0,672.0,216.0,556.0,22,28,0,0,2.5,8642,339773.0,1.5422600044783163,-82.462123,29.66607,04321-029-009,Gainesvilleish_Region,True,0.78,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.932425402188036,413505.21374774957,422147.21374774957,12247.21374774957,73732.21374774957,12247.21374774957,73732.21374774957,1.0298785404921922
20086,1.73,2444,4.0,SUWANNEE,625800,2015,100,2444.0,1976,2023,0,0.0,507.0,575.0,7,46,0,0,2.5,12608,519322.0,2.0060975998101407,-82.461294,29.665527,04321-029-012,Gainesvilleish_Region,True,0.9299999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.190741828266091,535385.2329067022,547993.2329067022,-77806.76709329779,16063.232906702207,77806.76709329779,16063.232906702207,0.8756683172047015
20206,0.07,1507,3.0,SUWANNEE,307200,2006,100,1507.0,2006,2023,0,0.0,261.5,457.5,16,16,0,0,2.0,223,260897.0,0.08117157918306929,-82.471011,29.666763,04321-052-062,swNewberry_B,True,0.84,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12.478561315195059,262645.715901661,262868.715901661,-44331.284098338976,1748.715901661024,44331.284098338976,1748.715901661024,0.8556924345757195
20296,0.24,1872,3.0,SUWANNEE,471000,2014,100,1872.0,2014,2023,0,0.0,462.0,431.0,8,8,0,0,2.0,475,399875.0,0.2783025571990947,-82.46017,29.670546,04321-053-050,Gainesvilleish_Region,True,0.92,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.70520379423883,329457.8798453562,329932.8798453562,-141067.12015464378,-70417.12015464378,141067.12015464378,70417.12015464378,0.7004944370389729
20493,0.25,1706,4.0,SUWANNEE,300700,2012,100,1706.0,2012,2023,0,0.0,413.0,441.0,10,10,0,0,2.0,1216,254379.0,0.2898984970823903,-82.46811,29.666676,04321-204-112,Gainesvilleish_Region,True,0.9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.783863241376341,356419.34121143486,357635.34121143486,56935.34121143486,102040.34121143486,56935.34121143486,102040.34121143486,1.1893426711387924
20550,0.06,1559,3.0,SUWANNEE,309500,2005,100,1558.5,2005,2023,0,0.0,255.5,441.0,17,17,0,0,2.0,221,262854.0,0.06957563929977367,-82.470858,29.664675,04321-301-003,swNewberry_B,True,0.83,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12.47323360564519,261250.1367341141,261471.1367341141,-48028.86326588591,-1603.8632658859133,48028.86326588591,1603.8632658859133,0.8448178892863137
20587,0.26,2052,4.0,SUWANNEE,455900,2012,100,2052.0,1995,2023,0,0.0,480.0,462.0,10,27,0,0,2.0,5326,382188.99999999994,0.3014944369656859,-82.466201,29.665095,04321-400-018,Gainesvilleish_Region,True,0.9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.888714636197994,395819.91875914973,401145.91875914973,-54754.08124085027,13630.91875914979,54754.08124085027,13630.91875914979,0.8798989224811357
20634,0.22,1540,4.0,SUWANNEE,305600,2005,100,1540.0,1997,2023,0,0.0,30.0,420.0,17,25,0,0,2.0,1099,258660.99999999997,0.2551106774325035,-82.464954,29.667742,04321-401-065,Gainesvilleish_Region,True,0.83,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.620685407301997,302756.88639550394,303855.88639550394,-1744.1136044960585,44095.88639550397,1744.1136044960585,44095.88639550397,0.9942928219748166
