legal_acreage,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
0.96,5,39347.98835671542,2379690540.024254,0.8320408608373173,1.0105567573309786,7.412802169109845,"{'PRB': -0.05720156670678221, 'Sig': 0.6446352300428251}",0.9945854217490004,0.07612122078118091
0.97,6,38483.35660988777,2680406013.324884,0.8570578312384349,0.9953258095538252,6.724471914009534,"{'PRB': 0.019437702981151064, 'Sig': 0.8480756657230263}",0.9725743906693175,0.06491053600152906
0.98,4,189670.8661008822,52720725485.25695,0.6952864268993704,0.9804155723405401,16.169548117801064,"{'PRB': 0.031218354281986757, 'Sig': 0.8643591640658497}",1.2250073036984956,0.20716582828746138
0.99,7,46599.94632703887,2751347813.407437,0.9512007139106138,0.9584940933119326,16.95026412129575,"{'PRB': 0.11278983917719393, 'Sig': 0.28843141969363734}",0.9573795417097464,0.15786452861999548
1.0,132,46228.83604290219,4182984411.863938,0.93049259304313,0.987883654326158,13.833499417983532,"{'PRB': 0.033618466242242837, 'Sig': 0.18691366481541002}",0.9919394851172844,0.1354423122736842
1.01,48,45002.406778924524,3516806546.8947997,0.926881274523243,1.0198454504415653,13.374379265556394,"{'PRB': -0.09622244520872915, 'Sig': 0.022822956610623633}",0.9985935890779192,0.13256958114008763
1.02,24,34478.23787101838,1959276030.8156235,0.902100554778234,0.9952590017039836,7.102720207847672,"{'PRB': 0.03457473089760566, 'Sig': 0.3795924046325113}",0.961699658985545,0.06739865137615596
1.03,31,38364.480189358546,2628853453.6859007,0.8920450297534123,1.0196469737348453,10.682993298317678,"{'PRB': -0.10143215214683773, 'Sig': 0.03117033770877999}",1.0113327357438517,0.10658022274242164
1.04,17,54982.64007976992,5924322490.823881,0.868276717993074,1.0051893688422107,10.4612060707503,"{'PRB': -0.04056597819643447, 'Sig': 0.4961289115683698}",0.9951783003582247,0.10608430965839634
1.05,22,52306.18428141978,4024267769.554848,0.9183272557187754,1.0056296225648227,11.661839797634492,"{'PRB': -0.03350933106357497, 'Sig': 0.5357206455036371}",1.0214432149186825,0.12094073293789762
1.06,22,36033.71079196549,2301088437.762019,0.6134026005399735,1.0015199351279238,11.982583494823313,"{'PRB': 0.010595996090535742, 'Sig': 0.9289114971028002}",0.9976440690426859,0.12189669323549972
1.07,13,80572.1868178405,16756447751.113352,0.8646013695001927,0.9040937393218763,21.571149389580622,"{'PRB': 0.2692667295630111, 'Sig': 0.012445926346263826}",1.0876428211120193,0.2202363042938001
1.08,7,29695.048170542963,1347927069.9729922,0.9679343466447005,1.016355350302365,5.701084672779474,"{'PRB': -0.04694353597032125, 'Sig': 0.3421775832183871}",0.9752639440428484,0.05598232080201631
1.09,10,55847.081777291256,4354245346.72024,0.8377867552755844,0.999170975506255,13.746504498949838,"{'PRB': -0.010521067763813188, 'Sig': 0.9346656094292103}",1.0045361851137247,0.14561236096777058
