prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,hood_cd,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
13720,0.19,1516,3.0,ALACHUA,235900,2014,100,1516.0,2014,2022,0,233214.06,0.0,42.0,420.0,7,7,0,0,2.0,483,200032.0,0.22494313703489172,-82.491379,29.798183,03218-020-038,Alachua_Main,True,0.9299999999999999,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.472875310925135,261156.5489565131,261639.5489565131,25739.548956513114,61124.548956513114,25739.548956513114,61124.548956513114,1.1091121193578344
13721,0.18,1220,3.0,ALACHUA,225900,2015,100,1220.0,2015,2022,0,233214.06,0.0,115.0,280.0,6,6,0,0,2.0,543,191471.99999999997,0.2131040245593711,-82.49138,29.798412,03218-020-039,Alachua_Main,True,0.94,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.359145039871995,233081.868986274,233624.868986274,7724.868986273999,41609.86898627403,7724.868986273999,41609.86898627403,1.0341959671813812
29648,0.34,2181,3.0,ALACHUA,371300,1991,100,1917.0,1981,2022,0,233328.01,0.0,339.0,492.0,30,40,0,0,2.0,1092,314513.0,0.40252982416770106,-82.410667,29.761803,05917-032-000,Turkey_Creek,True,0.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.576136253749866,289565.34108271654,290657.34108271654,-80642.65891728346,-24947.658917283465,80642.65891728346,24947.658917283465,0.7828099679038959
29660,0.4,1642,3.0,ALACHUA,313300,1988,100,1422.0,1978,2022,0,233328.01,0.0,220.0,528.0,30,43,0,0,2.0,4321,261984.0,0.4735644990208247,-82.411271,29.761275,05917-044-000,Turkey_Creek,True,0.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.434826465313094,251406.5088742048,255727.5088742048,-57572.491125795204,-10577.491125795204,57572.491125795204,10577.491125795204,0.8162384579451158
29703,0.35,1493,3.0,ALACHUA,281400,1999,100,1493.0,1997,2022,0,233328.02,0.0,208.0,441.0,22,24,0,0,2.0,437,238753.00000000003,0.41436893664322155,-82.411824,29.757397,05918-012-000,Turkey_Creek,True,0.78,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.465263937769002,259176.33464523408,259613.33464523408,-21786.665354765923,20423.33464523405,21786.665354765923,20423.33464523405,0.9225775929112796
29768,0.21,1409,3.0,ALACHUA,287500,2000,100,1409.0,1997,2022,0,233328.02,0.0,180.0,420.0,21,24,0,0,2.0,714,243661.0,0.248621361985933,-82.411356,29.756477,05918-125-000,Turkey_Creek,True,0.79,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.401257968489643,243107.24647787935,243821.24647787935,-43678.75352212065,-553.753522120649,43678.75352212065,553.753522120649,0.8480739007926238
29772,0.2,1597,3.0,ALACHUA,319500,2008,100,1597.0,1998,2022,0,233328.02,0.0,10.0,420.0,13,23,0,0,2.0,646,270929.0,0.23678224951041235,-82.410987,29.756957,05918-129-000,Turkey_Creek,True,0.87,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.536396651324313,278283.77664329973,278929.77664329973,-40570.22335670027,7354.7766432997305,40570.22335670027,7354.7766432997305,0.873019645205946
29778,0.2,1480,3.0,ALACHUA,278500,1997,100,1480.0,1997,2022,0,233328.02,0.0,36.0,399.0,24,24,0,0,2.0,595,236130.0,0.23678224951041235,-82.40982,29.756733,05918-135-000,Turkey_Creek,True,0.76,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.380583837269958,238132.81358257297,238727.81358257297,-39772.18641742703,2002.8135825729696,39772.18641742703,2002.8135825729696,0.8571914311762046
29836,1.0,1653,3.0,ALACHUA,298100,2003,100,1652.5,2003,2022,0,233332.01,0.0,168.0,400.0,18,18,0,0,2.0,952,252433.0,1.1839112475520617,-82.40878,29.753619,05921-020-030,Turkey_Creek,True,0.8200000000000001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.649539662267575,311619.964629957,312571.964629957,14471.964629956987,59186.96462995699,14471.964629956987,59186.96462995699,1.0485473486412513
29838,1.0,1857,3.0,ALACHUA,320900,2002,100,1857.0,2002,2022,0,233332.01,0.0,96.0,441.0,19,19,0,0,2.0,2030,270735.0,1.1839112475520617,-82.409322,29.753286,05921-020-032,Turkey_Creek,True,0.81,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.700313887694268,327850.794054482,329880.794054482,8980.794054482016,57115.794054482016,8980.794054482016,57115.794054482016,1.0279862700357807
29961,1.42,3380,4.0,ALACHUA,739200,2007,100,2883.0,2001,2022,0,233334.01,0.0,557.0,925.0,14,20,0,0,2.0,4842,623478.0,1.6811539715239276,-82.402121,29.746964,05936-010-017,Alachua_Main,True,0.86,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.149109170462463,513553.33596410963,518395.33596410963,-220804.66403589037,-109924.66403589037,220804.66403589037,109924.66403589037,0.7012923917263388
30194,0.1,1200,3.0,GAINESVILLE,189600,1985,100,1200.0,1980,2022,0,174302.03,0.0,252.0,528.0,30,41,0,0,2.0,1454,159706.0,0.11839112475520618,-82.384139,29.733325,05977-261-000,TC_Forest,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12.101366517792385,180117.82837413443,181571.82837413443,-8028.171625865565,20411.828374134435,8028.171625865565,20411.828374134435,0.9576573226483883
30315,0.1,1368,3.0,GAINESVILLE,203300,1991,100,1368.0,1981,2022,0,174302.01,0.0,9.0,0.0,30,40,0,0,2.0,320,172485.0,0.11839112475520618,-82.382047,29.73382,05979-051-000,TC_Forest,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12.060293730256213,172869.75527492186,173189.75527492186,-30110.24472507814,384.7552749218594,30110.24472507814,384.7552749218594,0.8518925493109781
30319,0.11,1320,3.0,GAINESVILLE,203200,1987,100,1320.0,1982,2022,0,174302.01,0.0,240.0,0.0,30,39,0,0,2.0,600,172120.0,0.1302302372307268,-82.382659,29.734098,05979-055-000,TC_Forest,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12.065085053210808,173700.01754050684,174300.01754050684,-28899.982459493156,1580.017540506844,28899.982459493156,1580.017540506844,0.8577756768725731
