legal_acreage,hood_cd,map_id,township_code,range_code,market_area_cd,city_id,yr_blt,living_area,land_type_cd,condition_cd,land_total_acres,sl_price,CENTROID_X,CENTROID_Y,Coord_Ratio
0.32,223100.08,7-17CAD,8,17,2,1019,1967,1327,LT,2,0.32,275000,-82.60198723,29.81914305,-2.770099298
0.31,223100.08,8-17C,8,17,2,1019,2003,1600,LT,3,0.31,275600,-82.60241406,29.81998934,-2.770034996
0.23,223100.11,7-17CAD,8,17,2,1019,1970,1012,UN,3,0.23,159300,-82.59614632,29.81904908,-2.769912149
0.59,223100.11,7-17CAD,8,17,2,1019,1977,1200,UN,3,0.59,181400,-82.59650361,29.81854879,-2.769970605
0.25,223100.02,8-17C,8,17,2,1019,2005,1347,LT,3,0.25,270700,-82.59430299,29.81746515,-2.769997468
0.3,223100.02,8-17C,8,17,2,1019,1964,1201,LT,3,0.3,198900,-82.59972853,29.81663048,-2.770256974
0.22,223100.02,8-17C,8,17,2,1019,1964,1152,LT,3,0.22,262500,-82.60157679,29.81580935,-2.770395256
0.25,223100.02,8-17C,8,17,2,1019,1963,925,LT,3,0.25,185000,-82.59972906,29.8161356,-2.770302972
0.74,223100.02,8-17C,8,17,2,1019,2006,1504,LT,3,0.74,302200,-82.59597044,29.81559387,-2.770227244
0.41,223100.02,8-17C,8,17,2,1019,1999,1478,LT,3,0.41,225200,-82.59555928,29.8157751,-2.770196616
0.41,223100.02,8-17C,8,17,2,1019,1999,1478,LT,3,0.41,312600,-82.59555928,29.8157751,-2.770196616
0.25,223100.02,8-17C,8,17,2,1019,1999,1192,LT,3,0.25,253300,-82.59502998,29.81586149,-2.770170837
0.29,223100.02,8-17C,8,17,2,1019,2006,1328,LT,3,0.29,242900,-82.59717166,29.81814383,-2.770030627
1,223100.4,8-17E,8,17,2,1019,1979,1344,AC,3,1,255000,-82.61100845,29.82224368,-2.770113789
0.33,223104.01,8-17E,8,17,2,1019,1970,1300,UN,3,0.33,85300,-82.61117049,29.82132015,-2.77020501
0.33,223104.01,8-17E,8,17,2,1019,1970,1300,UN,3,0.33,255100,-82.61117049,29.82132015,-2.77020501
0.33,223104.01,8-17E,8,17,2,1019,1970,1300,UN,3,0.33,250000,-82.61117049,29.82132015,-2.77020501
0.35,223104.01,8-17E,8,17,2,1019,1982,1308,UN,3,0.35,248000,-82.61037912,29.81886754,-2.770406321
5,223105.43,8-17E,8,17,2,0,1929,1050,AC,2,5,101300,-82.62876487,29.82049821,-2.770871375
2.12,223100.4,8-17E,8,17,2,0,1974,2088,AC,3,2.12,329600,-82.6549176,29.82131902,-2.771672089
6.36,223100.19,8-17E,8,17,2,1019,2008,3098,AC,4,6.36,841500,-82.61578677,29.80538415,-2.771841033
1.01,223100.04,8-17E,8,17,2,1019,2004,1963,LT,3,1.01,397300,-82.61397483,29.81482605,-2.770902459
1.85,223100.04,8-17E,8,17,2,1019,2006,2103,LT,3,1.85,474700,-82.61597847,29.81402112,-2.771044474
1.85,223100.04,8-17E,8,17,2,1019,2006,2103,LT,3,1.85,440200,-82.61597847,29.81402112,-2.771044474
1.16,223100.04,8-17E,8,17,2,1019,2005,2151,LT,3,1.16,471500,-82.61228189,29.81325703,-2.770991502
0.42,223100,8-17F,8,17,2,0,1958,1112,UN,3,0.42,201500,-82.60644954,29.80782168,-2.771301118
1.53,223110.01,8-17F,8,17,2,1019,2005,2016,LT,3,1.53,373600,-82.60805504,29.80255456,-2.771844772
1.39,223100.18,8-17E,8,17,2,1019,2014,2161,LT,3,1.39,423000,-82.61663488,29.81788445,-2.77070746
0.54,223100.02,8-17F,8,17,2,1019,1994,912,LT,3,0.54,186500,-82.59693021,29.81145663,-2.770643891
0.3,223100.02,8-17F,8,17,2,1019,1982,1144,LT,3,0.3,204700,-82.59855507,29.81381158,-2.770479543
1.29,223100.02,8-17F,8,17,2,1019,1965,1335,LT,3,1.29,235600,-82.60049087,29.81338703,-2.770583926
0.41,223100.02,8-17F,8,17,2,1019,1985,1430,LT,3,0.41,290000,-82.60426207,29.81223749,-2.770817256
0.4,223100.02,8-17F,8,17,2,1019,1977,1323,LT,3,0.4,169800,-82.60310121,29.8129515,-2.770711958
0.5,223100.02,8-17F,8,17,2,1019,1985,1690,LT,3,0.5,273900,-82.60378232,29.81168351,-2.770852652
0.34,223100.02,8-17F,8,17,2,1019,1975,1142,LT,3,0.34,252100,-82.6025739,29.81169661,-2.7708109
0.23,223100.02,8-17F,8,17,2,1019,1984,1308,LT,3,0.23,214400,-82.59801545,29.81145008,-2.770680904
2.5,223114.01,8-17A,8,17,2,1019,2003,3114,AC,4,2.5,530200,-82.57967809,29.81101333,-2.770106376
0.77,223100.03,8-17A,8,17,2,1019,2002,2153,LT,3,0.77,321000,-82.56923513,29.80998134,-2.769851956
1,223100.03,8-17A,8,17,2,1019,2002,1848,LT,3,1,412900,-82.57053166,29.80902614,-2.769984208
1,223100.03,8-17A,8,17,2,1019,2002,1848,LT,3,1,460400,-82.57053166,29.80902614,-2.769984208
1.41,223100.03,8-17A,8,17,2,1019,2005,2808,LT,3,1.41,567300,-82.56737187,29.80292491,-2.770445254
1.3,223100.03,8-17A,8,17,2,1019,2004,2184,LT,3,1.3,456000,-82.56656667,29.80564596,-2.770165316
1.3,223100.03,8-17A,8,17,2,1019,2004,2184,LT,3,1.3,472000,-82.56656667,29.80564596,-2.770165316
1.06,223100.03,8-17A,8,17,2,1019,2004,1989,LT,3,1.06,450000,-82.56561353,29.80166026,-2.770503818
0.32,223100.14,8-17A,8,17,2,1019,2021,2127,LT,NULL,0.32,477100,-82.5637711,29.80341493,-2.770278885
0.35,223100.14,8-17A,8,17,2,1019,2021,2088,LT,4,0.35,460400,-82.56152806,29.80731096,-2.769841539
0.37,223100.14,8-17A,8,17,2,1019,2014,2108,LT,3,0.37,446200,-82.56121325,29.80641769,-2.769913986
0.37,223100.14,8-17A,8,17,2,1019,2020,2178,LT,NULL,0.37,465500,-82.56122523,29.80511159,-2.77003577
0.29,223100.14,8-17A,8,17,2,1019,2021,2088,LT,4,0.29,464300,-82.56282189,29.80291399,-2.7702936
15,223100.44,8-17F,8,17,2,1019,2006,2004,AC,4,15,608400,-82.578183,29.7947427,-2.771568926
5.01,223114.02,8-17F,8,17,2,1019,2005,1612,AC,3,5.01,415200,-82.58886948,29.79409779,-2.771987596
5.01,223114.02,8-17F,8,17,2,1019,2003,1916,AC,3,5.01,490000,-82.59097267,29.79405974,-2.772061726
5.01,223114.02,8-17G,8,17,2,1019,2017,2729,AC,3,5.01,681800,-82.58635365,29.78448238,-2.772798016
5,223117.01,8-17G,8,17,2,1019,2001,1886,AC,3,5,345100,-82.63123128,29.78983332,-2.773806432
1.13,223100.44,8-17G,8,17,2,0,2005,1754,AC,4,1.13,419000,-82.60909843,29.77740481,-2.774220889
2.03,223124.01,8-17G,8,17,2,1019,1998,1350,AC,3,2.03,248900,-82.57287678,29.7807697,-2.772691156
3.1,223124.01,8-17G,8,17,2,1019,1999,1460,AC,3,3.1,392000,-82.57285431,29.7794291,-2.772815222
6.58,223100.4,8-17H,8,17,2,0,2006,2142,AC,4,6.58,541700,-82.61639143,29.76229781,-2.775874092
6.58,223100.4,8-17H,8,17,2,0,2006,2142,AC,4,6.58,596700,-82.61639143,29.76229781,-2.775874092
5,223134.46,8-17H,8,17,2,0,1977,1425,AC,3,5,325700,-82.58267461,29.75084309,-2.775809558
3.07,223100.17,8-17H,8,17,2,0,2020,2225,AC,NULL,3.07,661500,-82.56489946,29.74350099,-2.775897144
5,224100.42,9-17A,9,17,2,0,1972,1593,AC,3,5,315000,-82.60818311,29.72954121,-2.778656506
1.77,224100.4,9-17A,9,17,2,0,1978,2533,AC,3,1.77,394500,-82.56893827,29.72217791,-2.778024495
5.09,224100.42,9-17B,9,17,2,1022,2015,1584,LT,3,5.09,530000,-82.60837724,29.71021774,-2.780470273
1.71,224100.4,9-17B,9,17,2,0,1929,1228,AC,3,1.71,200800,-82.58350741,29.67675519,-2.782767417
1,224127.01,9-17B,9,17,2,1022,2004,1763,LT,3,1,414000,-82.60331645,29.67998951,-2.783131592
10,224100,9-17C,9,17,2,1022,2012,2450,AC,4,10,640600,-82.6309905,29.67856072,-2.784198037
0.2,224100.03,9-17C,9,17,2,1022,2005,1661,LT,3,0.2,291300,-82.60863609,29.66025471,-2.785162733
0.21,224100.03,9-17C,9,17,2,1022,2005,1707,LT,3,0.21,303100,-82.60894523,29.66070247,-2.785131111
0.23,224100.03,9-17C,9,17,2,1022,2006,1607,LT,3,0.23,320500,-82.61404793,29.66132797,-2.78524441
0.17,224100.03,9-17C,9,17,2,1022,2012,1482,LT,3,0.17,284200,-82.61377106,29.65917358,-2.78543739
0.17,224100.03,9-17C,9,17,2,1022,2012,1482,LT,3,0.17,230000,-82.61377106,29.65917358,-2.78543739
0.25,224100.03,9-17C,9,17,2,1022,2014,1677,LT,3,0.25,348200,-82.61376593,29.65831946,-2.785517435
0.17,224100.03,9-17C,9,17,2,1022,2013,1546,LT,3,0.17,308000,-82.61252044,29.65718537,-2.785581957
0.19,224100.03,9-17C,9,17,2,1022,2011,1383,LT,3,0.19,286500,-82.61294012,29.65873879,-2.785450207
0.23,224100.01,9-17D,9,17,2,1022,2004,1453,LT,3,0.23,271400,-82.59722398,29.65729217,-2.785056151
0.23,224100.01,9-17D,9,17,2,1022,2004,1696,LT,3,0.23,305800,-82.59522161,29.65640374,-2.785072065
0.28,224100.01,9-17D,9,17,2,1022,2004,1693,LT,3,0.28,287900,-82.59353567,29.65708243,-2.784951482
0.29,224100.01,9-17D,9,17,2,1022,2005,1652,LT,3,0.29,303800,-82.59192757,29.65774178,-2.784835346
0.24,224100.01,9-17D,9,17,2,1022,2006,1736,LT,3,0.24,300000,-82.58949022,29.6608329,-2.784462948
0.23,224100.01,9-17D,9,17,2,1022,2006,1622,LT,3,0.23,300000,-82.59001011,29.65840119,-2.784708777
0.23,224100.01,9-17D,9,17,2,1022,2006,1555,LT,3,0.23,296100,-82.59002364,29.65910229,-2.784643407
0.23,224100.01,9-17D,9,17,2,1022,2006,1555,LT,3,0.23,315000,-82.59002364,29.65910229,-2.784643407
0.31,224100.01,9-17D,9,17,2,1022,2008,1809,LT,3,0.31,309100,-82.58559114,29.66365735,-2.784066381
0.24,224100.01,9-17D,9,17,2,1022,2007,2200,LT,3,0.24,352800,-82.58608384,29.66337368,-2.784109614
0.24,224100.01,9-17D,9,17,2,1022,2007,2200,LT,3,0.24,369900,-82.58608384,29.66337368,-2.784109614
0.23,224100.01,9-17D,9,17,2,1022,2014,1886,LT,3,0.23,349100,-82.58768574,29.66360257,-2.784142133
2.22,224100.4,9-17D,9,17,2,0,1990,2629,AC,4,2.22,417900,-82.55789375,29.66250631,-2.783240664
2.22,224100.4,9-17D,9,17,2,0,1990,2629,AC,4,2.22,433500,-82.55789375,29.66250631,-2.783240664
2.98,215100.9,10-17A,10,17,2,1022,1993,1934,AC,3,2.98,360000,-82.58023085,29.65237971,-2.784944468
2,215100.9,10-17A,10,17,2,0,2007,1000,AC,3,2,271700,-82.58275859,29.64976453,-2.78527536
10.29,215100.9,10-17A,10,17,2,0,2002,2518,AC,4,10.29,680300,-82.57890759,29.64241313,-2.785836201
0.17,215103.13,10-17A,10,17,2,1022,2008,2200,LT,2,0.17,337000,-82.60023232,29.6407399,-2.786712903
0.18,215103.13,10-17A,10,17,2,1022,2009,2712,LT,2,0.18,384900,-82.60003964,29.63955122,-2.786818162
0.54,215104.06,10-17B,10,17,2,1022,1964,960,LT,3,0.54,190600,-82.62134574,29.64535081,-2.78699167
0.22,215104.01,10-17B,10,17,2,1022,1979,1056,UN,3,0.22,186800,-82.61459254,29.64098465,-2.787174364
0.24,215104.01,10-17B,10,17,2,1022,1979,1450,UN,3,0.24,154400,-82.61035514,29.64144899,-2.786987747
0.21,215104.01,10-17B,10,17,2,1022,1979,1296,UN,3,0.21,206200,-82.61017642,29.64049786,-2.787071149
0.46,215104.05,10-17C,10,17,2,1022,1954,1949,UN,3,0.0002,222200,-82.62278115,29.64721088,-2.786865229
0.22,215104.05,10-17C,10,17,2,1022,2004,1191,UN,3,0.22,215700,-82.62224268,29.64653434,-2.786910663
0.29,215104.04,10-17C,10,17,2,1022,1981,1333,UN,3,0.29,208100,-82.60729016,29.64860398,-2.786211797
0.37,215104.06,10-17B,10,17,2,1022,2006,1686,LT,3,0.37,293000,-82.61334239,29.64455356,-2.786796644
0.24,215104.06,10-17B,10,17,2,1022,1956,1450,LT,3,0.24,234700,-82.61240038,29.64502854,-2.786720217
0.24,215104.06,10-17B,10,17,2,1022,1917,3172,LT,3,0.24,296400,-82.61262001,29.64501286,-2.7867291
