tax_area_description,Market_Cluster_ID,era_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median
ARCHER,Archer,1910s,3.0,1.0,0.8883160303617241,,0.8883160303617241,0.8883160303617241,0.8883160303617241,0.8883160303617241,0.8883160303617241,0.8883160303617241
ARCHER,Archer,1920s,3.0,2.0,0.9829222692251944,0.11891145610123967,0.8988391722552415,0.940880720740218,0.9829222692251944,1.024963817710171,1.0670053661951475,0.9829222692251944
ARCHER,Archer,1930s,3.0,1.0,0.9572710686390676,,0.9572710686390676,0.9572710686390676,0.9572710686390676,0.9572710686390676,0.9572710686390676,0.9572710686390676
ARCHER,Archer,1950s,3.0,4.0,0.8504224404228395,0.13155251845478022,0.7186358850387788,0.7811496201809018,0.8265883939807852,0.8958612142227229,1.0298770886910091,0.8265883939807852
ARCHER,Archer,1960s,2.0,1.0,0.6554903067074148,,0.6554903067074148,0.6554903067074148,0.6554903067074148,0.6554903067074148,0.6554903067074148,0.6554903067074148
ARCHER,Archer,1960s,3.0,1.0,0.9395398163904228,,0.9395398163904228,0.9395398163904228,0.9395398163904228,0.9395398163904228,0.9395398163904228,0.9395398163904228
ARCHER,Archer,1970s,3.0,6.0,0.8219606219036292,0.03052383507110653,0.7815214095561812,0.8021169981998243,0.819489832687216,0.8467429465468903,0.8591092852870196,0.819489832687216
ARCHER,Archer,1980s,3.0,6.0,0.8419045080852557,0.1150649997796161,0.7327432396134871,0.7668374884299334,0.8039363966896713,0.8882916293191635,1.0399297896463575,0.8039363966896713
ARCHER,Archer,1990s,3.0,2.0,0.8381169693497905,0.05450686621256247,0.7995747946296596,0.8188458819897251,0.8381169693497905,0.8573880567098559,0.8766591440699213,0.8381169693497905
ARCHER,Archer,2000s,3.0,3.0,0.8391539924552486,0.043892283486970544,0.8044752684208117,0.814479842350414,0.8244844162800162,0.8564933544724669,0.8885022926649174,0.8244844162800162
ARCHER,HighSprings_E,1960s,3.0,1.0,0.8944047003151102,,0.8944047003151102,0.8944047003151102,0.8944047003151102,0.8944047003151102,0.8944047003151102,0.8944047003151102
GAINESVILLE,Buck_Bay,2000s,3.0,2.0,0.8200003920412556,0.035786868079709815,0.7946952549446644,0.8073478234929601,0.8200003920412556,0.8326529605895512,0.8453055291378468,0.8200003920412556
GAINESVILLE,Buck_Bay,2010s,3.0,25.0,0.8590428322655874,0.0706259827837699,0.7356409035888705,0.8148743725643386,0.8549280371146696,0.8979371840141247,1.0580741288013429,0.8549280371146696
GAINESVILLE,CarolEstates,1930s,3.0,1.0,0.8296985658213781,,0.8296985658213781,0.8296985658213781,0.8296985658213781,0.8296985658213781,0.8296985658213781,0.8296985658213781
GAINESVILLE,CarolEstates,1940s,3.0,1.0,1.07215700362944,,1.07215700362944,1.07215700362944,1.07215700362944,1.07215700362944,1.07215700362944,1.07215700362944
GAINESVILLE,CarolEstates,1950s,3.0,2.0,0.8808614307312663,0.07961520818859869,0.8245649771355295,0.8527132039333979,0.8808614307312663,0.9090096575291348,0.9371578843270032,0.8808614307312663
GAINESVILLE,CarolEstates,1960s,3.0,30.0,0.8696246330882987,0.10380972744405269,0.6611454686772251,0.7955198873401345,0.8442309638103691,0.9385190130849665,1.1009930721143957,0.8442309638103691
GAINESVILLE,Duck_Pond,1900s,4.0,2.0,0.9070286000947797,0.20894260897509148,0.7592838644096833,0.8331562322522315,0.9070286000947797,0.980900967937328,1.054773335779876,0.9070286000947797
GAINESVILLE,Duck_Pond,1910s,3.0,2.0,0.6780082743434082,0.05008367615932939,0.6425937673043953,0.6603010208239017,0.6780082743434082,0.6957155278629146,0.713422781382421,0.6780082743434082
GAINESVILLE,Duck_Pond,1920s,3.0,4.0,0.6665141127135147,0.14184240577009768,0.5160468611804044,0.5812239778187551,0.6515448023326251,0.7368349372273846,0.8469199850084039,0.6515448023326251
GAINESVILLE,Duck_Pond,1920s,4.0,5.0,0.858362742882236,0.09599010913835858,0.7179753980169145,0.8049555779805174,0.898708751046978,0.9139392910708428,0.956234696295928,0.898708751046978
GAINESVILLE,Duck_Pond,1930s,3.0,8.0,0.7702144612047999,0.06899161989168455,0.723129194803004,0.7357214402612846,0.7403477707037911,0.7764840359682332,0.9337024857709924,0.7403477707037911
GAINESVILLE,Duck_Pond,1930s,4.0,4.0,0.8788967442311035,0.1132158949116892,0.7283292513367912,0.8334752324350311,0.8954912268754471,0.9409127386715197,0.9962752718367291,0.8954912268754471
GAINESVILLE,Duck_Pond,1940s,3.0,12.0,0.9284717150330032,0.17720993071270152,0.65420936995553,0.8309118188528793,0.910997704479817,1.0654498052801762,1.2303902016341313,0.910997704479817
GAINESVILLE,Duck_Pond,1950s,3.0,18.0,0.8931586600668757,0.13492265652202698,0.6854051920383097,0.7938571057319216,0.8836315345619621,1.000887526798879,1.1430139000771475,0.8836315345619621
