,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
693,26868,0.83,2524,3.0,LACROSSE,223100,1969,100,1964.0,1929,2022,0,0.0,240.0,0.0,30,92,0,0,1.0,1422,188212.99999999997,1.0039088099142672,-82.405498,29.844614,05551-010-004,HSBUI,True,0.7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.401388385196395,243138.95379188916,244560.95379188916,21460.95379188916,54925.95379188919,21460.95379188916,54925.95379188919,1.0961943244817982
740,71304,5.0,2108,3.0,SUWANNEE,600000,2006,100,2108.0,2006,2022,0,0.0,372.0,616.0,15,15,0,0,2.0,3600,506399.99999999994,6.047643433218478,-82.317414,29.829584,07633-016-000,HSBUI,False,0.85,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.7530194651826,345593.83084296854,349193.83084296854,-250806.16915703146,-160806.1691570314,250806.16915703146,160806.1691570314,0.5819897180716143
749,87215,0.05,735,3.0,GAINESVILLE,117300,1979,100,735.0,1958,2022,0,0.0,60.0,0.0,30,63,0,0,1.0,520,99185.0,0.060476434332184775,-82.330211,29.64547,13368-001-000,MidtownEast_A,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.798738723294818,133084.3908024857,133604.3908024857,16304.390802485694,33899.390802485694,16304.390802485694,33899.390802485694,1.1389973640450612
798,6039,2.03,1350,3.0,HIGH SPRINGS,248900,2006,100,1350.0,1998,2022,0,0.0,96.0,420.0,15,23,0,0,2.0,1004,210561.0,2.4553432338867016,-82.572877,29.78077,01642-010-016,High_Springs_Main,True,0.85,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.52687011188339,275645.2830805002,276649.2830805002,27749.2830805002,65084.2830805002,27749.2830805002,65084.2830805002,1.1114876781056657
857,39592,0.2,1376,3.0,GAINESVILLE,210900,2001,100,1376.0,2001,2022,0,0.0,30.0,209.0,20,20,0,0,2.0,906,178359.0,0.2419057373287391,-82.359705,29.684755,06091-020-057,Springtree_B,True,0.8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.372513543996114,236218.74587125683,237124.74587125683,26224.745871256833,57859.74587125683,26224.745871256833,57859.74587125683,1.1243468272700656
919,85043,0.27,1356,3.0,GAINESVILLE,102000,1970,100,1356.0,1950,2022,0,0.0,18.0,0.0,30,71,0,0,2.0,863,85837.0,0.3265727453937978,-82.303484,29.648913,11692-000-000,EastGNV,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.8294618712037,137236.62040111827,138099.62040111827,36099.62040111827,51399.62040111827,36099.62040111827,51399.62040111827,1.353917847069787
988,20699,0.35,3147,4.0,SUWANNEE,407800,2002,100,3147.0,2002,2022,0,0.0,56.0,478.0,19,19,0,0,3.0,4310,342320.0,0.42333504032529334,-82.463621,29.669936,04321-501-038,Gainesvilleish_Region,True,0.81,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.057292100954967,468500.33745802613,472810.33745802613,65010.33745802613,126180.33745802613,65010.33745802613,126180.33745802613,1.1594172080873617
1027,22111,2.92,1092,3.0,SUWANNEE,181300,1965,100,1092.0,1959,2022,0,0.0,24.0,0.0,30,62,0,0,1.0,2485,151620.0,3.531823764999591,-82.509889,29.65247,04367-005-000,swNewberry_B,True,0.7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12.245251433976282,207991.2798437043,210476.2798437043,29176.27984370431,56371.27984370431,29176.27984370431,56371.27984370431,1.1609281844661021
1114,66826,0.46,4133,4.0,ST. JOHN'S,458600,1985,100,3198.0,1979,2022,0,935.0,138.0,825.0,30,42,0,0,3.0,7830,381980.0,0.5563831958561,-82.375871,29.590402,07246-007-000,HighSprings_A,True,0.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.10735650888564,492552.5866832663,500382.5866832663,41782.58668326627,110572.58668326627,41782.58668326627,110572.58668326627,1.0911089984371267
1118,67105,5.46,2869,4.0,ST. JOHN'S,405000,1975,100,2869.0,1975,2022,0,0.0,243.0,462.0,30,46,0,0,4.5,19331,324919.0,6.6040266290745775,-82.344369,29.618892,07264-006-000,HighSprings_A,False,0.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.13097606380353,504324.94114576944,523655.94114576944,118655.94114576944,179405.94114576944,118655.94114576944,179405.94114576944,1.29297763245869
