prop_id,CENTROID_X,CENTROID_Y,New_Market_Cluster_ID
82712,-82.291757,29.663682,0
82768,-82.292637,29.663561,0
82863,-82.294667,29.663529,0
83041,-82.292302,29.660192,0
100922,-82.066272,29.711913,1
101338,-82.067396,29.699721,1
101546,-82.111393,29.670862,-1
102431,-82.085667,29.587912,2
102588,-82.08059,29.597611,2
1058,-82.556669,29.881192,0
1311,-82.578563,29.852591,0
1367,-82.611772,29.842352,0
18402,-82.460615,29.684055,0
18479,-82.459871,29.682096,0
18481,-82.459849,29.68261,0
18559,-82.484277,29.687376,0
18664,-82.493477,29.679249,0
18832,-82.497813,29.673603,0
18851,-82.498391,29.675025,0
18951,-82.50001,29.678502,0
19165,-82.534899,29.676493,0
19416,-82.493321,29.667494,0
19419,-82.495067,29.667634,0
19484,-82.49275,29.663686,0
19602,-82.500341,29.662522,0
19753,-82.476186,29.663616,0
19810,-82.476813,29.6639,0
19814,-82.477474,29.664111,0
19846,-82.47972,29.664151,0
19943,-82.473832,29.661307,0
20239,-82.470489,29.667642,0
20271,-82.460755,29.671599,0
35290,-82.41157,29.691944,0
35327,-82.408804,29.695049,0
35391,-82.409244,29.692077,0
35448,-82.407127,29.691532,0
35567,-82.417409,29.693532,0
35934,-82.404233,29.700608,0
35991,-82.399888,29.70103,0
36051,-82.402499,29.696949,0
36162,-82.397633,29.694388,0
36737,-82.391619,29.695797,0
36834,-82.374909,29.702058,0
36871,-82.37749,29.701304,0
36874,-82.37729,29.700235,0
50126,-82.379369,29.649326,0
50193,-82.385323,29.648827,0
50541,-82.397278,29.656949,0
50617,-82.403357,29.658704,0
50652,-82.402295,29.656259,0
64135,-82.428647,29.591084,0
64157,-82.429463,29.593045,0
64178,-82.430292,29.590908,0
64232,-82.429563,29.588589,0
64265,-82.428935,29.587642,0
64333,-82.432882,29.591677,0
64343,-82.434242,29.589889,0
64358,-82.435114,29.587789,0
64779,-82.437019,29.583845,0
64994,-82.432168,29.583691,0
65042,-82.434537,29.58353,0
65064,-82.433352,29.582896,0
65132,-82.432826,29.58148,0
65211,-82.434596,29.581327,0
65241,-82.429366,29.583767,0
65250,-82.427916,29.58331,0
65299,-82.429266,29.585909,0
65333,-82.428094,29.584493,0
65361,-82.427169,29.584281,0
65737,-82.374042,29.591233,0
65781,-82.366845,29.585728,0
79681,-82.354098,29.665479,0
