prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,actual_year_built,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_F,High_Springs_Main,Lugano,Magnolia_Heights,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1974,built_pre_1994_with_effective_le_1994,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1792,0.18,1742,1.0,HIGH SPRINGS,312000,1455,2017,100,1742.0,2017,0.0,312.0,462.0,8,263745.0,0.23559841722139543,-82.607005,29.839012,00206-040-062,High_Springs_Main,True,False,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.578367322015573,290212.10234203556,291667.10234203556,-20332.897657964437,26467.102342035563,20332.897657964437,26467.102342035563,0.9348304562244729
1815,0.19,1368,1.0,HIGH SPRINGS,293700,339,2011,100,1368.0,2011,0.0,277.0,483.0,14,249306.0,0.24868721817813966,-82.606751,29.841343,00207-010-001,High_Springs_Main,True,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.368565964535383,235288.0917259719,235627.0917259719,-58072.9082740281,-14017.908274028101,58072.9082740281,14017.908274028101,0.8022713371670818
1817,0.12,1368,1.0,HIGH SPRINGS,324200,1282,2014,100,1367.5,2014,0.0,149.5,420.0,11,274288.0,0.15706561148093032,-82.606959,29.841602,00207-010-003,High_Springs_Main,True,False,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.34603753019213,230046.68146262443,231328.68146262443,-92871.31853737557,-44241.31853737557,92871.31853737557,44241.31853737557,0.7135369570099458
1819,0.12,1264,1.0,HIGH SPRINGS,237700,1000,2012,100,1264.0,2012,0.0,244.0,380.0,13,201045.0,0.15706561148093032,-82.607131,29.841833,00207-010-005,High_Springs_Main,True,False,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.285666791650062,216569.5001242597,217569.5001242597,-20130.499875740294,15524.500124259706,20130.499875740294,15524.500124259706,0.915311317308623
1830,0.18,1421,1.0,HIGH SPRINGS,295900,400,2017,100,1421.0,2017,0.0,120.0,460.0,8,251115.0,0.23559841722139543,-82.608209,29.841858,00207-010-016,High_Springs_Main,True,False,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.427872352533363,249664.26456085074,250064.26456085074,-45835.735439149255,-1450.7354391492554,45835.735439149255,1450.7354391492554,0.8450972104117971
1846,0.12,1264,1.0,HIGH SPRINGS,275100,368,2010,100,1264.0,2010,0.0,244.0,380.0,15,233466.99999999997,0.15706561148093032,-82.606201,29.840591,00207-010-032,High_Springs_Main,True,False,False,0.85,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.264858035670034,212109.5224681255,212477.5224681255,-62622.477531874494,-21357.477531874465,62622.477531874494,21357.477531874465,0.7723646763654144
1918,0.39,1736,1.0,HIGH SPRINGS,265400,1102,2003,100,1735.5,2003,0.0,619.5,528.0,22,224488.0,0.5104632373130236,-82.59068,29.83943,00236-001-006,High_Springs_Main,True,False,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.507791960447054,270436.327244865,271538.327244865,6138.32724486501,45948.32724486501,6138.32724486501,45948.32724486501,1.0231285879610588
1926,1.52,2112,1.15,HIGH SPRINGS,427200,2396,2005,100,2112.0,2005,0.0,355.0,995.0,20,360724.0,1.9894977454251173,-82.589132,29.839052,00236-006-000,High_Springs_Main,False,False,False,0.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.915238541200328,406459.0810177527,408855.0810177527,-18344.918982247298,45735.0810177527,18344.918982247298,45735.0810177527,0.9570577739179604
1927,1.52,1364,1.0,HIGH SPRINGS,318400,3844,2002,100,2727.0,2002,0.0,1709.0,0.0,23,266796.0,1.9894977454251173,-82.588034,29.839078,00236-006-001,High_Springs_Main,False,False,False,0.77,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.4084512146495,244862.28137653507,248706.28137653507,-69693.71862346493,-21933.718623464927,69693.71862346493,21933.718623464927,0.7811126927654995
1960,0.21,1593,1.0,HIGH SPRINGS,308600,1074,2013,100,1593.0,2013,0.0,170.0,484.0,12,261236.0,0.27486482009162805,-82.58749,29.830252,00236-100-008,High_Springs_Main,True,False,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.481082607470778,263308.7580266671,264382.7580266671,-44217.241973332886,2072.758026667114,44217.241973332886,2072.758026667114,0.8567166494707295
