Assessment_Val,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
351065.0,1,17.545602913596667,307.8481816016119,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9999500242802345,0.0
351128.0,1,11690.703879041888,136672557.18744504,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9677781113430707,0.0
351237.0,1,77718.11050278007,6040104700.122334,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8188199450248155,0.0
351372.0,1,65796.39198086498,4329165197.699634,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2303992012387006,0.0
351393.0,1,13359.248820224544,178469529.04067087,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0395204584559952,0.0
351396.0,1,27249.860854023427,742554916.5636383,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9280333850934954,0.0
351480.0,1,69747.1212632127,4864660924.505297,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8344192058335443,0.0
351534.0,1,56159.36822190543,3153874639.0835614,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1901292872845497,0.0
351560.0,1,53578.5822958175,2870664480.829688,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8677524564750134,0.0
351592.0,1,4434.620947938645,19665862.95189625,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9875441310087115,0.0
351609.0,1,22385.812215281243,501124588.5378349,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9401440568582128,0.0
351707.0,1,13508.81505262549,182488084.12604102,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0399434877355345,0.0
351714.99999999994,1,10497.794399593957,110203687.25614624,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9710176046735313,0.0
351724.0,1,9185.084461490798,84365776.5647197,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9745501433548125,0.0
351820.0,1,7346.9240355986985,53977292.78485787,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9795445417048745,0.0
351900.0,1,43876.29183672293,1925128985.341279,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1424445283720337,0.0
351938.0,1,21866.60564050713,478148442.23745817,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0662481087854934,0.0
352005.0,1,63487.55445467925,4030669570.6358633,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8471992968971378,0.0
352109.0,1,2805.631829540769,7871569.962932283,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0080320778016993,0.0
352155.0,1,31799.323705115647,1011196988.1027299,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9171794097843312,0.0
352183.0,1,99011.24229799706,9803226101.392681,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7805573896649953,0.0
352280.0,1,52175.18676964834,2722250114.447687,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1738565476775615,0.0
352332.0,1,46946.30179150548,2203955251.899111,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1537278990696351,0.0
352335.0,1,119195.7233243463,14207620458.814112,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.5112640179036538,0.0
352376.0,1,103263.05901511706,10663259357.15955,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.4145230617360156,0.0
352397.0,1,65887.58796224609,4341174247.482717,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2299665741995378,0.0
352430.0,1,6758.247690459713,45673911.84560405,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9811846636578048,0.0
352455.99999999994,1,26460.81649552111,700174809.6096421,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9301672152208798,0.0
352533.0,1,21154.543631405453,447514716.25303704,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0638380173027153,0.0
352542.0,1,27468.676173934364,754528170.7484694,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0844999394309938,0.0
352571.0,1,70042.22477801982,4905913251.854654,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8342640015233552,0.0
352606.0,1,155779.18061240658,24267153112.27279,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.7914530199547887,0.0
352608.99999999994,1,2853.9448217031895,8145001.04532645,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0081598386626558,0.0
352644.0,1,54913.24090913974,3015464027.1452184,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1844392600778664,0.0
352674.0,1,37971.88244934019,1441863856.7465098,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9027971773022221,0.0
352778.99999999994,1,8407.298902655195,70682674.83858724,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9767230957314882,0.0
352982.99999999994,1,43496.27004846546,1891925508.1290338,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8902937093201657,0.0
353018.0,1,29013.55964462296,841786643.252094,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0895467963735315,0.0
353020.0,1,6196.617492994061,38398068.35448,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0178667812077777,0.0
353023.0,1,37199.1126165099,1383773979.4557858,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1177843542003545,0.0
353046.0,1,4733.875802719442,22409580.11557264,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9867687477052798,0.0
353057.99999999994,1,19556.913781943847,382472876.6743852,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0586412296395245,0.0
353082.0,1,35299.98259543703,1246088771.2381573,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1110823793106492,0.0
353175.0,1,2367.7369312842493,5606178.175767354,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9933404997899258,0.0
353220.0,1,37088.35842045816,1375546330.3243694,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.117319349101366,0.0
353429.0,1,24136.090401369554,582550859.8630835,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0732967206332764,0.0
353512.0,1,29087.492179214547,846082201.2758675,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0896587387142858,0.0
353524.0,1,35115.53671090532,1233100918.494939,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1102845582311756,0.0
353535.0,1,5868.918660618772,34444206.24495924,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0168809066389473,0.0
353669.99999999994,1,39192.96473891934,1536088485.0261748,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1246290200694022,0.0
353717.0,1,20673.892412533343,427409827.48500377,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0620757251585031,0.0
353742.0,1,38749.092712072656,1501492186.0088022,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1230157626268489,0.0
353764.99999999994,1,38272.26808836142,1464766504.627408,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1213095080081925,0.0
353819.0,1,60439.38563156413,3652919335.5209208,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8541022035331396,0.0
353907.99999999994,1,86251.31224636105,7439288864.219272,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8040452403331514,0.0
354056.0,1,41265.46226705151,1702838376.113452,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8956154264167538,0.0
