prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C
1790,0.18,1418,1.0,HIGH SPRINGS,292500,368,2012,100,300.0,760.0,12,248256.99999999997,0.2567176464674073,-82.607005,29.838582,00206-040-060,HighSprings_B,True,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1792,0.18,1742,1.0,HIGH SPRINGS,312000,1455,2017,100,312.0,462.0,7,263745.0,0.2567176464674073,-82.607005,29.839012,00206-040-062,HighSprings_B,True,False,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1795,0.18,1776,1.0,HIGH SPRINGS,302400,520,2022,100,144.0,420.0,2,256520.0,0.2567176464674073,-82.60666,29.839527,00206-040-065,HighSprings_B,True,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1815,0.19,1368,1.0,HIGH SPRINGS,293700,339,2011,100,277.0,483.0,13,249306.0,0.2709797379378188,-82.606751,29.841343,00207-010-001,HighSprings_B,True,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1817,0.12,1368,1.0,HIGH SPRINGS,324200,1282,2014,100,149.5,420.0,10,274288.0,0.1711450976449382,-82.606959,29.841602,00207-010-003,HighSprings_B,True,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1819,0.12,1264,1.0,HIGH SPRINGS,237700,1000,2012,100,244.0,380.0,12,201045.0,0.1711450976449382,-82.607131,29.841833,00207-010-005,HighSprings_B,True,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1830,0.18,1421,1.0,HIGH SPRINGS,295900,400,2017,100,120.0,460.0,7,251115.0,0.2567176464674073,-82.608209,29.841858,00207-010-016,HighSprings_B,True,False,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1846,0.12,1264,1.0,HIGH SPRINGS,275100,368,2010,100,244.0,380.0,14,233466.99999999997,0.1711450976449382,-82.606201,29.840591,00207-010-032,HighSprings_B,True,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1866,0.36,1200,1.0,HIGH SPRINGS,228300,487,2008,100,96.0,0.0,16,193567.99999999997,0.5134352929348146,-82.603908,29.840368,00208-000-000,HighSprings_B,False,False,0.84,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1875,9.21,2739,1.0,HIGH SPRINGS,456000,21291,1994,100,20.0,0.0,30,366309.0,13.13538624424901,-82.601106,29.843803,00216-028-000,HighSprings_B,True,False,0.7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1918,0.39,1736,1.0,HIGH SPRINGS,265400,1102,2003,100,619.5,528.0,21,224488.0,0.5562215673460493,-82.59068,29.83943,00236-001-006,HighSprings_B,True,False,0.79,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1926,1.52,2112,1.15,HIGH SPRINGS,427200,2396,2005,100,355.0,995.0,19,360724.0,2.1678379035025506,-82.589132,29.839052,00236-006-000,HighSprings_B,False,False,0.81,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1927,1.52,1364,1.0,HIGH SPRINGS,318400,3844,2002,100,854.5,0.0,22,266796.0,2.1678379035025506,-82.588034,29.839078,00236-006-001,HighSprings_B,False,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1935,0.43,2163,1.0,HIGH SPRINGS,374600,16641,2010,100,360.0,0.0,14,301769.0,0.6132699332276953,-82.591063,29.838567,00236-020-000,HighSprings_B,True,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
