tax_area_description,Market_Cluster_ID,actual_year_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median
SUWANNEE,HighSprings_B,1997,4.0,1.0,0.7342127497749654,,0.7342127497749654,0.7342127497749654,0.7342127497749654,0.7342127497749654,0.7342127497749654,0.7342127497749654
SUWANNEE,HighSprings_B,1998,3.0,1.0,0.975858039396418,,0.975858039396418,0.975858039396418,0.975858039396418,0.975858039396418,0.975858039396418,0.975858039396418
SUWANNEE,HighSprings_B,1998,4.0,2.0,0.770183049014308,0.254594708789093,0.590157403975326,0.6801702264948171,0.770183049014308,0.860195871533799,0.95020869405329,0.770183049014308
SUWANNEE,HighSprings_B,1999,3.0,2.0,0.9372104684976583,0.17760586621658034,0.8116241561174037,0.8744173123075311,0.9372104684976583,1.0000036246877857,1.062796780877913,0.9372104684976583
SUWANNEE,HighSprings_B,1999,5.0,1.0,0.779184261786863,,0.779184261786863,0.779184261786863,0.779184261786863,0.779184261786863,0.779184261786863,0.779184261786863
SUWANNEE,HighSprings_B,2000,3.0,3.0,0.7518848257657568,0.07391532393242908,0.6718908617090229,0.7190003016352163,0.7661097415614098,0.7918818077941238,0.8176538740268378,0.7661097415614098
SUWANNEE,HighSprings_B,2002,3.0,1.0,0.8359006714204077,,0.8359006714204077,0.8359006714204077,0.8359006714204077,0.8359006714204077,0.8359006714204077,0.8359006714204077
SUWANNEE,HighSprings_B,2003,3.0,1.0,0.835121778502202,,0.835121778502202,0.835121778502202,0.835121778502202,0.835121778502202,0.835121778502202,0.835121778502202
SUWANNEE,HighSprings_B,2003,4.0,1.0,0.9064479833135176,,0.9064479833135176,0.9064479833135176,0.9064479833135176,0.9064479833135176,0.9064479833135176,0.9064479833135176
SUWANNEE,HighSprings_B,2004,3.0,2.0,0.8844004206522013,0.18058545015001443,0.7567072242675008,0.820553822459851,0.8844004206522013,0.9482470188445515,1.0120936170369017,0.8844004206522013
SUWANNEE,HighSprings_B,2004,4.0,1.0,0.7593505309437589,,0.7593505309437589,0.7593505309437589,0.7593505309437589,0.7593505309437589,0.7593505309437589,0.7593505309437589
SUWANNEE,HighSprings_B,2005,3.0,3.0,0.8821133240928779,0.06905933088009723,0.8382401014477546,0.8423112429562307,0.8463823844647069,0.9040499354154394,0.961717486366172,0.8463823844647069
