prop_id,sale_ratio,Market_Cluster_ID,Assessment_Val,landiness,imprv_det_quality_cd
42585,0.6722133973550183,Thornebrooke,264935.0,0.4310648211343815,1.0
42839,0.6850070819455663,Thornebrooke,287774.0,0.48494792377617907,1.0
43843,0.6459090436544368,Gainesvilleish_Region,304742.0,0.10776620528359537,1.0
43852,0.6638215832865345,Gainesvilleish_Region,312868.0,0.10776620528359537,1.15
44168,0.6663302455565463,Gainesvilleish_Region,1095705.0,1.347077566044942,1.4
44857,0.6884273750785433,Gainesvilleish_Region,787671.0,1.468314546988987,1.15
45565,0.6917472900113255,Thornebrooke,562906.0,2.6537428051085357,1.15
45577,0.6095719712059203,Thornebrooke,558975.0,1.926320919444267,1.0
45639,0.673471257680832,Thornebrooke,183540.0,0.3098278401903367,1.0
46264,0.6514543082610654,HighSpringsAGNV,396976.0,0.13470775660449422,1.15
