prop_id,legal_acreage,yr_blt,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,abs_subdv_cd
20868,0.41,2007,2761,LT,4,610500,SUWANNEE,243500
20875,0.4,2007,2527,LT,4,596300,SUWANNEE,243500
20877,0.42,2012,2539,LT,4,589700,SUWANNEE,243500
20893,0.35,2012,2574,LT,3,557400,SUWANNEE,243500
20894,0.38,2014,2398,LT,4,615200,SUWANNEE,243500
20946,1.02,1997,2988,LT,4,752500,SUWANNEE,85502
20948,1.02,1996,3033,LT,6,825800,SUWANNEE,85502
20950,19.4,1974,3204,AC,3,1275000,SUWANNEE,0
20966,1.04,1991,2582,UN,4,610300,SUWANNEE,105400
20976,1.01,1994,2140,UN,4,527800,SUWANNEE,105400
21089,0.18,1999,1800,LT,4,539200,SUWANNEE,199301
21096,0.35,2005,4751,LT,4,844500,SUWANNEE,199301
21098,0.27,2000,2580,LT,4,691900,SUWANNEE,199301
21103,0.37,2002,2858,LT,4,773100,SUWANNEE,199301
21127,0.3683,2003,1741,LT,5,636900,SUWANNEE,199302
21132,0.19,2001,2343,LT,4,595500,SUWANNEE,199302
21151,0.2,2002,1712,LT,4,476900,SUWANNEE,199303
21156,0.17,2003,2329,LT,4,685600,SUWANNEE,199303
21161,0.13,2004,2246,LT,4,548700,SUWANNEE,199304
21167,0.19,2005,2446,LT,4,617000,SUWANNEE,199304
21188,0.1,2003,1654,LT,3,391400,SUWANNEE,199304
21197,0.17,2004,2142,LT,4,499600,SUWANNEE,199305
21199,0.17,2004,2692,LT,4,767200,SUWANNEE,199305
21251,0.18,2005,2347,LT,4,510300,SUWANNEE,199307
21281,0.15,2006,2246,LT,4,654600,SUWANNEE,199308
21301,0.18,2006,2689,LT,4,720000,SUWANNEE,199309
21305,0.17,2006,2350,LT,4,629100,SUWANNEE,199309
21329,0.17,2007,2293,LT,4,567300,SUWANNEE,199310
21354,0.34,2015,3869,LT,5,1179100,SUWANNEE,199312
21708,0.94,1973,1446,LT,3,369700,SUWANNEE,213700
21745,0.16,2012,1880,LT,4,473700,SUWANNEE,242100
21747,0.17,2006,2285,LT,4,431000,SUWANNEE,242100
21774,0.2,2006,2322,LT,4,503800,SUWANNEE,242100
21944,1.02,1984,2224,UN,4,519300,SUWANNEE,13500
22042,3.39,1982,2471,AC,3,569300,SUWANNEE,121100
22044,2.53,1976,2608,AC,4,505000,SUWANNEE,121100
22228,1.05,1978,1827,LT,3,346500,SUWANNEE,116600
22374,5,1964,1758,AC,3,331700,SUWANNEE,0
22584,2.51,1986,3000,LT,4,613700,SUWANNEE,88900
22609,1.15,2002,2827,LT,4,782800,SUWANNEE,600
22667,1.01,2007,4425,AC,6,1122000,SUWANNEE,241100
22802,1.98,2003,4477,LT,5,1293800,SUWANNEE,229900
22841,1.3,1990,1949,UN,4,498600,SUWANNEE,151200
22962,9.7,1972,2142,AC,3,724300,SUWANNEE,0
23033,9,1999,2118,AC,3,482000,SUWANNEE,0
23101,5.02,2000,3476,AC,4,740800,NEWBERRY,199800
23112,5,2003,2478,AC,4,600300,NEWBERRY,199700
23258,1,1975,1541,UN,3,281800,SUWANNEE,0
23290,5.5,1977,1800,AC,3,617600,SUWANNEE,0
23446,2,1995,1723,AC,3,367700,SUWANNEE,0
23550,6.98,2002,1456,AC,3,150300,SUWANNEE,0
23554,5.15,1999,1512,AC,3,507400,SUWANNEE,0
23787,20,1999,2932,AC,3,557200,SUWANNEE,0
23865,5,2008,4660,AC,4,855000,SUWANNEE,237400
23930,1.01,1979,1547,LT,3,333800,SUWANNEE,188800
23993,1.4,1978,1392,LT,3,185400,SUWANNEE,114200
24079,1.01,1973,1040,LT,3,144600,SUWANNEE,204100
24120,7.29,1979,2744,AC,3,519700,SUWANNEE,204100
24185,5.02,2005,2511,AC,3,565000,SUWANNEE,204100
24232,1.01,1975,1325,LT,3,299900,SUWANNEE,42600
24619,2.03,1997,2800,LT,3,295000,SUWANNEE,176000
24777,3.18,1965,1040,UN,3,100700,SUWANNEE,0
24835,10,2014,2035,AC,3,510600,SUWANNEE,0
25039,0.25,1920,1092,UN,2,58800,ARCHER,0
25165,0.32,1965,1124,UN,2,198100,ARCHER,216400
25186,0.29,1963,520,UN,2,84400,ARCHER,253600
25253,0.29,2008,1738,UN,3,298900,ARCHER,0
25294,0.28,1910,1268,LT,3,167000,ARCHER,6400
25399,0.22,1997,816,UN,3,139700,ARCHER,0
25524,0.23,1962,1044,UN,2,85800,SUWANNEE,0
25612,0.39,1976,1040,UN,3,180100,ARCHER,0
26362,29.8,1980,1996,AC,3,510000,SUWANNEE,0
26609,3.54,1938,1740,AC,3,248400,SUWANNEE,0
26868,0.83,1929,2524,LT,3,223100,LACROSSE,247300
27063,2.03,1955,744,AC,2,28900,SUWANNEE,0
27181,2.85,1950,3218,AC,3,346900,SUWANNEE,0
27547,8.99,1994,1858,AC,3,389000,SUWANNEE,0
27904,8.08,1986,1398,AC,3,320400,SUWANNEE,170400
27979,0.5,1995,2644,UN,3,470500,ALACHUA,221500
28104,7,2003,2175,AC,3,331700,SUWANNEE,0
28328,0.44,1994,2978,LT,5,377600,ALACHUA,201200
28345,0.49,1998,2382,LT,4,397300,ALACHUA,201200
28407,0.17,1979,1395,LT,3,254000,ALACHUA,202603
28494,0.21,2004,1764,LT,4,355000,ALACHUA,239000
28504,0.21,2004,1889,LT,4,367600,ALACHUA,239000
28527,0.34,2016,1936,LT,4,378800,ALACHUA,239001
28556,0.09,2007,1420,LT,3,295000,ALACHUA,245200
28575,0.11,2007,1598,LT,3,333600,ALACHUA,245200
28605,0.11,2006,1420,LT,3,100,ALACHUA,245200
28605,0.11,2006,1420,LT,3,238100,ALACHUA,245200
28632,0.12,2010,1518,LT,3,288900,ALACHUA,245200
28637,0.13,2007,1578,LT,3,286900,ALACHUA,245200
28665,0.18,2003,1543,LT,3,314300,ALACHUA,201400
28673,0.18,2002,1134,LT,3,245200,ALACHUA,201400
28748,0.18,1999,1691,LT,3,324600,ALACHUA,201400
28768,0.14,2004,2726,LT,4,442000,ALACHUA,201700
28797,0.24,2003,2304,LT,4,450600,ALACHUA,201600
28811,0.21,2004,1897,LT,4,365300,ALACHUA,201600
28829,0.28,1996,3192,LT,4,495000,ALACHUA,201800
28870,0.22,2004,1816,LT,4,332000,ALACHUA,0
