prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,in_subdivision,percent_good,Market_Cluster_ID
38219,0.2,912,1.0,GAINESVILLE,189800,1995,100,912.0,1981,2022,0,0.0,80.0,0.0,26,40,0,0,1.0,966,160364.0,0.24202092424991012,-82.361867,29.698044,06076-200-061,True,0.74,Cluster_0_sub1
38329,0.2399,1279,1.0,GAINESVILLE,285300,2004,100,1279.0,1992,2022,0,0.0,202.0,508.0,17,29,0,0,2.0,1228,241276.99999999997,0.2903040986377672,-82.356974,29.691564,06076-221-070,True,0.83,Cluster_3_sub5
38399,0.2,1223,1.0,GAINESVILLE,244700,1992,100,1223.0,1984,2022,0,0.0,28.0,210.0,29,37,0,0,2.0,1043,206952.0,0.24202092424991012,-82.360495,29.701473,06076-400-025,True,0.71,Cluster_0_sub0
38498,0.18,1219,1.0,GAINESVILLE,270100,1998,100,1219.0,1989,2022,0,0.0,84.0,440.0,23,32,0,0,2.0,1260,228325.0,0.2178188318249191,-82.361728,29.701475,06076-500-068,True,0.77,Cluster_3_sub5
38608,0.26,1008,1.0,GAINESVILLE,231700,1979,100,1008.0,1965,2022,0,0.0,0.0,0.0,30,56,0,0,2.0,2069,194876.0,0.31462720152488316,-82.368443,29.689385,06081-002-003,True,0.7,Cluster_0_sub0
38631,0.23,1182,1.0,GAINESVILLE,225900,1985,100,1182.0,1969,2022,0,0.0,0.0,0.0,30,52,0,0,2.0,363,191652.0,0.27832406288739664,-82.369415,29.689855,06081-003-014,True,0.7,Cluster_0_sub0
52134,1.9,2134,1.0,ST. JOHN'S,325500,1990,100,2134.0,1967,2022,0,0.0,138.0,462.0,30,54,0,0,2.0,3339,273336.0,2.2991987803741463,-82.438215,29.657433,06656-008-000,False,0.7,Cluster_3_sub8
52397,1.91,1946,1.15,ST. JOHN'S,524900,2000,100,1946.0,1976,2022,0,0.0,204.0,462.0,21,45,0,0,2.0,12817,433348.0,2.3112998265866413,-82.431155,29.654898,06656-600-010,True,0.79,Cluster_3_sub8
52653,0.29,1643,1.0,ST. JOHN'S,269800,1998,100,1305.0,1981,2022,0,0.0,338.0,0.0,23,40,0,0,2.0,4510,224819.99999999997,0.3509303401623697,-82.423827,29.646369,06656-700-062,True,0.77,Cluster_0_sub9
52712,0.86,1561,1.0,ST. JOHN'S,332000,1995,100,1561.0,1985,2022,0,0.0,52.0,513.0,26,36,0,0,2.0,4054,278146.0,1.0406899742746134,-82.452415,29.658661,06657-005-009,True,0.74,Cluster_3_sub7
52802,0.32,1823,1.0,ST. JOHN'S,303400,1995,100,1031.0,1990,2022,0,792.0,6.0,484.0,26,31,0,0,2.5,2634,255256.0,0.3872334787998562,-82.448618,29.657812,06657-015-026,True,0.74,Cluster_3_sub9
52814,0.32,1806,1.0,ST. JOHN'S,372800,1995,100,1728.0,1980,2022,0,0.0,182.0,510.0,26,41,0,0,2.0,9811,307069.0,0.3872334787998562,-82.447579,29.657803,06657-015-038,True,0.74,Cluster_3_sub2
52916,0.25,1575,1.0,ST. JOHN'S,289200,2000,100,1575.0,2000,2022,0,0.0,34.0,506.0,21,21,0,0,2.0,582,245237.99999999997,0.30252615531238763,-82.444326,29.657095,06657-050-037,True,0.79,Cluster_3_sub2
53133,1.73,2150,1.0,ST. JOHN'S,504400,2009,100,1390.0,2009,2022,0,760.0,490.0,0.0,12,12,0,0,2.5,973,427767.0,2.093480994761723,-82.446948,29.639439,06664-075-019,True,0.88,Cluster_0_sub2
53145,0.92,2306,1.15,ST. JOHN'S,535900,2005,100,2305.5,2000,2022,0,0.0,506.0,601.0,16,21,0,0,2.0,3570,451945.0,1.1132962515495866,-82.454267,29.641799,06665-010-006,True,0.84,Cluster_3_sub0
53231,1.1,1984,1.0,ST. JOHN'S,457900,2000,100,1984.0,1992,2022,0,0.0,174.0,504.0,21,29,0,0,2.0,9955,379260.0,1.3311150833745058,-82.444163,29.644804,06665-050-030,True,0.79,Cluster_3_sub7
53323,0.71,2957,1.15,ST. JOHN'S,595400,2001,100,2705.0,2001,2022,0,252.0,484.0,484.0,20,20,0,0,2.5,7115,498975.0,0.8591742810871809,-82.455584,29.632662,06666-040-083,True,0.8,Cluster_1_sub3
53449,0.54,2186,1.15,ST. JOHN'S,531100,1998,100,2186.0,1991,2022,0,0.0,346.0,462.0,23,30,0,0,2.0,6914,444521.0,0.6534564954747574,-82.442772,29.631561,06667-150-024,True,0.77,Cluster_3_sub0
66328,1.0,2670,1.0,ST. JOHN'S,407600,2000,100,1774.0,1981,2022,0,896.0,18.0,0.0,21,40,0,0,2.0,2874,343586.0,1.2101046212495505,-82.390796,29.578477,07234-014-000,True,0.79,Cluster_0_sub3
66826,0.46,4133,1.15,ST. JOHN'S,458600,1985,100,3198.0,1979,2022,0,935.0,138.0,825.0,30,42,0,0,3.0,7830,381980.0,0.5566481257747933,-82.375871,29.590402,07246-007-000,True,0.7,Cluster_4
66947,0.61,2710,1.15,ST. JOHN'S,509600,1985,100,2710.0,1977,2022,0,0.0,872.0,675.0,30,44,0,0,2.5,2820,430339.99999999994,0.7381638189622258,-82.37622,29.594823,07248-005-000,True,0.7,Cluster_1_sub3
67105,5.46,2869,1.15,ST. JOHN'S,405000,1975,100,2869.0,1975,2022,0,0.0,243.0,462.0,30,46,0,0,4.5,19331,324919.0,6.607171232022546,-82.344369,29.618892,07264-006-000,False,0.7,Cluster_2
67118,0.32,1912,1.0,ST. JOHN'S,305700,1985,100,1912.0,1958,2022,0,0.0,24.0,0.0,30,63,0,0,2.0,1236,258609.00000000003,0.3872334787998562,-82.347914,29.615294,07268-006-000,False,0.7,Cluster_0_sub9
67147,0.51,3168,1.0,ST. JOHN'S,349500,1977,100,3168.0,1957,2022,0,0.0,0.0,0.0,30,64,0,0,3.0,609,296466.0,0.6171533568372709,-82.346589,29.615198,07274-001-000,False,0.7,Cluster_1_sub2
67188,0.25,2086,1.15,GAINESVILLE,454000,2008,100,2086.0,2008,2022,0,0.0,560.0,504.0,13,13,0,0,2.0,417,385483.0,0.30252615531238763,-82.35148,29.616761,07280-010-026,True,0.87,Cluster_3_sub0
67216,0.2,2816,1.15,GAINESVILLE,595100,2008,100,2023.5,2008,2022,0,792.0,576.5,528.0,13,13,0,0,3.0,1060,504775.0,0.24202092424991012,-82.350482,29.618257,07280-020-053,True,0.87,Cluster_1_sub9
67226,0.21,3406,1.15,GAINESVILLE,582500,2008,100,3406.0,2008,2022,0,0.0,247.0,462.0,13,13,0,0,3.0,1231,493894.00000000006,0.25412197046240564,-82.352051,29.619808,07280-030-062,True,0.87,Cluster_1_sub9
81753,0.25,1730,1.0,GAINESVILLE,242900,1987,100,1240.0,1949,2022,0,0.0,91.0,0.0,30,72,0,0,2.0,145,206320.0,0.30252615531238763,-82.315425,29.662437,10600-026-000,True,0.7,Cluster_0_sub9
81807,0.23,1161,1.0,GAINESVILLE,319300,2010,100,1161.0,1953,2022,0,0.0,18.0,0.0,11,68,0,0,3.0,0,271405.0,0.27832406288739664,-82.315434,29.660302,10600-080-000,True,0.89,Cluster_0_sub5
81913,0.21,1200,1.0,GAINESVILLE,250500,1992,100,1200.0,1956,2022,0,0.0,100.0,0.0,29,65,0,0,2.0,300,212624.99999999997,0.25412197046240564,-82.311049,29.671667,10605-024-000,True,0.71,Cluster_0_sub0
81943,0.24,1348,1.0,GAINESVILLE,242900,1987,100,1088.0,1957,2022,0,0.0,320.0,0.0,30,64,0,0,1.0,1183,205282.0,0.2904251090998921,-82.313164,29.671227,10607-009-000,True,0.7,Cluster_0_sub6
82067,0.25,1197,1.0,GAINESVILLE,190600,1982,100,977.0,1959,2022,0,0.0,268.0,0.0,30,62,0,0,1.0,260,161750.0,0.30252615531238763,-82.308347,29.668167,10620-008-000,True,0.7,Cluster_0_sub6
82136,0.23,1173,1.0,GAINESVILLE,187300,1987,100,1173.0,1960,2022,0,0.0,24.0,0.0,30,61,0,0,1.0,260,158945.0,0.27832406288739664,-82.307205,29.673524,10624-005-000,True,0.7,Cluster_0_sub6
82601,0.21,1000,1.0,GAINESVILLE,171400,1987,100,1000.0,1963,2022,0,0.0,50.0,0.0,30,58,0,0,2.0,785,144905.0,0.25412197046240564,-82.305208,29.667046,10804-025-000,True,0.7,Cluster_0_sub0
82712,0.2,984,1.0,GAINESVILLE,117300,1982,100,984.0,1970,2022,0,0.0,0.0,0.0,30,51,0,0,1.5,236,99469.0,0.24202092424991012,-82.291757,29.663682,10823-020-000,True,0.7,Cluster_0_sub0
82768,0.16,1549,1.0,GAINESVILLE,185100,1990,100,1549.0,1969,2022,0,0.0,245.0,0.0,30,52,0,0,3.0,3111,154224.0,0.1936167393999281,-82.292637,29.663561,10823-076-000,True,0.7,Cluster_0_sub5
82863,0.2,1380,1.0,GAINESVILLE,224900,2003,100,1380.0,2000,2022,0,0.0,108.0,460.0,18,21,0,0,2.0,2363,188802.0,0.24202092424991012,-82.294667,29.663529,10848-020-031,True,0.8200000000000001,Cluster_3_sub5
83041,0.19,768,1.0,GAINESVILLE,99300,1995,100,768.0,1962,2022,0,0.0,40.0,0.0,26,59,0,0,1.0,0,84405.0,0.2299198780374146,-82.292302,29.660192,10857-092-000,True,0.74,Cluster_0_sub1
100922,0.52,1167,1.0,SUWANNEE,262100,1990,100,1167.0,1975,2022,0,0.0,130.0,315.0,30,46,1,0,2.0,1662,221123.0,0.6292544030497663,-82.066272,29.711913,18772-022-000,True,0.7,Cluster_101
101338,2.0,872,0.9,ST. JOHN'S,139300,1970,100,872.0,1950,2022,0,0.0,0.0,0.0,30,71,0,0,1.0,8421,109984.0,2.420209242499101,-82.067396,29.699721,18881-000-000,False,0.7,Cluster_104
101546,7.08,1868,1.0,ST. JOHN'S,370500,2006,100,1868.0,2006,2022,0,0.0,156.0,0.0,15,15,0,0,2.0,8910,306015.0,8.567540718446818,-82.111393,29.670862,19019-001-001,False,0.85,Cluster_0_sub4
102431,0.41,864,1.0,HAWTHORNE,81500,1982,100,864.0,1920,2022,0,0.0,216.0,0.0,30,101,0,0,1.0,948,68327.0,0.4961428947123157,-82.085667,29.587912,19480-000-000,True,0.7,Cluster_200
102588,0.5,1418,1.0,HAWTHORNE,239800,2005,100,1223.0,1967,2022,0,0.0,351.0,0.0,16,54,0,0,1.0,3314,200515.99999999997,0.6050523106247753,-82.08059,29.597611,19558-025-000,True,0.84,Cluster_200
1058,7.93,2412,1.0,SUWANNEE,492600,2000,100,1950.0,2000,2022,0,0.0,558.0,0.0,21,21,0,0,2.0,25984,392726.0,9.596129646508937,-82.556669,29.881192,00016-003-001,False,0.79,Cluster_2
1311,1.28,1636,1.0,SUWANNEE,252800,1998,100,1636.0,1988,2022,0,0.0,158.0,0.0,23,33,0,0,2.0,4568,210312.0,1.5489339151994248,-82.578563,29.852591,00074-010-005,True,0.77,Cluster_0_sub2
1367,3.5,2297,1.15,HIGH SPRINGS,573800,2011,100,1805.0,2006,2022,0,492.0,636.0,576.0,10,15,0,0,3.0,12019,475711.0,4.235366174373427,-82.611772,29.842352,00090-010-013,True,0.9,Cluster_2
18402,1.0,1352,1.0,SUWANNEE,299400,2007,100,1352.0,1998,2022,0,0.0,108.0,484.0,14,23,0,0,2.0,987,253502.99999999997,1.2101046212495505,-82.460615,29.684055,04211-331-130,True,0.86,Cluster_3_sub7
18479,0.3,2075,1.15,SUWANNEE,382800,2004,100,1926.0,2004,2022,0,0.0,373.0,440.0,17,17,0,0,2.0,1260,324120.0,0.36303138637486515,-82.459871,29.682096,04211-400-181,True,0.83,Cluster_3_sub0
18481,0.2,1828,1.15,SUWANNEE,365700,2007,100,1828.0,2005,2022,0,0.0,330.5,484.0,14,16,0,0,2.0,1125,309720.0,0.24202092424991012,-82.459849,29.68261,04211-400-183,True,0.86,Cluster_3_sub6
18559,1.44,2879,1.15,SUWANNEE,582800,2002,100,2407.0,1987,2022,0,280.0,272.0,508.0,19,34,0,0,2.5,7755,487625.0,1.7425506545993528,-82.484277,29.687376,04215-002-020,False,0.81,Cluster_1_sub7
18664,0.5,4521,1.4,SUWANNEE,1014100,2005,100,3937.5,2005,2022,0,358.0,953.0,628.0,16,16,0,0,4.5,12268,849717.0,0.6050523106247753,-82.493477,29.679249,04222-100-066,True,0.84,Cluster_4
18832,0.18,1556,1.0,SUWANNEE,394400,2006,100,1556.0,2006,2022,0,0.0,282.0,400.0,15,15,0,0,2.0,936,334304.0,0.2178188318249191,-82.497813,29.673603,04227-010-040,True,0.85,Cluster_3_sub5
18851,0.2,1521,1.0,SUWANNEE,336000,2005,100,1521.0,2005,2022,0,0.0,292.0,420.0,16,16,0,0,2.0,760,284840.0,0.24202092424991012,-82.498391,29.675025,04227-010-059,True,0.84,Cluster_3_sub5
