actual_year_built,count,mean,std,min,25%,50%,75%,max,median
1931,3.0,0.8622230938740184,0.11784044401888251,0.7749762127677817,0.7951970048926629,0.815417797017544,0.9058465344271366,0.9962752718367291,0.815417797017544
1932,3.0,0.7887765307166966,0.2710821712991378,0.5906857010849799,0.6343067402048065,0.6779277793246331,0.8878219455325549,1.0977161117404768,0.6779277793246331
1933,2.0,0.8082474215158475,0.10553917148788974,0.7336199576759507,0.770933689595899,0.8082474215158475,0.8455611534357959,0.8828748853557442,0.8082474215158475
1934,3.0,0.9485136506678602,0.10854040750764204,0.85200848287533,0.8897604742802971,0.9275124656852644,0.9967662345641253,1.0660200034429863,0.9275124656852644
1935,18.0,0.8489518314860505,0.17910552943906097,0.564944639246844,0.7244292089364508,0.822883008223189,0.9458216061906025,1.1729253600536669,0.822883008223189
1936,4.0,0.8352472999270639,0.26604927864976236,0.5184246538950943,0.6996614473956582,0.8349466386266757,0.9705324911580815,1.15267126855981,0.8349466386266757
1937,9.0,0.9011241077452369,0.24150852461078925,0.7379443234054115,0.787363556655177,0.8372879952157924,0.9033517778402916,1.5242527584781085,0.8372879952157924
1938,8.0,0.934224653761166,0.1983873938329433,0.6677822654166569,0.8414745228467304,0.8969544392115623,1.0031138516325684,1.2347424336201345,0.8969544392115623
1939,8.0,0.7675784927380903,0.07062554721205534,0.6805119359892323,0.7155034606400684,0.7593230010882,0.8053641401316656,0.9007138510154389,0.7593230010882
1940,31.0,0.8936230312232766,0.17351082662544434,0.638167883731898,0.7814530268399731,0.8755248990512698,0.9617922746945683,1.4857583307937563,0.8755248990512698
1941,13.0,0.8302798911267131,0.1670369122631296,0.6274892945383812,0.7009599202631606,0.8156384204947841,0.8902546945731431,1.1653612581064416,0.8156384204947841
1942,4.0,0.7427215256433382,0.07509752647492764,0.6672150850534058,0.6852836433522476,0.7406847736712054,0.798122655962296,0.8223014701775356,0.7406847736712054
1943,1.0,0.811907337959304,,0.811907337959304,0.811907337959304,0.811907337959304,0.811907337959304,0.811907337959304,0.811907337959304
1944,4.0,0.8682191437289194,0.05722283334547247,0.7842447057415973,0.859497930477297,0.8880803167101103,0.8968015299617328,0.9124712357538596,0.8880803167101103
1945,7.0,0.8747234075662672,0.12937828142054755,0.6630252051188515,0.8020645921799419,0.8859253334415202,0.9716752606091876,1.0266336088252392,0.8859253334415202
1946,23.0,0.7834586663865842,0.10713514333215052,0.5957226459951701,0.6879348502995912,0.7908292976334305,0.8692847599363609,0.9518484465272296,0.7908292976334305
1947,19.0,0.905288368276823,0.15407389916414227,0.6317861034069561,0.8209384786721486,0.9342141188879612,0.9753568559013872,1.1929469227817395,0.9342141188879612
1948,48.0,0.8478007565144084,0.1304401896881841,0.5715144275581645,0.7780011290655804,0.8404541185235885,0.9009226642728837,1.2506676255968654,0.8404541185235885
1949,46.0,0.8336239582783448,0.14225175191452183,0.6480352395770059,0.7462016625128292,0.7859132761611232,0.8956473372921134,1.2303902016341313,0.7859132761611232
1950,71.0,0.901534069047124,0.1378269560432581,0.6414378705508146,0.8026857285797294,0.8730295372967067,0.98636671075214,1.4067417982742856,0.8730295372967067
1951,25.0,0.8622197740225092,0.09164307762331816,0.6895389271397177,0.7897020563050582,0.8711394745913216,0.919840434725552,1.000098416864278,0.8711394745913216
1952,20.0,0.8618869128558041,0.10918192962807124,0.7203956702534283,0.7903226037954252,0.8224989999889825,0.8838447701904801,1.1258112290943254,0.8224989999889825
1953,19.0,0.8891497732512575,0.13696341796801448,0.7088675608016677,0.7787575918815075,0.8534359330087551,0.98368839766513,1.1430139000771475,0.8534359330087551
1954,26.0,0.9067698760619292,0.15678807612367196,0.5591244218949382,0.7908199081004703,0.9070621677600076,1.0081168120421602,1.2144252292324509,0.9070621677600076
1955,46.0,0.8864463296208163,0.13498060313003238,0.619711631385304,0.790852756428157,0.8742975769683796,0.9572319861664906,1.279842493884371,0.8742975769683796
1956,87.0,0.8654565292270667,0.12291631574097095,0.5971385347081243,0.7840416546401232,0.8403197519330358,0.9259897159322406,1.2673592463869805,0.8403197519330358
1957,58.0,0.8898767349707651,0.13922325085293205,0.6503391128564054,0.7977174444732464,0.8748617550208271,0.9479116141260333,1.325902393332938,0.8748617550208271
1958,82.0,0.8524424106081786,0.12870602899245814,0.5898184702970134,0.7788642667080854,0.8213690187430807,0.9179810543916201,1.1910765073422414,0.8213690187430807
1959,97.0,0.8574583881327953,0.1119612723947008,0.6368593152022772,0.784256063602547,0.8457178538072329,0.928244251958671,1.1564942073111877,0.8457178538072329
1960,85.0,0.8945665511780622,0.1304664753145074,0.5662031072253964,0.7921421231398873,0.8847656935365817,0.9740607867553835,1.308566947926782,0.8847656935365817
1961,62.0,0.871527614707066,0.12497142502807658,0.6052895033533574,0.7807313860153591,0.8574616766934386,0.979826211594476,1.135517682026497,0.8574616766934386
1962,73.0,0.8855791628011092,0.13861178636278332,0.6188056660397627,0.7881037201097997,0.8673848731262769,0.9841893347653506,1.249515123880781,0.8673848731262769
1963,83.0,0.8547616925122854,0.11963869042531118,0.5351014771156475,0.7787054479250852,0.842691436928938,0.9138200638705631,1.1862028587722206,0.842691436928938
1964,69.0,0.8800094714666016,0.126345023119583,0.5741274477028124,0.7957771264165913,0.8673039319674607,0.9569793041131784,1.2571266597589736,0.8673039319674607
1965,77.0,0.8350567636514145,0.12482584831491073,0.5654723963472437,0.7524048649877556,0.8298103922865442,0.882039630707607,1.278467050767501,0.8298103922865442
1966,67.0,0.8375961057308785,0.11006348731501193,0.5558630762957673,0.7691011246141923,0.8462948112875986,0.9107259607572187,1.1474024664201377,0.8462948112875986
1967,64.0,0.8330946347777631,0.1098617881371671,0.6580527192098742,0.7596374909545717,0.82224074320513,0.8935113866789267,1.2005749447946457,0.82224074320513
1968,60.0,0.8811501771285741,0.17027375213741855,0.6814738328725375,0.7918426703287995,0.831903703554314,0.9108263828012212,1.6711612220074117,0.831903703554314
1969,58.0,0.8638746043556675,0.14055090010320936,0.3884028673692142,0.7856312034540232,0.8733240687541501,0.9368100049034754,1.2211136565724718,0.8733240687541501
1970,69.0,0.8720936597801776,0.10011080211037195,0.6304104279851641,0.8090346133133053,0.8773226629463585,0.9373771016207444,1.113482028793739,0.8773226629463585
1971,76.0,0.8447917761605421,0.11180542676392426,0.6454275042116148,0.7630632558548281,0.8319638975075893,0.8923076223816316,1.2587313376207108,0.8319638975075893
1972,74.0,0.8547532831781294,0.11565116438229604,0.5589764165914302,0.7609286828866982,0.8484174584832963,0.9276003824713133,1.1722559173552036,0.8484174584832963
1973,106.0,0.8778273798077897,0.11777876970251482,0.6463278973678245,0.803063966772531,0.8608081106245318,0.9332747901588113,1.2559775136454576,0.8608081106245318
1974,91.0,0.8800419099811192,0.10572883118103753,0.5715006593526857,0.8183860079630567,0.860224686923832,0.936281906803125,1.2227508438060133,0.860224686923832
1975,96.0,0.8711520195919383,0.11034630268546787,0.6564092974622588,0.8017102112559301,0.8632255219314074,0.930478485221731,1.2819200001428297,0.8632255219314074
1976,107.0,0.8653052355575468,0.10126929948706073,0.5719212749270091,0.8020496240964976,0.8495214786332115,0.9190709204630403,1.1620991854707494,0.8495214786332115
1977,109.0,0.861296433181194,0.10947747095889274,0.530633052272683,0.7980156271712221,0.8560184187786708,0.9118255790208462,1.201033084743492,0.8560184187786708
1978,136.0,0.8768890610492169,0.10193528858236778,0.6485118016870706,0.8120919633995778,0.8655130849533192,0.9176972043806985,1.1542732940191751,0.8655130849533192
1979,150.0,0.8577145989032803,0.11044795134414792,0.394552560576103,0.7961991380786705,0.8445037362796777,0.906157232272147,1.188290555819305,0.8445037362796777
1980,129.0,0.8585428281700308,0.08853160206462511,0.578255769375507,0.7992538009355658,0.8605102669949967,0.9136763540364649,1.121847899113442,0.8605102669949967
1981,119.0,0.8602541294335979,0.09316242760775709,0.6443939574899996,0.8026435720052997,0.8493171008921109,0.9122650737091234,1.2453208047493092,0.8493171008921109
1982,65.0,0.8397552944856456,0.09004805326661652,0.6098069419532786,0.7730730295846938,0.8374639792615037,0.8984475465385409,1.0575527953970465,0.8374639792615037
1983,101.0,0.836007228903077,0.09465756434945669,0.6535081681546986,0.7618651534052537,0.83219411168043,0.8876772869762346,1.1236420775499765,0.83219411168043
1984,99.0,0.8441223803552658,0.09921896578851709,0.6650479916781742,0.7751577469640407,0.8211344658562014,0.896702876066956,1.1137791936500945,0.8211344658562014
1985,96.0,0.8390858135388299,0.08489676298209237,0.6651879396449406,0.7841183388352895,0.8284616099563362,0.8745113325573174,1.0737249080493734,0.8284616099563362
1986,90.0,0.8556547866527253,0.1046551519674451,0.579664059176794,0.8003027010724694,0.8489321077035841,0.8968506063767626,1.214647535919215,0.8489321077035841
