prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1641,1.0,2046,1.0,HIGH SPRINGS,340300,10996,2002,100,1727.5,0.0,510.5,480.0,22,278259.0,1.2948396183007158,-82.616605,29.839257,00181-100-045,HighSprings_B,True,False,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.697956880594026,327078.9573746699,338074.9573746699,-2225.0426253300975,48819.9573746699,2225.0426253300975,48819.9573746699,0.9934615262258887
1699,0.34,960,0.9,HIGH SPRINGS,25100,145,1994,100,1920.0,0.0,144.0,0.0,30,21190.0,0.4402454702222434,-82.608052,29.837502,00206-002-001,HighSprings_D,False,False,True,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.455980105127066,94464.56835447124,94609.56835447124,69509.56835447124,73274.56835447124,69509.56835447124,73274.56835447124,3.769305512130328
1714,0.24,1360,1.0,HIGH SPRINGS,252200,2417,1994,100,1360.0,0.0,88.0,546.0,30,211953.0,0.3107615083921718,-82.604115,29.83783,00206-010-010,HighSprings_B,True,False,False,0.7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.217957543409629,202391.1607806892,204808.1607806892,-47391.83921931079,-9561.839219310787,47391.83921931079,9561.839219310787,0.812086283825096
1717,0.36,1856,1.0,HIGH SPRINGS,235800,640,2002,100,1856.0,0.0,301.0,400.0,22,199789.99999999997,0.46614226258825764,-82.603691,29.837177,00206-010-013,HighSprings_B,True,False,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.563543925896186,285941.90102494723,286581.90102494723,50781.901024947234,86151.90102494726,50781.901024947234,86151.90102494726,1.2153600552372656
1718,0.29,1329,1.0,HIGH SPRINGS,275300,720,2013,100,1329.0,0.0,174.0,0.0,11,233285.0,0.37550348930720756,-82.603356,29.837249,00206-010-014,HighSprings_B,True,False,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.343875023404026,229549.7414640999,230269.7414640999,-45030.258535900095,-3735.258535900095,45030.258535900095,3735.258535900095,0.8364320430951686
1719,0.3,1165,1.0,HIGH SPRINGS,223300,2249,1998,100,1165.0,0.0,40.0,216.0,26,187556.0,0.38845188549021475,-82.60322,29.837536,00206-010-015,HighSprings_B,True,False,False,0.74,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.165093776167806,191969.88239272364,194218.88239272364,-29081.117607276363,4413.882392723637,29081.117607276363,4413.882392723637,0.8697666027439482
1742,0.17,1209,1.0,HIGH SPRINGS,274900,607,2022,100,1209.0,0.0,80.0,420.0,2,233058.00000000003,0.2201227351111217,-82.605048,29.838603,00206-040-012,HighSprings_B,True,False,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.474485878898479,261577.49822300236,262184.49822300236,-12715.50177699764,28519.49822300233,12715.50177699764,28519.49822300233,0.9537449917169966
1745,0.17,1397,1.0,HIGH SPRINGS,280600,629,2022,100,1397.0,0.0,84.0,400.0,2,237881.0,0.2201227351111217,-82.605046,29.839219,00206-040-015,HighSprings_B,True,False,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.567285748739177,287013.84923139703,287642.84923139703,7042.849231397035,49132.849231397035,7042.849231397035,49132.849231397035,1.0250992488645654
1750,0.18,1384,1.0,HIGH SPRINGS,264400,624,2022,100,1384.0,0.0,84.0,420.0,2,224116.00000000003,0.23307113129412882,-82.606579,29.839972,00206-040-020,HighSprings_B,True,False,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.565806287089345,286589.5372025701,287213.5372025701,22813.53720257012,62473.53720257009,22813.53720257012,62473.53720257009,1.0862841800399778
1778,0.17,1397,1.0,HIGH SPRINGS,259300,599,2022,100,1397.0,0.0,84.0,400.0,2,219806.0,0.2201227351111217,-82.605904,29.83827,00206-040-048,HighSprings_B,True,False,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.567285748739177,287013.84923139703,287612.84923139703,28312.849231397035,67207.84923139703,28312.849231397035,67207.84923139703,1.1091895458210452
1786,0.17,1209,1.0,HIGH SPRINGS,238500,0,2022,100,1209.0,0.0,16.0,420.0,2,202725.0,0.2201227351111217,-82.606344,29.838528,00206-040-056,HighSprings_B,True,False,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.461375754914163,258170.5662373237,258170.5662373237,19670.566237323714,55445.566237323714,19670.566237323714,55445.566237323714,1.0824761687099527
1788,0.17,1202,1.0,HIGH SPRINGS,244400,0,2023,100,1202.0,0.0,76.0,380.0,1,207740.0,0.2201227351111217,-82.606905,29.838234,00206-040-058,HighSprings_B,True,False,False,0.99,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.47906045174403,262776.8447007639,262776.8447007639,18376.844700763875,55036.844700763875,18376.844700763875,55036.844700763875,1.075191672261718
1789,0.17,1209,1.0,HIGH SPRINGS,255000,942,2023,100,1209.0,0.0,16.0,420.0,1,215808.0,0.2201227351111217,-82.607038,29.838357,00206-040-059,HighSprings_B,True,False,False,0.99,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.472245722043699,260992.17944501375,261934.17944501375,6934.179445013753,45184.17944501375,6934.179445013753,45184.17944501375,1.0271928605686813
1790,0.18,1418,1.0,HIGH SPRINGS,292500,368,2012,100,2836.0,0.0,300.0,760.0,12,248256.99999999997,0.23307113129412882,-82.607005,29.838582,00206-040-060,HighSprings_B,True,False,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.489425320468134,265514.6562179768,265882.6562179768,-26617.343782023177,17257.65621797685,26617.343782023177,17257.65621797685,0.9090005340785532
1792,0.18,1742,1.0,HIGH SPRINGS,312000,1455,2017,100,1742.0,0.0,312.0,462.0,7,263745.0,0.23307113129412882,-82.607005,29.839012,00206-040-062,HighSprings_B,True,False,False,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.67140832532311,318509.7371170461,319964.7371170461,7964.737117046083,54764.73711704608,7964.737117046083,54764.73711704608,1.0255280035802758
1795,0.18,1776,1.0,HIGH SPRINGS,302400,520,2022,100,1776.0,0.0,144.0,420.0,2,256520.0,0.23307113129412882,-82.60666,29.839527,00206-040-065,HighSprings_B,True,False,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.731495054725809,338234.61291532277,338754.61291532277,36354.61291532277,81714.61291532277,36354.61291532277,81714.61291532277,1.1202202808046389
1815,0.19,1368,1.0,HIGH SPRINGS,293700,339,2011,100,1368.0,0.0,277.0,483.0,13,249306.0,0.24601952747713599,-82.606751,29.841343,00207-010-001,HighSprings_B,True,False,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.44706320610921,254501.8047006367,254840.8047006367,-38859.19529936329,5195.804700636712,38859.19529936329,5195.804700636712,0.8676908569991035
1817,0.12,1368,1.0,HIGH SPRINGS,324200,1282,2014,100,1367.5,0.0,149.5,420.0,10,274288.0,0.1553807541960859,-82.606959,29.841602,00207-010-003,HighSprings_B,True,False,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.446855378927085,254448.9178035778,255730.9178035778,-68469.08219642221,-19839.082196422212,68469.08219642221,19839.082196422212,0.7888060388759339
1819,0.12,1264,1.0,HIGH SPRINGS,237700,1000,2012,100,1264.0,0.0,244.0,380.0,12,201045.0,0.1553807541960859,-82.607131,29.841833,00207-010-005,HighSprings_B,True,False,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.373659208193597,236489.52831443344,237489.52831443344,-210.47168556656106,35444.52831443344,210.47168556656106,35444.52831443344,0.9991145490720801
1830,0.18,1421,1.0,HIGH SPRINGS,295900,400,2017,100,1421.0,0.0,120.0,460.0,7,251115.0,0.23307113129412882,-82.608209,29.841858,00207-010-016,HighSprings_B,True,False,False,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.531680639966778,276974.4769547839,277374.4769547839,-18525.523045216105,25859.476954783895,18525.523045216105,25859.476954783895,0.9373926223547951
1846,0.12,1264,1.0,HIGH SPRINGS,275100,368,2010,100,1264.0,0.0,244.0,380.0,14,233466.99999999997,0.1553807541960859,-82.606201,29.840591,00207-010-032,HighSprings_B,True,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.349044731830906,230739.51944975302,231107.51944975302,-43992.48055024698,-2727.4805502469535,43992.48055024698,2727.4805502469535,0.8400854941830354
1866,0.36,1200,1.0,HIGH SPRINGS,228300,487,2008,100,1200.0,0.0,96.0,0.0,16,193567.99999999997,0.46614226258825764,-82.603908,29.840368,00208-000-000,HighSprings_B,False,False,False,0.84,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.182282615762826,195298.14444360527,195785.14444360527,-32514.85555639473,1730.1444436052989,32514.85555639473,1730.1444436052989,0.8575783812685295
1875,9.21,2739,1.0,HIGH SPRINGS,456000,21291,1994,100,2739.0,0.0,20.0,0.0,30,366309.0,11.925472884549594,-82.601106,29.843803,00216-028-000,HighSprings_B,True,False,False,0.7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.750104005974379,344587.7334571209,365878.7334571209,-90121.26654287911,-21721.266542879108,90121.26654287911,21721.266542879108,0.8023656435463178
1918,0.39,1736,1.0,HIGH SPRINGS,265400,1102,2003,100,1735.5,0.0,619.5,528.0,21,224488.0,0.5049874511372793,-82.59068,29.83943,00236-001-006,HighSprings_B,True,False,False,0.79,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.550844108046933,282333.4527831856,283435.4527831856,18035.45278318558,57845.45278318558,18035.45278318558,57845.45278318558,1.067955737690978
1926,1.52,2112,1.15,HIGH SPRINGS,427200,2396,2005,100,2112.0,0.0,355.0,995.0,19,360724.0,1.9681562198170879,-82.589132,29.839052,00236-006-000,HighSprings_B,False,False,False,0.81,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.90944089876536,404109.39450428326,406505.39450428326,-20694.605495716736,43385.394504283264,20694.605495716736,43385.394504283264,0.9515575714051574
1927,1.52,1364,1.0,HIGH SPRINGS,318400,3844,2002,100,1363.5,0.0,854.5,0.0,22,266796.0,1.9681562198170879,-82.588034,29.839078,00236-006-001,HighSprings_B,False,False,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.293026021425687,218169.16376463592,222013.16376463592,-96386.83623536408,-48626.836235364084,96386.83623536408,48626.836235364084,0.6972775243864193
1935,0.43,2163,1.0,HIGH SPRINGS,374600,16641,2010,100,1496.0,667.0,360.0,0.0,14,301769.0,0.5567810358693078,-82.591063,29.838567,00236-020-000,HighSprings_B,True,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.65242681923433,312520.9604140787,329161.9604140787,-45438.03958592127,10751.960414078727,45438.03958592127,10751.960414078727,0.8787025104486885
1941,0.66,1767,1.0,HIGH SPRINGS,280000,0,1998,100,1767.0,0.0,440.0,0.0,26,238000.0,0.8545941480784726,-82.591768,29.836467,00236-027-000,HighSprings_B,True,False,False,0.74,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.388967486946003,240137.62775541836,240137.62775541836,-39862.37224458164,2137.6277554183616,39862.37224458164,2137.6277554183616,0.8576343848407799
1951,1.99,1867,1.0,HIGH SPRINGS,419400,27065,2003,100,1867.0,0.0,216.0,273.0,21,329425.0,2.576730840418424,-82.587335,29.839017,00236-050-000,HighSprings_B,False,False,False,0.79,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.63371553483037,306727.6609033629,333792.6609033629,-85607.3390966371,-22697.339096637093,85607.3390966371,22697.339096637093,0.7958814041568023
1960,0.21,1593,1.0,HIGH SPRINGS,308600,1074,2013,100,1593.0,0.0,170.0,484.0,11,261236.0,0.27191631984315034,-82.58749,29.830252,00236-100-008,HighSprings_B,True,False,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.571972868690242,288362.27521889517,289436.27521889517,-19163.72478110483,27126.27521889517,19163.72478110483,27126.27521889517,0.9379010862569513
1965,0.21,1733,1.0,HIGH SPRINGS,322000,4102,2015,100,1733.0,0.0,72.0,484.0,9,269597.99999999994,0.27191631984315034,-82.58751,29.831421,00236-100-013,HighSprings_B,True,False,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.643068814641767,309610.0293275241,313712.0293275241,-8287.970672475873,40012.029327524186,8287.970672475873,40012.029327524186,0.9742609606444849
